,reward rate,dec temp,cached weight,cached rate,subject
0,0.3822314,3.0678701,4.6800346,0.26798245,0
1,0.25224745,5.376338,4.3057327,0.2704641,1
2,0.01994386,2.0770926,3.3765821,0.36480528,2
3,0.25691384,4.1917605,2.6978989,0.57055944,3
4,0.441565,2.7064414,2.2517934,0.2844636,4
5,0.7950237,5.1995826,5.8748693,0.46010375,5
6,0.9671874,7.0022745,6.240216,0.21663663,6
7,0.82388544,4.788559,1.3278002,0.63287276,7
8,0.39594883,5.567189,3.172524,0.5051208,8
9,0.75192624,2.383084,4.2183213,0.2595649,9
10,0.050047554,6.205084,3.2316952,0.78685665,10
11,0.555939,3.1997263,4.0139837,0.5741326,11
12,0.26299497,5.8645525,2.7065156,0.16454157,12
13,0.70405865,2.2714834,1.267889,0.7781235,13
14,0.66920495,4.963233,6.0795565,0.6936826,14
15,0.6314315,5.1739035,1.6913514,0.29291144,15
16,0.46442738,2.9604893,2.6582007,0.8352366,16
17,0.050952002,4.349899,4.5272875,0.705736,17
18,0.45088655,4.373928,2.3213246,0.80530137,18
19,0.1605719,4.9084682,3.7545407,0.88393605,19
20,0.7692022,2.4684587,2.7153409,0.21592504,20
21,0.6694456,0.6471146,2.609383,0.64254314,21
22,0.6734956,3.8468144,4.3817654,0.6644787,22
23,0.4962857,2.6960678,4.3265867,0.010208351,23
24,0.81243724,3.158524,3.1953206,0.75402254,24
25,0.8315815,3.3378968,2.9676957,0.77677286,25
26,0.45377696,2.1596093,5.222768,0.23449232,26
27,0.54337364,4.6366878,4.5089607,0.73422277,27
28,0.7284256,6.2091594,2.087196,0.32279262,28
29,0.73931736,1.6596209,1.5855592,0.93605065,29
30,0.31677005,2.2820814,3.3068645,0.7595147,30
31,0.10203197,3.1277928,4.1844764,0.91833067,31
32,0.08429865,1.6496372,4.800111,0.9508123,32
33,0.8978033,4.073788,3.0705533,0.13575076,33
34,0.28105524,3.9326165,2.9120927,0.24479482,34
35,0.3226679,2.6229124,4.086892,0.5860419,35
36,0.029392513,6.8086953,2.635829,0.9080069,36
37,0.19545187,3.4270563,1.4582396,0.7633867,37
38,0.4638965,2.4753826,4.0045376,0.16964732,38
39,0.09178689,1.2445085,5.6804986,0.023425786,39
40,0.75318223,4.9560623,1.3807263,0.5756487,40
41,0.063536316,1.2946564,2.3698013,0.34047323,41
42,0.9295116,2.009861,2.1785884,0.7846782,42
43,0.8520155,4.6103997,4.0589275,0.6855083,43
44,0.91931754,4.416204,1.5063955,0.03286425,44
45,0.9281668,1.0885663,5.276951,0.5836104,45
46,0.41296303,4.47289,1.7942554,0.64873207,46
47,0.16328648,4.3506727,3.537307,0.8871108,47
48,0.33639959,1.775156,3.4752917,0.18383211,48
49,0.785484,4.5613413,2.5365343,0.89356333,49
50,0.45681426,3.2371888,2.8392456,0.42787695,50
51,0.061833248,2.4091318,3.9721084,0.08731696,51
52,0.5130116,7.0066023,5.6489105,0.5481256,52
53,0.4357274,3.8804297,3.3758307,0.73331606,53
54,0.015208919,5.279432,2.890583,0.2796963,54
55,0.2823063,2.0484722,4.651474,0.6389156,55
56,0.67747945,2.7074423,7.3418574,0.4351688,56
57,0.72193825,2.9929824,4.2208786,0.64836794,57
58,0.6672257,4.6923604,1.8170303,0.60709506,58
59,0.35585433,5.1812596,2.743156,0.33512077,59
60,0.3617098,2.6502037,3.6190014,0.28676915,60
61,0.26814064,2.6665344,4.703114,0.28466082,61
62,0.37832323,1.0394121,1.9919299,0.40214315,62
63,0.19126032,6.1497955,4.6150136,0.84765375,63
64,0.024112446,4.495131,5.143691,0.617849,64
65,0.853643,2.3667893,6.4252434,0.6783675,65
66,0.15262778,3.3412395,3.5601006,0.066419505,66
67,0.95507663,5.5779066,2.215589,0.49018416,67
68,0.28177607,3.2123687,3.6390786,0.4329716,68
69,0.3741703,4.021836,5.4839544,0.3936365,69
70,0.6499704,2.1704493,3.8092995,0.72911626,70
71,0.5273401,1.815893,4.0711937,0.08260096,71
72,0.032155987,1.9577806,5.695271,0.5869526,72
73,0.9566399,4.179801,3.3701613,0.15755644,73
74,0.18541804,0.8780656,6.449665,0.021628542,74
75,0.81030166,3.3990195,2.9775596,0.63841313,75
76,0.81545913,5.4655523,3.6783867,0.25116545,76
77,0.15460186,0.845778,4.350046,0.14770015,77
78,0.29131132,1.9092346,1.9792895,0.21755117,78
79,0.29900253,2.930827,1.1485635,0.77151734,79
80,0.6881066,4.4306555,4.831007,0.49870872,80
81,0.28772107,3.6782093,5.355157,0.07080287,81
82,0.8489484,3.543948,5.205863,0.75633967,82
83,0.25486088,5.30017,1.8868041,0.5520058,83
84,0.25767377,3.9289799,5.2183256,0.6130411,84
85,0.37660757,6.350503,1.5873133,0.44266224,85
86,0.63476294,4.5805497,2.4421632,0.50174445,86
87,0.87473655,2.4136071,1.7253603,0.09804898,87
88,0.019601274,4.685475,5.121908,0.25143304,88
89,0.010221137,2.1098838,5.556581,0.7569763,89
90,0.30761904,1.1390543,4.7111115,0.53391623,90
91,0.54359674,4.501663,3.164345,0.9377765,91
92,0.7975191,2.490615,2.0756497,0.04333931,92
93,0.37789074,3.2760186,1.6585141,0.26229522,93
94,0.31567168,2.583091,1.8590991,0.47961706,94
95,0.14397064,3.4109712,5.1503654,0.6582618,95
96,0.77271086,1.5701414,2.7863262,0.17460616,96
97,0.28333807,2.2424083,5.5632877,0.5151561,97
98,0.82134193,4.549878,2.5506206,0.5850381,98
99,0.95167136,1.5511036,5.9053965,0.441807,99
100,0.8862476,1.566766,4.3072476,0.43302125,100
101,0.6236093,3.9550304,3.8014383,0.778947,101
102,0.62696296,2.031224,2.0062957,0.7550974,102
103,0.30029982,2.230888,2.5293348,0.7576412,103
104,0.36911717,2.2773812,3.282765,0.4896899,104
105,0.7376084,2.4885528,4.459505,0.32358342,105
106,0.7155885,3.0502903,4.24267,0.09803607,106
107,0.50616354,3.0440853,1.8906274,0.64720744,107
108,0.07458725,1.8099341,2.136229,0.74903417,108
109,0.7524656,3.9930396,3.5587616,0.47895098,109
110,0.22823635,1.8243887,1.558795,0.6236627,110
111,0.5564644,5.4724636,0.8689645,0.34846947,111
112,0.7592152,4.2886543,4.9552464,0.75772244,112
113,0.8478298,1.388972,3.7704878,0.20375636,113
114,0.3351857,1.7055476,3.9756021,0.4815817,114
115,0.12729086,4.955249,2.1469176,0.06099687,115
116,0.7776715,0.962055,4.888756,0.166633,116
117,0.7404168,3.117352,1.27272,0.7171887,117
118,0.7347444,4.005595,5.2609854,0.16873702,118
119,0.5047825,2.061555,3.991082,0.06812,119
120,0.839203,3.7546394,1.7057357,0.85742265,120
121,0.82954794,4.4094367,4.6683574,0.14567998,121
122,0.1281984,3.6552134,3.0058846,0.27884358,122
123,0.7694975,1.6133873,4.843361,0.3918659,123
124,0.3487439,4.5242424,3.1190567,0.8603076,124
125,0.5945755,1.9824451,4.6246815,0.43759242,125
126,0.9930648,5.1699047,2.896054,0.22020155,126
127,0.37371045,4.3218718,2.904394,0.7149705,127
128,0.688714,5.570553,3.839517,0.74274355,128
129,0.64133614,2.9505043,4.972971,0.38333976,129
130,0.28765407,3.9106843,5.9222436,0.3420382,130
131,0.5519446,2.217507,2.6904335,0.24439645,131
132,0.27815497,1.4601665,1.1356599,0.10180852,132
133,0.3880315,1.4662325,5.098015,0.86214465,133
134,0.7998672,6.2382355,1.5582906,0.79104435,134
135,0.21408391,1.9632225,4.116278,0.747145,135
136,0.91967636,1.943795,4.1277633,0.36949825,136
137,0.7131926,2.1807039,1.9609003,0.6679183,137
138,0.7234797,7.530032,6.531634,0.83529735,138
139,0.8217991,1.430439,1.9527198,0.29600745,139
140,0.3329195,4.627833,6.798154,0.7126801,140
141,0.63704556,5.2669563,3.489642,0.46877816,141
142,0.44821045,3.6442232,3.538116,0.42217064,142
143,0.2463656,1.2006366,4.1624255,0.25855422,143
144,0.80749124,5.6867847,2.467377,0.50907016,144
145,0.7845534,1.9608123,1.3336558,0.71701163,145
146,0.26313484,4.4867034,5.434055,0.6974318,146
147,0.498257,3.3280065,2.477451,0.6227899,147
148,0.08528856,5.831885,5.422265,0.8076583,148
149,0.8601458,1.5836802,0.92097586,0.56406146,149
150,0.86132157,2.8037572,4.9333305,0.2666487,150
151,0.44885096,4.463859,4.6465836,0.5092202,151
152,0.7567603,1.5398505,1.7380823,0.36564347,152
153,0.008834289,1.4893823,5.4430194,0.57981324,153
154,0.034623228,3.525629,2.7524848,0.28025308,154
155,0.5251998,1.0890521,3.5361133,0.044902824,155
156,0.08719119,2.2394867,2.8941288,0.78826237,156
157,0.6635191,1.5559577,2.1057763,0.84669995,157
158,0.3313042,3.2282362,4.3440394,0.3660631,158
159,0.016955312,2.2764702,4.0693154,0.6393536,159
160,0.76507425,2.1653137,1.0817571,0.4688548,160
161,0.29401138,3.159642,3.3269815,0.25600955,161
162,0.8934948,6.088049,4.24319,0.56135,162
163,0.69144493,3.611978,3.5388002,0.42332748,163
164,0.2800173,1.9491887,1.8934411,0.49288377,164
165,0.9047832,4.085553,3.417487,0.12593396,165
166,0.57458496,1.4064096,6.403708,0.4984174,166
167,0.6408635,0.82441026,3.5746858,0.53796506,167
168,0.3455984,4.496518,3.7479541,0.21063067,168
169,0.81729275,2.427733,3.6229227,0.14123724,169
170,0.5827107,1.1741872,5.337932,0.78660536,170
171,0.4561458,1.6447116,5.1910095,0.48485285,171
