,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
118,5.163335,5.7517657,118,0.7570104,0.8050018,2.9392295,3.1187944,0.62032455,0.5144562
119,2.4200687,1.2172565,119,0.19569707,0.10758239,2.9267156,3.5087152,0.2716117,0.25721717
120,4.253897,4.1428337,120,0.69336843,0.7840015,4.038319,3.7905807,0.18422833,0.1489501
121,3.3596215,3.7075224,121,0.42638502,0.4222136,6.18076,5.4747667,0.26071626,0.24841648
122,2.3449023,1.7796452,122,0.39900288,0.30062014,0.9995405,1.4739457,0.6010818,0.77002656
123,5.4404764,4.723027,123,0.8721948,0.88627285,3.360225,2.2075648,0.7048973,0.6083448
124,5.350754,5.3870597,124,0.025583114,0.035629988,1.8836167,2.6114535,0.38910744,0.42209357
125,3.5927076,3.7611818,125,0.62122035,0.571766,4.606789,4.59049,0.8805785,0.80106294
126,4.3111763,4.834448,126,0.8284882,0.95159423,2.6450098,2.9370792,0.15547432,0.12882257
127,4.164244,5.078498,127,0.81059873,0.92226267,2.7666886,2.2470021,0.7342259,0.5890706
128,3.2792072,3.4440546,128,0.6089983,0.4735086,2.6124048,3.2900107,0.8117605,0.840758
129,4.1462307,4.1497154,129,0.71682066,0.7909467,4.199449,3.804762,0.72366005,0.6863914
130,1.3940736,1.5184422,130,0.33487883,0.36190093,4.4507246,4.643244,0.71718884,0.77601177
131,4.1230235,3.269206,131,0.26134893,0.26825094,1.456052,1.7106137,0.22558415,0.090226054
132,1.9325778,1.3664658,132,0.3669231,0.3154884,2.5078635,2.587935,0.43110716,0.31807578
133,3.9643664,3.7690287,133,0.08949293,0.07912105,3.1494985,2.8246264,0.18900661,0.30411714
134,3.745123,5.557776,134,0.7867886,0.9103714,6.125366,5.2692137,0.37985486,0.35751492
135,3.6643121,4.58709,135,0.19485158,0.17165774,2.6382577,1.6625483,0.56338775,0.40100622
136,2.7499044,3.7920032,136,0.7697728,0.97126025,4.7507353,5.48435,0.18690802,0.19301331
137,1.4735157,1.491882,137,0.15919495,0.028261364,1.5764534,1.278708,0.7760319,0.966138
138,2.4622974,1.7293093,138,0.22124757,0.16135299,2.7448647,3.0424428,0.46980146,0.3780182
139,3.0066025,1.9037838,139,0.62322056,0.38697833,5.1808066,5.0483336,0.70282954,0.7533734
140,1.8843857,2.961881,140,0.56299525,0.8314481,2.9461558,2.0842328,0.8669384,0.91368294
141,2.585891,1.6593072,141,0.21306042,0.12491912,5.3143387,5.7364583,0.5265143,0.5286653
142,5.4416957,5.262722,142,0.81261986,0.8568945,3.6832817,4.6436973,0.22149993,0.17897725
143,4.5293746,4.2392592,143,0.65263766,0.9116883,2.4749575,2.4575875,0.57980776,0.22551316
144,4.034712,3.3340104,144,0.10361668,0.1177209,4.247091,3.998319,0.18081342,0.28673583
