,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate
86,4.0733604,5.19715,86,0.20260687,0.20012975,1.3429956,0.14927101,0.44971588,0.43473673
87,3.7427454,5.40855,87,0.6185554,0.9079655,3.095628,2.4710963,0.78200716,0.868311
88,3.66352,3.3007426,88,0.28028736,0.20306748,2.7946067,2.1283193,0.105419375,0.09319121
89,3.3874395,5.26243,89,0.5427063,0.94052255,2.699249,1.5482397,0.67569417,0.6248587
90,1.2852738,1.4955089,90,0.5834071,0.8037478,2.7936234,1.3954693,0.2909395,0.25267667
91,3.8226335,1.3617486,91,0.4796284,0.3180889,3.593119,4.9210615,0.13860865,0.124032915
92,2.7572708,3.5298867,92,0.65977806,0.7623222,4.172738,5.062572,0.24137238,0.28708488
93,0.75639665,0.4841845,93,0.36699617,0.44189197,2.8129802,2.3875833,0.49463117,0.5245555
94,4.1713877,4.4323044,94,0.5648516,0.47934127,3.8859587,4.964974,0.49563745,0.5336826
95,0.8085769,0.12241638,95,0.6822133,0.81711537,2.2661586,4.282043,0.1942988,0.2183215
96,1.2911661,0.6133987,96,0.64184326,0.61266196,2.429423,2.055275,0.79037696,0.77019894
97,1.5269179,3.0907552,97,0.549431,0.47103965,3.9477203,5.481185,0.18085742,0.18218064
98,1.2255598,2.0365024,98,0.39956468,0.21867573,2.121017,3.76119,0.7516372,0.9801497
99,4.3286886,5.079977,99,0.14889084,0.47635967,1.9295557,0.10911977,0.10788083,0.044143498
100,1.8460282,1.7548292,100,0.1350414,0.0018545389,1.8080972,3.8953123,0.40007806,0.43318886
101,1.5817175,1.5042046,101,0.38106453,0.42249858,2.3186767,1.7498242,0.1460543,0.13703698
102,4.568555,4.980055,102,0.43667838,0.8926346,2.4308567,1.1230831,0.7404734,0.7471393
103,3.1225634,2.2854972,103,0.3114504,0.26143104,1.9005141,2.699602,0.65626967,0.67122674
104,1.0450566,2.1791515,104,0.7268677,0.80695593,3.5630434,2.3787718,0.6195846,0.55745155
105,2.3032484,5.434368,105,0.66989964,0.669145,3.5026321,5.6042533,0.8263069,0.925019
106,1.0818114,1.5018468,106,0.7591344,0.97538155,3.8139021,3.5903873,0.648675,0.65997475
107,1.5804298,1.2379453,107,0.27988142,0.22254574,2.2578137,3.1879082,0.73306257,0.7548327
108,2.5589907,3.1621032,108,0.24965811,0.33133018,1.2945427,0.07800472,0.7823341,0.80499536
109,3.5294502,1.5250415,109,0.47362044,0.54996306,3.3303611,1.5974021,0.20372239,0.14863712
110,2.9872823,1.7766702,110,0.67283946,0.72170794,4.380944,4.833037,0.4440033,0.45201164
111,2.4094253,2.595552,111,0.4137423,0.85367274,2.6080961,1.462478,0.680164,0.76709247
112,3.4161158,5.690811,112,0.5844716,0.866588,3.83937,5.238824,0.13488132,0.1691007
113,1.2213867,2.2911444,113,0.7874585,0.7239776,3.864033,5.9578066,0.8893246,0.99622357
114,4.3079033,5.2834587,114,0.20029831,0.0834558,2.1432943,4.1247973,0.23822077,0.25820166
115,1.7886059,0.39029038,115,0.5691905,0.8613588,3.776566,3.245028,0.23991422,0.21441907
116,0.93753284,1.2992563,116,0.29845104,0.22984666,1.4064327,1.1835716,0.75852305,0.84323233
117,2.2730873,2.090563,117,0.29224434,0.3653068,1.2280681,0.86382294,0.7285875,0.6875456
118,3.2956152,2.7775977,118,0.6393573,0.6217182,4.123519,5.639499,0.3309915,0.3110544
119,4.2892985,2.8400025,119,0.4846486,0.41849965,3.3052652,4.83858,0.22944921,0.25079644
120,3.1647367,3.8211017,120,0.6314758,0.6175596,3.434424,3.58118,0.4320143,0.44112152
121,2.85463,3.207522,121,0.48671222,0.4138199,2.9717267,2.3714526,0.18346393,0.15907848
122,0.9236908,1.0911999,122,0.64617693,0.9515519,1.6286372,1.5769794,0.6849686,0.79176533
123,2.4058592,2.4077961,123,0.7417561,0.8368808,4.3164554,5.2115793,0.36782962,0.36228424
124,0.9169265,0.18778467,124,0.24619733,0.24825561,1.6331818,2.7363243,0.7613884,0.9648401
125,0.87464076,0.11036217,125,0.6030692,0.45785004,1.9906191,2.431116,0.57107705,0.51325506
126,1.3019912,3.7211385,126,0.63561535,0.96673685,3.2617757,3.2456882,0.3713348,0.44885653
127,3.5505044,3.9730074,127,0.67864114,0.8215492,3.2904081,3.5763087,0.5389861,0.5797948
128,3.7863982,3.707624,128,0.4604029,0.9236029,2.2326143,1.1253752,0.3858675,0.37575185
129,3.5315073,3.2132845,129,0.22274256,0.09241998,1.277855,1.0042291,0.5962082,0.6586773
130,4.647612,5.1641507,130,0.14903842,0.14590651,1.4386328,0.26302958,0.32216796,0.29741263
131,3.113746,4.270046,131,0.44450593,0.4356429,2.3758283,2.8024216,0.42367086,0.4436648
132,5.1033435,5.224942,132,0.17293686,0.7320822,1.5248772,0.1854744,0.14481118,0.12687021
133,2.5646372,2.1469097,133,0.36723346,0.67701715,1.9036772,0.8240565,0.7083419,0.6689918
134,0.71065235,1.0356299,134,0.2750946,0.62605816,0.59861684,0.13874781,0.08386778,0.059368014
135,0.8411603,0.8802041,135,0.53675884,0.8016309,1.7873405,1.8974816,0.7465628,0.78396094
136,3.4016361,3.0480943,136,0.6763518,0.49486548,3.706697,4.377742,0.7579297,0.78809077
137,1.0769358,0.559463,137,0.3356855,0.18742472,2.5277815,3.174231,0.40380618,0.3552454
138,0.5114891,0.1563549,138,0.48988122,0.6939355,0.7954021,0.9176842,0.68593097,0.6368516
139,4.6291285,5.2997255,139,0.25398108,0.15038502,2.0044649,2.6674633,0.20039676,0.21297723
140,2.5837646,0.83218074,140,0.23731148,0.11615491,1.7361311,3.448546,0.13410462,0.13039124
141,2.692709,2.0639663,141,0.19828738,0.19748652,1.8625647,3.213335,0.5567185,0.5853996
142,2.552864,3.1276903,142,0.22925761,0.6311243,1.476394,0.50675905,0.7995656,0.853131
143,0.5360614,0.08469021,143,0.602625,0.4558729,1.4105767,1.8884318,0.2438708,0.2706291
144,2.189534,4.616694,144,0.6970401,0.68533087,3.661428,3.4545715,0.3484196,0.39239055
145,3.6631246,3.8082829,145,0.51785034,0.3855002,3.0652473,4.0880203,0.7115843,0.77412176
146,1.7005047,1.3609242,146,0.16641326,0.01610279,1.8852953,4.9430113,0.6101516,0.5562517
147,4.7615604,5.985388,147,0.41887835,0.3955732,2.8844264,4.7192664,0.3934347,0.46092302
148,0.67615366,0.8007721,148,0.29195368,0.0052301884,0.72471434,0.064996004,0.7355712,0.89884937
149,3.660638,0.26456273,149,0.4970906,0.0771752,3.4156635,5.8787436,0.11105412,0.07623011
150,4.9786925,5.769401,150,0.24691592,0.02918601,1.6827688,2.0170069,0.595088,0.50479156
151,1.3883191,1.8857778,151,0.31759986,0.36040944,0.7578358,0.3825667,0.729348,0.69727606
152,4.704546,4.0472546,152,0.28806537,0.096672714,2.3097813,4.5069447,0.64621794,0.66606444
153,0.6514181,0.38191152,153,0.64999986,0.85682225,1.07398,0.9877546,0.73160964,0.8704761
154,2.1753807,1.0300015,154,0.69671,0.27037984,4.3325253,4.2591667,0.22608493,0.18423533
155,3.2548988,2.2724133,155,0.3907133,0.5891823,3.42818,0.3712939,0.084519595,0.0072051883
156,1.8493401,3.2335339,156,0.59783816,0.47390854,2.587084,5.707603,0.85259324,0.9729184
157,1.1629609,2.0093386,157,0.48399398,0.8878113,1.2332996,0.40819037,0.6589907,0.5444261
158,4.187458,4.6833673,158,0.2533611,0.17007321,1.3191469,1.0047251,0.28159702,0.24755472
159,1.5639464,2.5145867,159,0.33002838,0.08888233,1.1795689,0.6969291,0.5739087,0.5779906
160,4.3440013,4.9526176,160,0.5069656,0.5954611,1.9845132,2.5999136,0.8208954,0.8732359
161,1.021827,1.4146196,161,0.35177198,0.9974999,0.96561587,0.5665208,0.7895892,0.9275383
162,3.229953,3.6029062,162,0.59104097,0.56551254,3.5650258,5.6520004,0.41799262,0.50464576
163,2.0635018,1.476933,163,0.6540649,0.70331347,3.3270805,3.4609313,0.8091611,0.895254
164,2.2410316,1.8980255,164,0.3970966,0.56274986,2.098341,2.4413767,0.20815219,0.25529796
165,0.592808,0.21999049,165,0.24275304,0.4026152,0.74610394,0.36023426,0.70930153,0.9060582
166,0.9240995,0.80572164,166,0.26068997,0.22528583,1.9095343,4.086448,0.7875245,0.96154034
167,2.89801,4.3703527,167,0.6092045,0.8584999,4.0277157,5.0179462,0.10145062,0.048981547
168,3.8478384,4.7095356,168,0.34190616,0.56962,1.6016895,2.285809,0.7760118,0.91773343
169,4.288152,3.7417684,169,0.5289557,0.70543563,2.0351493,1.8004385,0.7950079,0.86191136
170,1.0674707,1.509524,170,0.7924735,0.8708497,3.5744526,2.6682425,0.4568369,0.41920853
171,3.4031405,3.300922,171,0.2937902,0.16934001,1.7313181,4.6319685,0.7288798,0.82587206
172,3.3158116,1.0944064,172,0.56921667,0.72720563,3.7833252,5.1758394,0.10297621,0.05910772
173,1.5600246,1.2563825,173,0.25996497,0.33140433,1.5748967,0.95911074,0.657821,0.661011
174,2.0987358,3.5931668,174,0.7042015,0.8705533,3.2820663,3.4579968,0.8195321,0.9319663
175,1.149235,0.26668096,175,0.25606683,0.23278177,1.4849318,2.0256035,0.63370484,0.5567981
176,2.2237592,2.44485,176,0.66538745,0.7120765,3.746253,3.0095859,0.38772294,0.39265043
177,4.299907,4.001798,177,0.46302283,0.47270244,3.0029936,1.3641368,0.23465985,0.18328613
178,3.8639395,4.0933127,178,0.08928421,0.070534766,1.267826,0.43494666,0.0626919,0.04574436
179,2.3185482,1.4393252,179,0.6768251,0.7065815,4.2057137,4.0248837,0.66344094,0.711427
180,1.4187849,1.2126882,180,0.26942813,0.12729001,1.9271556,1.9411218,0.615231,0.6253806
181,1.9067894,3.0222206,181,0.6767139,0.53775316,4.167554,4.7151012,0.7614476,0.8228365
182,3.4119935,4.9693074,182,0.58738524,0.44091153,4.1130652,4.77149,0.0932812,0.022652626
183,2.5989711,2.9492202,183,0.7567586,0.9026191,4.0405703,3.758378,0.56770754,0.5352193
184,1.0357175,0.60590136,184,0.33614117,0.32502985,1.4027344,2.2502933,0.7467307,0.9754675
185,2.9793818,3.639902,185,0.42314714,0.7775854,0.86436063,0.4205693,0.1707991,0.19968194
186,3.2251983,0.9542277,186,0.602668,0.59243244,3.7037134,5.527009,0.18860291,0.16120392
187,2.5958164,2.8847532,187,0.0883733,0.025810778,0.9620916,0.4725988,0.10176317,0.064900815
