,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred dec temp,true dec temp,inferred weight,true weight,inferred prior lr,true prior lr,inferred prior weight,true prior weight
0,0.48204765,0.9588128,0,0.48560834,0.58249074,2.839477,1.575408,2.9411175,0.13393575,0.48261413,0.35125083,3.0005405,2.2492082
1,0.47893867,0.476736,1,0.48065355,0.41850382,2.940715,2.6774082,2.8732922,0.19796675,0.50702906,0.9709976,3.0406578,3.148994
2,0.49773914,0.14629483,2,0.49020714,0.26095068,2.9463787,1.2848557,2.9263566,0.9935842,0.47953448,0.09792465,2.901036,2.3199015
3,0.5010362,0.02796328,3,0.51806074,0.65293914,2.9731445,0.9293747,2.8242838,0.3454572,0.5041157,0.7174957,2.8657768,1.2566668
4,0.4929717,0.8041197,4,0.5032182,0.3121574,2.9826796,1.7992662,2.9243305,0.10317212,0.49565852,0.98282504,2.8421447,0.37280524
5,0.48387182,0.7943768,5,0.49875763,0.42870224,2.9726474,3.3274863,2.902079,0.6456919,0.48527837,0.042518556,3.1250918,4.579107
6,0.506951,0.43026048,6,0.50912434,0.59578294,2.9129386,1.7101614,2.8786292,0.22015625,0.49233449,0.42801404,3.0152323,0.4337468
7,0.4995104,0.17992198,7,0.4935775,0.43605047,2.8816593,1.1465095,2.945558,0.7286907,0.48792168,0.45343578,2.923817,1.0531987
8,0.48841235,0.5214611,8,0.4674958,0.2500863,2.9720864,1.0131866,2.9656215,0.610102,0.51616263,0.669917,3.0138276,4.6119623
9,0.48349205,0.8293479,9,0.49621353,0.82673925,3.05125,0.26508343,2.950711,0.60930246,0.49479017,0.42341226,2.9469917,1.1895118
10,0.4865635,0.9291321,10,0.49338642,0.7296071,2.952044,3.846859,3.0070708,0.08871949,0.5157517,0.7009437,3.1348014,4.56862
11,0.48341352,0.8656857,11,0.5017903,0.97396994,2.9676538,1.3511735,2.9035606,0.6862005,0.4979489,0.2739991,2.921844,5.0993176
12,0.4770321,0.9763216,12,0.49068776,0.7461763,2.997762,2.9005485,2.955385,0.0046241283,0.48813823,0.517641,2.9709444,1.5342768
13,0.5099055,0.27563542,13,0.4919965,0.66755486,2.867145,2.547859,2.9446335,0.9224417,0.4845764,0.032549977,2.9317436,1.7573748
14,0.5003305,0.16119677,14,0.47742668,0.4630137,2.977545,4.535245,2.858698,0.7151785,0.5138988,0.79024535,2.9665487,1.5095694
15,0.50880903,0.1434859,15,0.5126362,0.995208,2.9270427,2.7958238,3.0405922,0.86963964,0.4775747,0.27430797,2.9959638,0.16793096
16,0.4936739,0.14520335,16,0.5009667,0.15059,2.9391236,3.077448,2.7867534,0.021064162,0.46407834,0.3063079,3.0402296,5.3132887
17,0.5053602,0.45795506,17,0.4818509,0.017650008,2.900922,3.2470744,2.9541147,0.8137205,0.4728047,0.2535572,3.0780334,2.5359888
18,0.47753167,0.11355084,18,0.5048344,0.13276005,2.9203212,4.356618,2.9574008,0.9593221,0.48590326,0.48835784,3.0194297,2.2439625
19,0.4849209,0.74403286,19,0.47693682,0.8033368,2.8399408,1.6437635,2.8778458,0.7484913,0.488104,0.04815191,2.9561343,2.7780275
20,0.4860416,0.01444757,20,0.48651788,0.6215184,2.8950238,5.8110595,2.8899457,0.26291513,0.4905174,0.2020362,3.0968344,4.121134
