,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred dec temp,true dec temp,inferred weight,true weight,inferred prior lr,true prior lr,inferred prior weight,true prior weight
170,0.5266929,0.039577067,170,0.24648352,0.5350844,2.3421578,0.45592725,0.47856688,0.77215385,0.5053271,0.49335426,4.7682276,5.9571824
171,0.5144078,0.40891343,171,0.33774397,0.09990013,2.3387432,2.945776,0.49448213,0.859335,0.5288937,0.6359318,3.1867588,2.8245857
172,0.51308775,0.5624047,172,0.21809311,0.09720373,1.1658169,0.9724932,0.47757062,0.03865677,0.9111162,0.9291037,4.894953,5.6571393
173,0.46589714,0.3017435,173,0.30046183,0.38351113,1.7387933,2.3498375,0.5697917,0.33339417,0.24991249,0.75713986,0.8767383,0.17158806
174,0.5375499,0.8774301,174,0.50376123,0.6606646,1.407374,1.1349531,0.51218677,0.51447046,0.072160825,0.051820993,3.0424228,2.8196034
175,0.36647266,0.8211401,175,0.67229885,0.62167114,4.4067206,5.330934,0.72437257,0.81952304,0.26627514,0.676842,0.73704445,0.047055244
176,0.5388528,0.56668526,176,0.3617901,0.3940881,1.9942688,1.2659719,0.5127925,0.70259947,0.1392822,0.13203329,4.708101,4.3580246
177,0.43032038,0.92941135,177,0.54711044,0.5721745,2.0714667,1.7859821,0.6500573,0.67849255,0.36294582,0.2686798,1.2989302,1.5253032
178,0.41057035,0.57030606,178,0.51086813,0.47515935,1.4108137,1.1907628,0.65802836,0.71082515,0.29109967,0.7828847,0.8956725,0.45488298
179,0.42490083,0.63421494,179,0.21140371,0.13390493,2.6358685,4.888322,0.6672512,0.87152743,0.17556262,0.19472396,0.9382838,0.0049670935
180,0.45589408,0.049080312,180,0.25391233,0.052878797,0.8660911,0.21167421,0.5361088,0.8744394,0.20660284,0.0141862035,0.9215702,1.4229841
181,0.35458407,0.00034797192,181,0.9410769,0.92762804,4.0019875,5.1709323,0.7048803,0.31517458,0.2346791,0.08642501,0.8899224,0.3973335
182,0.46767518,0.73380756,182,0.32861084,0.1431244,1.2232769,0.5495156,0.5997379,0.75309825,0.19925204,0.023655832,0.9825455,1.4587079
183,0.49648157,0.5031534,183,0.2829767,0.0017076135,0.9801433,0.5575011,0.5057517,0.81389356,0.711252,0.6950716,5.0232325,5.4417067
184,0.51807034,0.62690693,184,0.2397872,0.9368526,0.76270443,0.12207663,0.4916998,0.3274265,0.5298703,0.46924806,3.1509135,3.2213836
185,0.48822272,0.43528014,185,0.26734498,0.2607519,0.7661786,0.04558611,0.51803374,0.51752615,0.2974368,0.23486751,4.381536,4.3493705
186,0.5577783,0.9029887,186,0.6781333,0.8894676,2.2084315,1.282574,0.47248498,0.745869,0.37650615,0.37032634,4.262393,5.271125
187,0.51304114,0.085849166,187,0.49886608,0.34891462,0.97397554,0.72732246,0.5267572,0.16932243,0.741601,0.72370744,4.670579,5.9421167
