,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate
0,2.4563367,4.1860247,0,0.17591329,0.030513167,2.412786,4.518171,0.09803513,0.079420686
1,2.2082202,0.08861661,1,0.743686,0.43960643,4.449049,4.064001,0.10934155,0.12168348
2,1.4157251,2.1058164,2,0.6657466,0.5241463,3.2971163,2.8990753,0.14516431,0.15575475
3,1.0715562,4.181114,3,0.761296,0.34460425,3.4332347,4.602793,0.25182402,0.43636203
4,0.63765305,1.2387933,4,0.8226305,0.5014964,3.6623209,2.8555527,0.32528016,0.5141032
5,4.752497,4.4452553,5,0.37931493,0.29452842,2.13361,1.7091143,0.33259794,0.28592575
6,0.6907338,0.458951,6,0.73963034,0.17611635,2.3916538,1.2766525,0.26273787,0.48151785
7,4.338609,5.042902,7,0.46828175,0.8371342,2.6400294,1.9219065,0.6868219,0.75495154
8,3.7241957,3.2471375,8,0.5370403,0.42818642,3.3938153,3.1734266,0.23201597,0.23833525
9,1.9967115,2.4436145,9,0.70180666,0.36627913,3.6679492,1.3213259,0.19976571,0.12151694
10,0.6068782,1.1597607,10,0.66755325,0.7257621,1.015477,0.5069264,0.21842083,0.9035923
11,2.0064485,0.9235325,11,0.424627,0.03312677,3.045018,2.843205,0.544507,0.55895686
12,0.779921,1.5903332,12,0.60694546,0.19069833,2.4493794,1.0644565,0.3497613,0.908944
13,1.4984522,5.421523,13,0.6862373,0.821854,3.035106,2.4006295,0.31875682,0.4881379
14,3.097355,0.14862478,14,0.6772096,0.96550745,4.2273993,5.029162,0.09127136,0.05589956
15,1.9075454,3.621638,15,0.8037503,0.81201124,4.4560323,3.716816,0.68017673,0.76737404
16,2.2378883,1.4915389,16,0.7150016,0.19266462,4.1510553,3.281291,0.21757548,0.40355307
17,4.470966,4.459559,17,0.50847113,0.25916952,3.0881574,5.9077425,0.2603925,0.29682612
18,1.1807826,2.38332,18,0.73180187,0.35152316,1.4846544,2.4237938,0.40647078,0.9149645
19,2.1677258,4.2452283,19,0.31767,0.122301936,2.1739302,1.1306916,0.20371695,0.33416337
20,0.5845226,3.601621,20,0.84664637,0.80987865,2.941217,2.2312565,0.4956828,0.9557979
21,0.8847846,2.378339,21,0.85677224,0.888592,4.5650597,2.0120208,0.4723127,0.7359041
22,2.0340145,2.4082422,22,0.6904587,0.86966294,3.9200957,1.1707356,0.33688506,0.75605834
23,3.076388,4.66399,23,0.6675323,0.9547757,4.072228,0.7941066,0.0882247,0.039113283
24,3.0572095,4.5197783,24,0.5889614,0.25762445,3.6653233,3.519391,0.32421178,0.5328663
25,0.8630842,5.1084404,25,0.82389736,0.36261666,3.7989988,4.9868937,0.45979768,0.8158049
26,0.36408958,0.027407527,26,0.7923716,0.63472176,0.8490735,1.5327873,0.16007009,0.5578983
27,1.0666517,1.6041638,27,0.7294386,0.43025362,3.5610688,1.3419875,0.34571597,0.9825493
28,1.1098437,3.482844,28,0.72476405,0.16488934,3.883313,3.7621243,0.45583904,0.7259034
29,0.4757531,0.1714468,29,0.84352463,0.80278015,1.6613183,1.3492298,0.60840946,0.70040023
30,2.4894183,2.8994486,30,0.59214205,0.21104652,3.1755211,2.9622173,0.09403395,0.14125031
31,0.9872279,2.150742,31,0.8754413,0.8662548,4.1280074,5.931868,0.7567052,0.99465126
32,1.7842871,0.783038,32,0.27783182,0.1330809,2.6019263,2.6519508,0.257197,0.2308991
33,3.3413358,5.4356794,33,0.63707715,0.45061487,4.0165544,5.2693563,0.07015857,0.093978226
34,3.5541172,3.7940118,34,0.6644684,0.17539197,3.4825788,4.4223986,0.52358985,0.7128654
35,1.476983,3.2098684,35,0.7980356,0.9328453,4.1021724,2.769754,0.39862218,0.4890455
36,4.1632595,4.830049,36,0.49058938,0.5179306,2.2676053,1.3331584,0.31224978,0.3604536
37,0.731634,0.36496997,37,0.7944528,0.6147764,3.430584,1.5002385,0.29455513,0.30764335
38,4.4336653,2.1442957,38,0.6416954,0.002754867,3.5013664,2.7016816,0.28589138,0.42467242
39,0.9745848,3.829291,39,0.7701205,0.89111376,3.5991821,3.7713597,0.27657378,0.5803504
40,0.95911574,1.015327,40,0.27325806,0.125521,0.7975195,0.70222163,0.64508253,0.51932913
41,1.8518798,3.5421739,41,0.47324714,0.03067094,2.2203395,0.39602244,0.42806885,0.5823878
42,2.0766745,4.85088,42,0.80722755,0.64575857,4.2485995,1.9214466,0.59798914,0.7987431
43,2.571124,3.3056695,43,0.7334597,0.799223,3.2489967,3.2341208,0.4096573,0.5114487
44,3.0305812,4.864396,44,0.646114,0.5236537,4.032819,3.4574957,0.07763603,0.0023097396
45,1.2762017,1.4163011,45,0.7007133,0.14738196,3.2384267,2.6179123,0.533017,0.74010247
46,3.6932824,3.7909863,46,0.6485618,0.56875217,4.210632,4.3254924,0.049149238,0.047438502
47,3.3919144,4.5730243,47,0.65767336,0.5048075,4.0747952,1.9525917,0.08040756,0.056235194
48,1.9376082,3.9980285,48,0.5954844,0.8389511,2.6128962,1.7205684,0.25012657,0.9324376
49,1.5453801,4.918354,49,0.7095839,0.9749839,3.4870076,2.8947535,0.17977928,0.36819965
50,2.4445157,3.9084015,50,0.6545676,0.50114703,3.8332448,4.150105,0.12600781,0.19984281
51,3.9513452,3.5723255,51,0.43857366,0.21875167,1.5722356,1.9911994,0.2844385,0.30127007
52,1.5588046,3.2224696,52,0.6852418,0.24901617,3.134817,2.989408,0.29906848,0.6039807
53,1.4187812,1.18008,53,0.7470167,0.5914394,3.960747,2.644124,0.23552914,0.304197
54,3.903524,4.191069,54,0.44550127,0.03670758,1.9993162,3.5986626,0.60146314,0.8994706
55,1.6358911,3.022757,55,0.61996645,0.6654595,3.671057,5.0144267,0.203341,0.2475475
56,0.84593934,1.0479262,56,0.8156327,0.7213328,3.8555746,1.9617505,0.35587823,0.5425734
57,1.2227986,1.5083678,57,0.7169663,0.36563063,3.7274375,1.8292623,0.2314407,0.34800804
58,3.3842223,5.5438256,58,0.63289887,0.27749342,4.0264726,2.925491,0.08124718,0.1118176
