,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate
113,0.6471613,113,0.20122482,0.83584017,0.7514004
114,0.8430028,114,0.19396845,1.1099104,0.66115016
115,0.64664006,115,0.20987342,0.6885852,0.6703288
116,0.67769396,116,0.18100314,0.8356625,0.75395054
117,0.5321688,117,0.23805004,0.73433554,0.76650107
118,0.62407947,118,0.21481799,0.73242676,0.7600929
119,0.73500174,119,0.22179128,0.8020969,0.7469934
120,0.4092376,120,0.24768533,0.4966972,0.72701627
121,0.51883125,121,0.25184113,0.58960825,0.7645379
122,0.8737878,122,0.31022894,0.89813966,0.5771898
123,0.6498092,123,0.254922,0.7318164,0.7624607
124,0.530683,124,0.1879683,0.622416,0.55660075
125,0.43703535,125,0.22959967,0.50917286,0.73718077
126,0.52975214,126,0.21959116,0.56190056,0.7294934
127,0.59122133,127,0.19120386,0.6864222,0.76119566
128,0.5127185,128,0.2451387,0.6165431,0.71121305
129,0.6706836,129,0.26004124,0.79846907,0.7319937
130,0.6077766,130,0.16185461,0.8505115,0.78615654
131,0.42402607,131,0.19032389,0.49390063,0.6934174
132,0.53983057,132,0.20521893,0.77135634,0.5026748
133,0.59558,133,0.18203393,0.8010263,0.5838016
134,0.5321629,134,0.24586222,0.72294456,0.4797372
135,0.50608647,135,0.20749094,0.5915105,0.73037356
136,0.5209139,136,0.18843918,0.687532,0.7311016
137,0.5882413,137,0.2174104,0.68640065,0.6921886
138,0.57601744,138,0.27283892,0.73750377,0.67434186
139,0.56339234,139,0.19607207,0.65991384,0.7287361
140,0.45474932,140,0.19912326,0.5867671,0.7107649
141,0.47491655,141,0.2105066,0.5392727,0.70674354
142,0.68117297,142,0.29455224,0.82680714,0.6447786
143,0.48752204,143,0.21864621,0.5074085,0.6757929
144,0.7155308,144,0.20566171,0.74743044,0.7795759
145,0.7328794,145,0.18321113,0.91078204,0.64312226
146,0.6111293,146,0.21355824,0.88109577,0.38474151
147,0.64197195,147,0.2469674,0.71518373,0.7457031
148,0.69593596,148,0.18168387,0.77633303,0.7083862
149,0.6624977,149,0.23384184,1.0049812,0.39669478
150,0.66863406,150,0.22661036,0.81540537,0.68291247
151,0.5940656,151,0.20134418,0.6732074,0.7208931
152,0.64762026,152,0.18659836,0.7031697,0.70079917
153,0.6600445,153,0.18611427,0.7278406,0.61960065
