,reward rate,dec temp,cached weight,cached rate,subject
0,0.7213326,5.3945026,3.046913,0.8399715,0
1,0.41949403,5.857047,1.8288188,0.45759112,1
2,0.29993725,3.8425627,2.1618237,0.21497552,2
3,0.50251186,0.53092533,3.5719383,0.80434096,3
4,0.71652555,4.4066906,2.545896,0.6817359,4
5,0.8436637,3.8683927,5.497542,0.5163422,5
6,0.5772889,5.437761,4.446404,0.7195648,6
7,0.94283444,4.8486285,4.8646574,0.32641307,7
8,0.89525944,2.2578008,5.193773,0.25052086,8
9,0.20233446,4.8571987,4.737318,0.16440709,9
10,0.24751152,7.1820316,2.047505,0.1851029,10
11,0.51365525,1.4828706,6.695736,0.42183298,11
12,0.5840503,2.0015848,4.1391125,0.38105035,12
13,0.80247897,1.7558707,2.341887,0.7802906,13
14,0.76351154,3.2755125,4.158847,0.2641247,14
15,0.68853796,1.5626324,2.795927,0.7296387,0
16,0.382412,5.205,1.7958524,0.360022,1
17,0.1083043,2.45657,2.7715518,0.18126574,2
18,0.68314433,4.6606784,5.0257564,0.74233276,3
19,0.51047844,1.2417722,2.5607724,0.69732887,4
20,0.7224226,2.0616727,4.2982173,0.75672114,5
21,0.7391636,4.447881,3.661187,0.59242815,6
22,0.433781,4.1051345,4.4912,0.2639033,7
23,0.5593725,2.6002457,6.7685466,0.29956895,8
24,0.021697884,3.1118262,4.831199,0.2439952,9
25,0.11286003,5.9204197,1.6478424,0.35348633,10
26,0.5681611,2.1012065,6.82185,0.34807715,11
27,0.6012085,1.1210887,3.3087368,0.27573895,12
28,0.48110968,1.4286101,1.9378994,0.7674144,13
29,0.70134383,4.5500965,4.473222,0.42078432,14
30,0.70762074,2.0898976,3.31184,0.366045,0
31,0.19990517,3.7831955,2.3211386,0.61344045,1
32,0.31299698,3.346468,2.2613559,0.08803658,2
33,0.79417384,4.2934237,6.08321,0.6719274,3
34,0.5075842,1.5141522,3.6984205,0.67068684,4
35,0.41510582,3.1062224,4.5895114,0.67651284,5
36,0.7232925,6.723937,4.2785277,0.82802916,6
37,0.8096268,3.4803953,3.5102317,0.3254065,7
38,0.9551749,3.8697162,6.346581,0.41841307,8
39,0.35898733,4.9515386,3.103621,0.15662211,9
40,0.17098096,6.5917034,1.1242511,0.8560509,10
41,0.6068943,3.737929,6.9698734,0.37380728,11
42,0.7494903,3.5730603,2.501056,0.20954214,12
43,0.8132239,2.0208516,3.292464,0.42619056,13
