,inferred discount,subject,inferred learning rate,inferred dec temp,inferred weight
0,0.91963077,0,0.5087966,3.84764,0.35350654
1,0.9238844,1,0.7199874,5.438875,0.4370338
2,0.85964555,2,0.74735546,1.3423454,0.2997261
3,0.93659693,3,0.17703329,5.119044,0.07820772
4,0.9368765,4,0.6876337,2.6602216,0.21781152
5,0.8104227,5,0.52532494,4.057841,0.13091536
6,0.89977795,6,0.6411117,3.9563801,0.44115213
7,0.83968675,7,0.4457642,1.4205352,0.46661848
8,0.9081655,8,0.3034177,5.2154083,0.5008206
9,0.8807406,9,0.69700426,2.624479,0.3596753
10,0.92722964,10,0.5315411,4.9819145,0.27584577
11,0.90924686,11,0.62620085,4.9796076,0.44776744
12,0.9198324,12,0.6321781,5.477759,0.5318317
13,0.9009827,13,0.787885,4.8494787,0.5758953
14,0.9141531,14,0.44226763,4.2893586,0.19750266
15,0.90800726,15,0.72193956,2.99101,0.28133762
16,0.916858,16,0.4582317,4.913171,0.16450685
17,0.8925378,17,0.7245012,2.4550457,0.4134937
18,0.93950856,18,0.6562013,4.3310933,0.09237537
19,0.88272035,19,0.33950055,3.037313,0.41840148
20,0.88111174,20,0.4362179,2.23081,0.19951428
21,0.7304664,21,0.7760581,2.6272233,0.7298254
22,0.9132971,22,0.53388685,4.4107323,0.23221032
23,0.9049863,23,0.65440136,4.167253,0.36614126
24,0.7719491,24,0.69976795,1.467249,0.6859773
25,0.93028474,25,0.6390458,4.6983404,0.3311528
26,0.8889204,26,0.4412601,1.6411242,0.18166047
27,0.89640284,27,0.70012593,5.1112,0.5928171
28,0.9204549,28,0.5520457,1.4462776,0.16702402
29,0.90008456,29,0.41584614,3.0667808,0.14694083
30,0.91524196,30,0.5186184,3.4444497,0.22443704
31,0.66964245,31,0.4936609,2.5294497,0.61504513
32,0.86328757,32,0.6111155,1.0520993,0.3842204
33,0.91650236,33,0.57665503,3.3573241,0.13366196
34,0.8026698,34,0.2877082,1.2916454,0.43371975
35,0.9473296,35,0.497978,3.3407686,0.070076495
36,0.7781472,36,0.48764774,2.5508928,0.35446405
37,0.92466617,37,0.48427892,3.7372935,0.12187417
38,0.93471617,38,0.49004766,3.518101,0.10596971
39,0.89151764,39,0.33396295,3.8571148,0.21454148
40,0.9348061,40,0.7293059,1.5913261,0.08792907
41,0.7582673,41,0.26305375,2.3633595,0.484744
42,0.9444751,42,0.3263923,3.5164342,0.14361039
43,0.89919573,43,0.77795166,4.4596124,0.4568059
44,0.7960812,44,0.6457509,1.8190506,0.55263513
45,0.91434324,45,0.6731991,2.3763502,0.1929368
46,0.9057855,46,0.45377058,4.625075,0.56293815
47,0.9206279,47,0.6019391,3.8621862,0.2984564
48,0.9000488,48,0.8052496,2.9589202,0.18310541
49,0.8888081,49,0.7268243,3.184205,0.5227125
50,0.92905116,50,0.5935619,2.7358432,0.2171681
51,0.83550096,51,0.5833426,1.204334,0.63275266
52,0.8969828,52,0.6239996,4.24742,0.66494787
53,0.84770435,53,0.45120063,2.6514878,0.5614758
54,0.93113846,54,0.65790904,2.5344775,0.16367455
55,0.77663565,55,0.7889658,1.7625842,0.7102766
56,0.9122566,56,0.67535496,3.8756475,0.34101927
57,0.94598764,57,0.5200027,5.3909035,0.0579369
58,0.92150134,58,0.6724251,4.8519917,0.39563572
59,0.9320593,59,0.51122814,5.292044,0.38028404
60,0.8647185,60,0.5903264,2.4981523,0.5627719
61,0.8936583,61,0.46453547,4.332476,0.17521048
62,0.8951832,62,0.7997031,1.4729377,0.63602513
63,0.9182496,63,0.67835987,1.3236122,0.14729197
64,0.9108883,64,0.64258534,4.9677854,0.22711718
65,0.90683293,65,0.83030564,1.5219823,0.22275732
66,0.93688124,66,0.4948927,5.0829268,0.15393731
67,0.9340924,67,0.52203214,5.015573,0.09707819
68,0.84741175,68,0.48940054,2.9611,0.51984274
69,0.8847318,69,0.35925585,2.3412988,0.45237035
70,0.92321056,70,0.659555,2.8810067,0.27813512
71,0.9274201,71,0.8046184,1.7568895,0.28805995
72,0.8672011,72,0.9323204,3.9536319,0.8628314
73,0.93047285,73,0.5786353,2.9147615,0.19716395
74,0.9331199,74,0.47439405,4.690811,0.13678785
