,inferred dec temp,subject,inferred reward rate,inferred habitual tendency,inferred policy rate
0,1.6177108,0,0.45915955,1.5397176,0.06492659
1,2.0258102,1,0.6102931,1.2631354,0.75212836
2,2.7740226,2,0.7134054,1.2501496,0.70542234
3,2.7149527,3,0.79967076,1.8021426,0.49458456
4,2.3100672,4,0.5150475,3.8151987,0.1462734
5,0.75348985,5,0.62063885,1.5223494,0.0320742
6,3.3764546,6,0.0056588775,1.3320669,0.29354003
7,1.1598927,7,0.6016765,2.407283,0.07836125
8,2.8216028,8,0.6824755,0.967374,0.6519652
9,2.6743188,9,0.16268212,1.3453194,0.56774527
10,2.5224657,10,0.5074293,3.2065556,0.14985996
11,1.895909,11,0.78385204,0.899421,0.4984458
12,2.949522,12,0.030457152,1.7032837,0.022081433
13,6.3437066,13,0.027829384,2.269514,0.07036793
14,6.0880604,14,0.005754348,3.090432,0.1741808
15,2.0846744,15,0.045950294,2.091563,0.2668952
16,1.7648739,16,0.8173999,1.1785105,0.76142764
17,4.033933,17,0.8755625,1.6928298,0.7111583
18,3.1979067,18,0.024902247,1.9943135,0.24941242
19,2.710349,19,0.17744198,1.8466778,0.5444622
20,0.75583184,20,0.5270273,1.451763,0.033431787
21,3.5353334,21,0.07606439,2.0795703,0.21177939
22,6.4283605,22,0.015500987,2.4648538,0.2643317
23,3.4685357,23,0.9051348,1.1889954,0.80113304
24,2.0995564,24,0.42150977,3.4413676,0.18780157
25,2.5004954,25,0.53288233,4.571042,0.19222052
26,3.5838737,26,0.63725454,2.0393217,0.7219193
27,3.3631835,27,0.91893995,1.4069521,0.79060245
28,0.63697,28,0.7514241,1.3592961,0.02478848
29,2.7743866,29,0.8975668,1.8894509,0.71755373
30,3.5752623,30,0.36442798,3.7922862,0.12347987
31,2.2116177,31,0.09475688,2.9773736,0.34440985
32,3.185123,32,0.18666103,1.5941699,0.42559412
33,1.745376,33,0.5523247,0.93225396,0.7798193
34,1.3564793,34,0.5239403,2.1069531,0.118962646
35,5.2296414,35,0.01365047,1.94375,0.07658567
36,3.9379299,36,0.9029984,1.3302032,0.62702376
37,2.4615757,37,0.3720071,2.032758,0.13673596
38,2.9964645,38,0.015666408,1.5246032,0.36378008
39,3.717586,39,0.9017036,1.6786317,0.83646524
40,1.9574214,40,0.103664614,1.9891958,0.52105665
41,1.3216717,41,0.7016366,1.8038973,0.27844927
42,1.905032,42,0.7756416,1.5044183,0.5371489
43,4.2244167,43,0.9287404,1.1074798,0.70036876
44,0.9365614,44,0.17254046,0.9097655,0.6773965
45,2.5903728,45,0.21946067,2.3817372,0.18192948
46,1.0879239,46,0.69438833,0.8467707,0.562891
47,3.153206,47,0.7589604,2.1257894,0.7400772
48,3.8741198,48,0.73676395,1.9976189,0.51032925
49,2.3048148,49,0.08768843,2.4575768,0.15072851
50,2.4879723,50,0.51405966,4.5430593,0.19163653
51,1.3235291,51,0.49927473,1.6801779,0.06788091
52,3.2378595,52,0.8886555,1.7416265,0.8083573
53,3.6025062,53,0.009782261,2.2721655,0.092057124
54,1.8133411,54,0.77378017,0.81450975,0.39457867
55,3.716436,55,0.86371905,1.9852986,0.8352368
56,0.858548,56,0.32489535,1.4825717,0.032514594
57,1.8924767,57,0.18258211,1.5090061,0.7189317
58,2.7509034,58,0.20226476,2.0200171,0.30169752
59,2.7156913,59,0.022116195,1.5353726,0.6023092
60,1.9219867,60,0.26787663,1.6210959,0.56891686
61,2.2209833,61,0.091542326,2.122264,0.23347928
62,2.5446424,62,0.49100053,4.334505,0.17469169
63,4.3679247,63,0.024356125,1.5743946,0.37446094
64,3.646516,64,0.0064713736,2.2482855,0.23202078
65,1.2138851,65,0.6498594,2.1939707,0.1307771
66,2.7842343,66,0.13875425,1.6575098,0.3755647
67,2.5847297,67,0.83553773,2.0404744,0.6329708
68,1.9772096,68,0.41093147,2.0406022,0.06184297
69,3.0953066,69,0.042582102,1.9653497,0.3823074
70,3.209074,70,0.93888557,1.0753942,0.7940042
71,0.9575802,71,0.5192864,1.6591885,0.0795371
72,6.3722987,72,0.0047093127,2.05211,0.17136005
73,2.0696712,73,0.1618012,1.1341853,0.5514274
74,2.6810167,74,0.8955318,1.3118887,0.6357565
75,2.131054,75,0.02886645,1.3092146,0.31548414
76,0.84326035,76,0.1895638,0.9159187,0.09979876
77,3.353106,77,0.016010247,2.0311463,0.11197766
78,2.5250762,78,0.21350437,2.0125158,0.43964404
79,2.8443096,79,0.42308167,2.9928005,0.17469852
80,2.8068197,80,0.21477678,1.4294893,0.5837104
81,2.389754,81,0.3401226,1.7400794,0.09482627
82,4.3618817,82,0.017164005,2.0921724,0.40827394
83,2.9983213,83,0.027376648,1.5614135,0.038946632
84,2.923215,84,0.9428542,1.1326091,0.794355
85,2.0515995,85,0.82042396,1.2449133,0.7166703
86,2.9454517,86,0.3164404,1.3968056,0.78925353
87,3.0487056,87,0.25408506,2.4458857,0.18933676
88,1.2871426,88,0.46413502,0.8105856,0.30589527
89,5.2774334,89,0.9343208,1.528915,0.8152721
90,2.364773,90,0.08921974,2.2268915,0.54490983
91,2.7746394,91,0.8344167,1.9948411,0.71032643
92,2.0179956,92,0.087784655,2.132854,0.29810542
93,2.7021806,93,0.3993814,2.1606982,0.5554642
94,2.1878996,94,0.6754141,1.0046184,0.50176376
95,2.547673,95,0.67631567,1.8147602,0.4522754
96,3.1079464,96,0.80531615,1.3065406,0.7167553
97,5.1958847,97,0.95305234,1.2970518,0.65493405
98,2.9001718,98,0.022767318,1.7387241,0.49780488
99,3.3043175,99,0.9069491,1.223819,0.71123874
100,2.7368355,100,0.30721954,0.9980372,0.5351698
101,3.7999668,101,0.024083165,1.9788003,0.45532426
102,6.029215,102,0.018976204,1.8082857,0.4019236
103,2.5907917,103,0.6497466,1.4986211,0.5280503
104,3.5264444,104,0.34676066,1.804794,0.72965944
105,1.8537134,105,0.07893152,1.6730556,0.5592726
106,3.466739,106,0.101401456,1.680277,0.6979646
107,2.781228,107,0.13400562,1.9412544,0.4367519
108,4.4235806,108,0.096286744,2.5466373,0.17323694
109,1.2410691,109,0.58020765,0.8691349,0.75128347
110,3.259523,110,0.5144333,2.1662831,0.4499059
111,0.85010064,111,0.6449033,1.8789148,0.08402562
112,2.3494387,112,0.363295,3.1271987,0.10747484
113,3.1908906,113,0.035103858,1.5287457,0.46243006
114,3.628603,114,0.86264414,1.7247741,0.6695679
115,1.6809568,115,0.21040778,1.2146145,0.42190492
116,2.3810217,116,0.01838826,1.4422706,0.63954955
117,2.6640947,117,0.7799145,1.205976,0.695464
118,2.2684472,118,0.8084725,1.4419081,0.599114
119,3.257589,119,0.057697594,2.2962837,0.2453406
120,3.1768064,120,0.12107013,1.3330652,0.74947196
121,3.1167529,121,0.6947839,1.5815651,0.7688969
122,4.5887737,122,0.3615394,2.3477437,0.57413334
123,4.2322283,123,0.02244843,2.398484,0.40350357
124,3.418042,124,0.8970026,1.4790094,0.7996626
125,2.7662597,125,0.83087623,1.4797363,0.7950791
126,2.1774755,126,0.2358307,1.1128935,0.34120753
127,5.65676,127,0.004829034,1.9254122,0.0974382
128,2.9860365,128,0.03434252,1.4588586,0.653271
129,5.9615803,129,0.0040359613,1.492033,0.0833044
130,3.6362107,130,0.0062002935,1.8332754,0.24766208
131,2.0472088,131,0.07233259,1.2422458,0.28499907
132,2.6383326,132,0.8632236,2.5291147,0.7520022
133,2.49944,133,0.061868604,1.5886333,0.67638797
134,6.641569,134,0.0014080252,2.4983435,0.024988735
135,2.531053,135,0.56259936,1.8828077,0.78314954
136,2.9309204,136,0.13143362,2.1534019,0.22727986
137,3.1700063,137,0.07226461,2.1020238,0.5814783
138,2.419588,138,0.5079387,4.267209,0.18887372
139,3.0869346,139,0.25352478,1.5918006,0.49535227
140,0.6347068,140,0.6000846,1.4035225,0.056112673
141,3.9399662,141,0.010025034,1.859554,0.32829267
142,2.1077147,142,0.3868338,2.199427,0.6158646
143,1.9774498,143,0.023179326,2.2354038,0.41876438
144,0.8842418,144,0.47341755,0.75985867,0.32482964
145,2.1090446,145,0.8092898,1.9082813,0.83163804
146,4.1342998,146,0.24346927,1.4200706,0.034164544
147,1.4153291,147,0.6869959,0.97225523,0.80623955
148,2.1808612,148,0.14064448,2.230029,0.1700906
149,2.7611337,149,0.8139469,1.5087029,0.8442079
150,3.3888338,150,0.50368506,2.2450387,0.668264
151,1.0465208,151,0.5298951,0.9420836,0.80250496
152,2.8271084,152,0.24817066,1.2602576,0.57493645
153,4.6112046,153,0.042868078,2.6559243,0.21727787
154,3.0865731,154,0.095664605,1.8728064,0.71822727
155,3.2733092,155,0.8910666,1.3627621,0.754377
156,3.3481536,156,0.913974,1.47992,0.5862593
157,3.6845343,157,0.24763846,2.3706965,0.5273603
158,1.9025267,158,0.74324834,1.4272184,0.5276697
159,1.9237534,159,0.44108778,2.0462396,0.12637533
160,4.4370775,160,0.9309494,1.238762,0.78075486
161,4.2172365,161,0.92542785,1.8472996,0.8247223
162,1.6391006,162,0.6705938,2.5419466,0.24906592
163,4.46432,163,0.039393608,2.518868,0.32232046
164,3.3565364,164,0.90161365,1.5324004,0.816637
165,2.8732347,165,0.36459154,1.7490152,0.4609035
166,2.4595323,166,0.04481869,2.3849785,0.20983446
167,2.9367592,167,0.20034201,2.0032153,0.1077246
168,1.3278545,168,0.49004567,1.5179305,0.032543484
169,2.563124,169,0.13440739,2.1379778,0.568561
170,2.145547,170,0.4360364,3.5672116,0.13813904
171,3.16682,171,0.053479508,1.9553779,0.438328
172,2.7135947,172,0.076258905,2.0699415,0.66654515
173,1.9310666,173,0.20215014,1.0557398,0.32064068
174,2.9463334,174,0.86274636,1.22047,0.74999666
175,2.1872458,175,0.68166536,1.3137969,0.71237266
176,3.5597632,176,0.8470456,1.3460411,0.6531656
177,3.5938656,177,0.10552942,1.924244,0.09283388
178,1.6014614,178,0.58383894,1.4697891,0.6936352
179,3.420678,179,0.8670847,1.3244282,0.5311477
180,6.7310176,180,0.016418647,2.0566325,0.23838137
181,3.449418,181,0.8741455,1.1843145,0.722167
182,2.239691,182,0.77083355,1.3897042,0.5045085
183,3.576457,183,0.6301088,2.111194,0.5900145
184,4.2387867,184,0.097075544,2.7368326,0.17689867
185,2.620321,185,0.7618927,1.2265571,0.611843
186,0.6844815,186,0.5967638,1.3996657,0.024060963
187,2.0565197,187,0.39209113,1.9982871,0.28356752
