,trial type,subject,rewarded,common,repeat
293,rewarded rare,0.0,rewarded,rare,False
294,unrewarded common,0.0,unrewarded,common,True
295,rewarded common,0.0,rewarded,common,True
296,rewarded common,0.0,rewarded,common,True
297,rewarded common,0.0,rewarded,common,True
298,unrewarded common,0.0,unrewarded,common,True
299,unrewarded common,0.0,unrewarded,common,True
300,unrewarded common,0.0,unrewarded,common,False
301,unrewarded rare,0.0,unrewarded,rare,True
302,rewarded common,0.0,rewarded,common,True
303,unrewarded common,0.0,unrewarded,common,True
304,unrewarded common,0.0,unrewarded,common,True
305,rewarded common,0.0,rewarded,common,True
306,rewarded common,0.0,rewarded,common,True
307,unrewarded common,0.0,unrewarded,common,True
308,unrewarded rare,0.0,unrewarded,rare,True
309,unrewarded common,0.0,unrewarded,common,False
310,unrewarded common,0.0,unrewarded,common,True
311,rewarded common,0.0,rewarded,common,True
312,unrewarded rare,0.0,unrewarded,rare,True
313,unrewarded common,0.0,unrewarded,common,True
314,unrewarded rare,0.0,unrewarded,rare,True
316,rewarded rare,0.0,rewarded,rare,False
317,unrewarded common,0.0,unrewarded,common,False
318,rewarded common,0.0,rewarded,common,True
319,rewarded rare,0.0,rewarded,rare,True
320,rewarded common,0.0,rewarded,common,True
321,unrewarded common,0.0,unrewarded,common,True
322,unrewarded common,0.0,unrewarded,common,False
323,unrewarded rare,0.0,unrewarded,rare,False
325,rewarded rare,0.0,rewarded,rare,False
326,rewarded common,0.0,rewarded,common,True
327,unrewarded common,0.0,unrewarded,common,True
328,rewarded common,0.0,rewarded,common,True
329,rewarded common,0.0,rewarded,common,True
330,unrewarded common,0.0,unrewarded,common,True
331,unrewarded rare,0.0,unrewarded,rare,True
332,rewarded common,0.0,rewarded,common,True
333,unrewarded common,0.0,unrewarded,common,True
334,rewarded common,0.0,rewarded,common,True
335,rewarded rare,0.0,rewarded,rare,False
336,unrewarded common,0.0,unrewarded,common,False
337,unrewarded rare,0.0,unrewarded,rare,False
338,unrewarded common,0.0,unrewarded,common,True
339,unrewarded common,0.0,unrewarded,common,True
340,unrewarded rare,0.0,unrewarded,rare,False
341,rewarded common,0.0,rewarded,common,True
342,rewarded common,0.0,rewarded,common,False
343,unrewarded common,0.0,unrewarded,common,False
344,unrewarded rare,0.0,unrewarded,rare,True
345,rewarded common,0.0,rewarded,common,True
346,unrewarded common,0.0,unrewarded,common,True
347,rewarded common,0.0,rewarded,common,True
348,unrewarded common,0.0,unrewarded,common,True
349,rewarded common,0.0,rewarded,common,True
350,unrewarded rare,0.0,unrewarded,rare,True
351,rewarded common,0.0,rewarded,common,True
352,unrewarded rare,0.0,unrewarded,rare,True
353,unrewarded common,0.0,unrewarded,common,True
354,unrewarded common,0.0,unrewarded,common,True
356,rewarded common,0.0,rewarded,common,True
357,rewarded rare,0.0,rewarded,rare,True
358,unrewarded rare,0.0,unrewarded,rare,True
359,unrewarded rare,0.0,unrewarded,rare,True
360,unrewarded common,0.0,unrewarded,common,True
361,rewarded common,0.0,rewarded,common,False
362,unrewarded common,0.0,unrewarded,common,False
363,unrewarded rare,0.0,unrewarded,rare,True
364,unrewarded common,0.0,unrewarded,common,True
365,rewarded rare,0.0,rewarded,rare,True
366,rewarded common,0.0,rewarded,common,False
368,rewarded rare,0.0,rewarded,rare,True
369,unrewarded common,0.0,unrewarded,common,True
370,unrewarded common,0.0,unrewarded,common,False
371,rewarded rare,0.0,rewarded,rare,False
372,rewarded rare,0.0,rewarded,rare,False
373,rewarded common,0.0,rewarded,common,True
374,unrewarded common,0.0,unrewarded,common,True
375,rewarded common,0.0,rewarded,common,True
376,rewarded common,0.0,rewarded,common,False
378,unrewarded common,0.0,unrewarded,common,False
379,rewarded common,0.0,rewarded,common,True
380,rewarded common,0.0,rewarded,common,True
381,unrewarded common,0.0,unrewarded,common,True
382,unrewarded common,0.0,unrewarded,common,True
383,unrewarded common,0.0,unrewarded,common,False
384,unrewarded rare,0.0,unrewarded,rare,True
385,unrewarded common,0.0,unrewarded,common,True
386,unrewarded common,0.0,unrewarded,common,False
387,rewarded rare,0.0,rewarded,rare,False
389,rewarded rare,0.0,rewarded,rare,True
390,unrewarded rare,0.0,unrewarded,rare,True
391,rewarded rare,0.0,rewarded,rare,True
392,rewarded rare,0.0,rewarded,rare,False
393,unrewarded common,0.0,unrewarded,common,True
394,unrewarded common,0.0,unrewarded,common,True
395,unrewarded rare,0.0,unrewarded,rare,False
396,rewarded rare,0.0,rewarded,rare,True
397,rewarded common,0.0,rewarded,common,True
398,rewarded common,0.0,rewarded,common,True
399,rewarded rare,0.0,rewarded,rare,True
400,rewarded rare,0.0,rewarded,rare,False
201,unrewarded common,1.0,unrewarded,common,True
202,unrewarded common,1.0,unrewarded,common,True
203,unrewarded common,1.0,unrewarded,common,True
204,rewarded common,1.0,rewarded,common,True
205,rewarded rare,1.0,rewarded,rare,True
206,unrewarded common,1.0,unrewarded,common,True
207,unrewarded common,1.0,unrewarded,common,False
208,rewarded common,1.0,rewarded,common,True
209,rewarded common,1.0,rewarded,common,True
210,rewarded rare,1.0,rewarded,rare,True
211,unrewarded common,1.0,unrewarded,common,True
212,rewarded common,1.0,rewarded,common,True
213,rewarded common,1.0,rewarded,common,True
214,unrewarded common,1.0,unrewarded,common,True
215,unrewarded common,1.0,unrewarded,common,True
216,unrewarded common,1.0,unrewarded,common,False
217,unrewarded common,1.0,unrewarded,common,True
218,rewarded rare,1.0,rewarded,rare,False
219,rewarded common,1.0,rewarded,common,True
220,unrewarded common,1.0,unrewarded,common,True
221,rewarded common,1.0,rewarded,common,True
222,unrewarded common,1.0,unrewarded,common,True
223,rewarded common,1.0,rewarded,common,True
224,rewarded common,1.0,rewarded,common,True
225,rewarded common,1.0,rewarded,common,True
226,rewarded common,1.0,rewarded,common,True
227,rewarded common,1.0,rewarded,common,True
228,rewarded common,1.0,rewarded,common,True
229,rewarded common,1.0,rewarded,common,True
230,unrewarded rare,1.0,unrewarded,rare,True
231,unrewarded rare,1.0,unrewarded,rare,True
232,rewarded common,1.0,rewarded,common,True
233,rewarded common,1.0,rewarded,common,True
234,rewarded rare,1.0,rewarded,rare,True
235,rewarded rare,1.0,rewarded,rare,True
236,unrewarded rare,1.0,unrewarded,rare,True
237,unrewarded rare,1.0,unrewarded,rare,False
238,rewarded common,1.0,rewarded,common,False
239,rewarded common,1.0,rewarded,common,True
240,rewarded common,1.0,rewarded,common,True
241,rewarded rare,1.0,rewarded,rare,True
242,unrewarded rare,1.0,unrewarded,rare,True
243,rewarded common,1.0,rewarded,common,True
244,rewarded common,1.0,rewarded,common,True
245,rewarded common,1.0,rewarded,common,True
246,rewarded common,1.0,rewarded,common,True
247,unrewarded rare,1.0,unrewarded,rare,True
248,unrewarded common,1.0,unrewarded,common,True
249,unrewarded common,1.0,unrewarded,common,True
250,unrewarded common,1.0,unrewarded,common,True
251,unrewarded rare,1.0,unrewarded,rare,True
252,unrewarded rare,1.0,unrewarded,rare,True
253,rewarded common,1.0,rewarded,common,True
254,unrewarded common,1.0,unrewarded,common,True
255,rewarded common,1.0,rewarded,common,True
256,unrewarded common,1.0,unrewarded,common,True
257,unrewarded common,1.0,unrewarded,common,True
258,unrewarded rare,1.0,unrewarded,rare,False
259,rewarded common,1.0,rewarded,common,True
260,rewarded common,1.0,rewarded,common,True
261,unrewarded common,1.0,unrewarded,common,True
262,unrewarded common,1.0,unrewarded,common,False
263,rewarded rare,1.0,rewarded,rare,False
264,unrewarded common,1.0,unrewarded,common,False
265,unrewarded common,1.0,unrewarded,common,False
266,rewarded common,1.0,rewarded,common,True
267,unrewarded common,1.0,unrewarded,common,True
269,rewarded rare,1.0,rewarded,rare,True
270,unrewarded common,1.0,unrewarded,common,False
271,unrewarded rare,1.0,unrewarded,rare,True
272,unrewarded common,1.0,unrewarded,common,False
273,unrewarded common,1.0,unrewarded,common,True
274,unrewarded common,1.0,unrewarded,common,True
275,rewarded common,1.0,rewarded,common,True
276,rewarded common,1.0,rewarded,common,True
277,rewarded common,1.0,rewarded,common,True
278,rewarded common,1.0,rewarded,common,True
279,unrewarded common,1.0,unrewarded,common,True
280,rewarded common,1.0,rewarded,common,True
281,unrewarded common,1.0,unrewarded,common,True
282,rewarded rare,1.0,rewarded,rare,True
283,rewarded common,1.0,rewarded,common,True
284,rewarded common,1.0,rewarded,common,True
285,unrewarded common,1.0,unrewarded,common,False
286,unrewarded common,1.0,unrewarded,common,True
287,unrewarded rare,1.0,unrewarded,rare,True
288,unrewarded common,1.0,unrewarded,common,False
289,unrewarded common,1.0,unrewarded,common,True
290,rewarded common,1.0,rewarded,common,True
291,unrewarded common,1.0,unrewarded,common,True
292,rewarded common,1.0,rewarded,common,True
293,unrewarded common,1.0,unrewarded,common,False
294,unrewarded common,1.0,unrewarded,common,False
295,unrewarded common,1.0,unrewarded,common,False
296,unrewarded common,1.0,unrewarded,common,True
297,rewarded common,1.0,rewarded,common,True
298,unrewarded common,1.0,unrewarded,common,True
299,unrewarded common,1.0,unrewarded,common,True
300,unrewarded common,1.0,unrewarded,common,True
301,unrewarded common,1.0,unrewarded,common,False
302,unrewarded common,1.0,unrewarded,common,True
303,rewarded common,1.0,rewarded,common,True
304,rewarded common,1.0,rewarded,common,True
305,unrewarded common,1.0,unrewarded,common,True
306,unrewarded rare,1.0,unrewarded,rare,True
307,rewarded common,1.0,rewarded,common,True
308,unrewarded common,1.0,unrewarded,common,True
309,unrewarded rare,1.0,unrewarded,rare,True
310,unrewarded common,1.0,unrewarded,common,False
311,unrewarded rare,1.0,unrewarded,rare,True
312,unrewarded common,1.0,unrewarded,common,True
313,rewarded common,1.0,rewarded,common,True
314,unrewarded common,1.0,unrewarded,common,True
315,unrewarded common,1.0,unrewarded,common,False
316,rewarded common,1.0,rewarded,common,True
317,unrewarded common,1.0,unrewarded,common,True
318,unrewarded rare,1.0,unrewarded,rare,True
319,unrewarded rare,1.0,unrewarded,rare,True
320,rewarded rare,1.0,rewarded,rare,False
321,rewarded rare,1.0,rewarded,rare,False
322,unrewarded rare,1.0,unrewarded,rare,True
323,unrewarded rare,1.0,unrewarded,rare,True
324,rewarded rare,1.0,rewarded,rare,True
325,unrewarded rare,1.0,unrewarded,rare,True
326,unrewarded common,1.0,unrewarded,common,True
327,rewarded rare,1.0,rewarded,rare,True
328,rewarded common,1.0,rewarded,common,False
329,unrewarded rare,1.0,unrewarded,rare,True
330,rewarded common,1.0,rewarded,common,True
331,unrewarded common,1.0,unrewarded,common,True
332,rewarded common,1.0,rewarded,common,True
333,unrewarded common,1.0,unrewarded,common,True
334,rewarded common,1.0,rewarded,common,True
335,unrewarded rare,1.0,unrewarded,rare,True
336,unrewarded common,1.0,unrewarded,common,True
337,rewarded common,1.0,rewarded,common,True
338,rewarded common,1.0,rewarded,common,True
339,unrewarded rare,1.0,unrewarded,rare,True
340,unrewarded common,1.0,unrewarded,common,True
341,rewarded common,1.0,rewarded,common,True
342,unrewarded common,1.0,unrewarded,common,True
343,unrewarded common,1.0,unrewarded,common,True
344,unrewarded common,1.0,unrewarded,common,True
345,rewarded common,1.0,rewarded,common,True
346,rewarded common,1.0,rewarded,common,True
347,rewarded rare,1.0,rewarded,rare,True
348,unrewarded common,1.0,unrewarded,common,True
349,unrewarded common,1.0,unrewarded,common,False
350,unrewarded rare,1.0,unrewarded,rare,True
351,rewarded common,1.0,rewarded,common,True
352,unrewarded rare,1.0,unrewarded,rare,True
353,unrewarded common,1.0,unrewarded,common,False
354,rewarded rare,1.0,rewarded,rare,False
355,rewarded common,1.0,rewarded,common,True
356,unrewarded common,1.0,unrewarded,common,False
357,rewarded rare,1.0,rewarded,rare,False
358,unrewarded common,1.0,unrewarded,common,True
359,unrewarded rare,1.0,unrewarded,rare,False
360,rewarded rare,1.0,rewarded,rare,True
361,unrewarded common,1.0,unrewarded,common,False
362,rewarded common,1.0,rewarded,common,True
363,unrewarded common,1.0,unrewarded,common,True
364,rewarded common,1.0,rewarded,common,False
367,rewarded rare,1.0,rewarded,rare,True
368,unrewarded common,1.0,unrewarded,common,False
369,rewarded common,1.0,rewarded,common,True
370,unrewarded common,1.0,unrewarded,common,True
371,rewarded common,1.0,rewarded,common,True
372,rewarded common,1.0,rewarded,common,True
373,rewarded common,1.0,rewarded,common,True
374,rewarded common,1.0,rewarded,common,True
375,unrewarded common,1.0,unrewarded,common,True
376,unrewarded common,1.0,unrewarded,common,True
377,rewarded common,1.0,rewarded,common,True
378,rewarded common,1.0,rewarded,common,True
379,rewarded rare,1.0,rewarded,rare,True
380,unrewarded common,1.0,unrewarded,common,True
381,rewarded common,1.0,rewarded,common,True
382,unrewarded rare,1.0,unrewarded,rare,True
383,unrewarded common,1.0,unrewarded,common,True
384,unrewarded common,1.0,unrewarded,common,False
385,unrewarded rare,1.0,unrewarded,rare,True
386,rewarded common,1.0,rewarded,common,True
387,unrewarded common,1.0,unrewarded,common,True
388,unrewarded common,1.0,unrewarded,common,False
389,unrewarded common,1.0,unrewarded,common,True
390,unrewarded rare,1.0,unrewarded,rare,False
391,rewarded common,1.0,rewarded,common,True
392,unrewarded common,1.0,unrewarded,common,True
393,rewarded common,1.0,rewarded,common,True
394,unrewarded rare,1.0,unrewarded,rare,True
395,rewarded common,1.0,rewarded,common,True
396,unrewarded rare,1.0,unrewarded,rare,True
397,unrewarded common,1.0,unrewarded,common,True
398,unrewarded rare,1.0,unrewarded,rare,True
399,unrewarded common,1.0,unrewarded,common,False
400,rewarded common,1.0,rewarded,common,True
201,unrewarded common,2.0,unrewarded,common,True
202,rewarded common,2.0,rewarded,common,True
203,unrewarded common,2.0,unrewarded,common,False
204,rewarded rare,2.0,rewarded,rare,True
205,rewarded rare,2.0,rewarded,rare,False
206,rewarded rare,2.0,rewarded,rare,False
207,unrewarded common,2.0,unrewarded,common,True
208,unrewarded common,2.0,unrewarded,common,False
209,unrewarded common,2.0,unrewarded,common,False
210,unrewarded rare,2.0,unrewarded,rare,False
211,unrewarded common,2.0,unrewarded,common,False
212,unrewarded common,2.0,unrewarded,common,True
213,unrewarded common,2.0,unrewarded,common,True
214,unrewarded common,2.0,unrewarded,common,True
215,unrewarded common,2.0,unrewarded,common,False
216,unrewarded common,2.0,unrewarded,common,False
217,unrewarded common,2.0,unrewarded,common,True
218,rewarded common,2.0,rewarded,common,True
219,unrewarded common,2.0,unrewarded,common,False
220,unrewarded common,2.0,unrewarded,common,True
221,rewarded rare,2.0,rewarded,rare,False
222,rewarded common,2.0,rewarded,common,True
223,rewarded rare,2.0,rewarded,rare,True
224,rewarded common,2.0,rewarded,common,True
225,unrewarded common,2.0,unrewarded,common,False
226,unrewarded common,2.0,unrewarded,common,False
227,rewarded rare,2.0,rewarded,rare,True
228,unrewarded common,2.0,unrewarded,common,True
229,rewarded rare,2.0,rewarded,rare,True
230,unrewarded common,2.0,unrewarded,common,False
231,unrewarded common,2.0,unrewarded,common,True
232,rewarded common,2.0,rewarded,common,True
233,unrewarded common,2.0,unrewarded,common,False
234,unrewarded common,2.0,unrewarded,common,False
235,unrewarded rare,2.0,unrewarded,rare,True
236,unrewarded common,2.0,unrewarded,common,False
237,rewarded common,2.0,rewarded,common,False
238,unrewarded rare,2.0,unrewarded,rare,False
239,rewarded common,2.0,rewarded,common,False
240,unrewarded rare,2.0,unrewarded,rare,False
242,unrewarded common,2.0,unrewarded,common,False
243,unrewarded rare,2.0,unrewarded,rare,True
244,unrewarded common,2.0,unrewarded,common,False
245,unrewarded common,2.0,unrewarded,common,False
246,rewarded rare,2.0,rewarded,rare,True
247,unrewarded rare,2.0,unrewarded,rare,False
248,rewarded common,2.0,rewarded,common,False
249,unrewarded common,2.0,unrewarded,common,False
250,rewarded rare,2.0,rewarded,rare,False
251,rewarded common,2.0,rewarded,common,False
252,rewarded common,2.0,rewarded,common,True
253,rewarded rare,2.0,rewarded,rare,False
255,rewarded common,2.0,rewarded,common,False
256,rewarded common,2.0,rewarded,common,True
257,unrewarded common,2.0,unrewarded,common,False
258,unrewarded common,2.0,unrewarded,common,False
259,unrewarded rare,2.0,unrewarded,rare,True
260,unrewarded common,2.0,unrewarded,common,False
261,unrewarded common,2.0,unrewarded,common,True
262,unrewarded common,2.0,unrewarded,common,True
263,rewarded common,2.0,rewarded,common,True
264,unrewarded common,2.0,unrewarded,common,False
265,rewarded rare,2.0,rewarded,rare,False
266,unrewarded common,2.0,unrewarded,common,True
267,unrewarded rare,2.0,unrewarded,rare,True
268,unrewarded rare,2.0,unrewarded,rare,False
269,unrewarded rare,2.0,unrewarded,rare,True
270,unrewarded common,2.0,unrewarded,common,False
271,unrewarded common,2.0,unrewarded,common,False
272,rewarded common,2.0,rewarded,common,True
273,rewarded common,2.0,rewarded,common,True
274,unrewarded rare,2.0,unrewarded,rare,True
275,unrewarded rare,2.0,unrewarded,rare,True
276,unrewarded common,2.0,unrewarded,common,False
277,unrewarded common,2.0,unrewarded,common,True
278,unrewarded common,2.0,unrewarded,common,True
279,unrewarded common,2.0,unrewarded,common,False
280,unrewarded common,2.0,unrewarded,common,True
281,unrewarded common,2.0,unrewarded,common,True
282,rewarded common,2.0,rewarded,common,True
283,unrewarded common,2.0,unrewarded,common,False
284,unrewarded rare,2.0,unrewarded,rare,True
285,rewarded common,2.0,rewarded,common,True
286,unrewarded common,2.0,unrewarded,common,False
287,rewarded common,2.0,rewarded,common,False
288,rewarded common,2.0,rewarded,common,False
289,rewarded rare,2.0,rewarded,rare,False
290,rewarded common,2.0,rewarded,common,False
291,unrewarded rare,2.0,unrewarded,rare,True
292,unrewarded common,2.0,unrewarded,common,False
293,unrewarded rare,2.0,unrewarded,rare,False
294,rewarded rare,2.0,rewarded,rare,True
295,rewarded common,2.0,rewarded,common,False
296,unrewarded common,2.0,unrewarded,common,False
297,unrewarded common,2.0,unrewarded,common,True
298,unrewarded common,2.0,unrewarded,common,True
299,rewarded rare,2.0,rewarded,rare,True
300,unrewarded rare,2.0,unrewarded,rare,True
301,unrewarded common,2.0,unrewarded,common,True
302,rewarded common,2.0,rewarded,common,True
303,rewarded common,2.0,rewarded,common,True
304,rewarded rare,2.0,rewarded,rare,True
305,unrewarded common,2.0,unrewarded,common,True
306,unrewarded rare,2.0,unrewarded,rare,False
307,unrewarded rare,2.0,unrewarded,rare,False
308,rewarded common,2.0,rewarded,common,True
309,unrewarded common,2.0,unrewarded,common,True
310,unrewarded common,2.0,unrewarded,common,False
311,unrewarded common,2.0,unrewarded,common,False
312,unrewarded rare,2.0,unrewarded,rare,True
313,unrewarded rare,2.0,unrewarded,rare,True
314,unrewarded common,2.0,unrewarded,common,True
315,rewarded common,2.0,rewarded,common,True
317,rewarded common,2.0,rewarded,common,True
318,rewarded common,2.0,rewarded,common,True
319,unrewarded common,2.0,unrewarded,common,True
320,rewarded common,2.0,rewarded,common,True
321,unrewarded common,2.0,unrewarded,common,True
322,unrewarded common,2.0,unrewarded,common,False
323,unrewarded common,2.0,unrewarded,common,True
324,rewarded rare,2.0,rewarded,rare,True
325,unrewarded common,2.0,unrewarded,common,True
326,unrewarded rare,2.0,unrewarded,rare,True
327,unrewarded rare,2.0,unrewarded,rare,False
328,unrewarded common,2.0,unrewarded,common,False
329,rewarded common,2.0,rewarded,common,True
330,rewarded common,2.0,rewarded,common,True
331,rewarded rare,2.0,rewarded,rare,False
332,rewarded common,2.0,rewarded,common,True
333,rewarded common,2.0,rewarded,common,True
334,unrewarded common,2.0,unrewarded,common,False
335,rewarded common,2.0,rewarded,common,True
336,rewarded common,2.0,rewarded,common,True
337,unrewarded common,2.0,unrewarded,common,False
338,unrewarded common,2.0,unrewarded,common,True
339,rewarded common,2.0,rewarded,common,True
340,rewarded rare,2.0,rewarded,rare,False
341,rewarded common,2.0,rewarded,common,True
342,rewarded common,2.0,rewarded,common,False
343,unrewarded rare,2.0,unrewarded,rare,True
344,unrewarded common,2.0,unrewarded,common,True
345,unrewarded common,2.0,unrewarded,common,False
346,rewarded common,2.0,rewarded,common,True
347,rewarded common,2.0,rewarded,common,True
348,rewarded common,2.0,rewarded,common,False
349,unrewarded rare,2.0,unrewarded,rare,True
350,rewarded common,2.0,rewarded,common,True
351,rewarded common,2.0,rewarded,common,False
352,rewarded common,2.0,rewarded,common,True
353,unrewarded common,2.0,unrewarded,common,True
354,unrewarded common,2.0,unrewarded,common,False
355,rewarded rare,2.0,rewarded,rare,True
356,unrewarded rare,2.0,unrewarded,rare,True
357,rewarded common,2.0,rewarded,common,False
358,unrewarded common,2.0,unrewarded,common,True
359,unrewarded common,2.0,unrewarded,common,False
360,unrewarded common,2.0,unrewarded,common,False
361,unrewarded common,2.0,unrewarded,common,True
362,rewarded common,2.0,rewarded,common,True
363,rewarded common,2.0,rewarded,common,True
364,rewarded common,2.0,rewarded,common,True
365,rewarded common,2.0,rewarded,common,True
366,unrewarded rare,2.0,unrewarded,rare,True
367,unrewarded common,2.0,unrewarded,common,False
368,rewarded common,2.0,rewarded,common,True
369,rewarded rare,2.0,rewarded,rare,True
370,rewarded common,2.0,rewarded,common,True
371,unrewarded rare,2.0,unrewarded,rare,False
372,rewarded rare,2.0,rewarded,rare,True
373,rewarded rare,2.0,rewarded,rare,True
374,unrewarded rare,2.0,unrewarded,rare,False
375,unrewarded common,2.0,unrewarded,common,True
376,rewarded common,2.0,rewarded,common,True
377,unrewarded rare,2.0,unrewarded,rare,False
378,unrewarded rare,2.0,unrewarded,rare,True
379,rewarded rare,2.0,rewarded,rare,False
380,rewarded rare,2.0,rewarded,rare,False
381,rewarded common,2.0,rewarded,common,False
382,unrewarded common,2.0,unrewarded,common,True
383,rewarded rare,2.0,rewarded,rare,True
384,rewarded common,2.0,rewarded,common,False
385,rewarded common,2.0,rewarded,common,True
386,unrewarded common,2.0,unrewarded,common,True
387,rewarded common,2.0,rewarded,common,False
388,unrewarded rare,2.0,unrewarded,rare,True
389,unrewarded rare,2.0,unrewarded,rare,True
390,unrewarded common,2.0,unrewarded,common,False
391,unrewarded common,2.0,unrewarded,common,True
392,unrewarded rare,2.0,unrewarded,rare,True
394,rewarded rare,2.0,rewarded,rare,True
395,unrewarded rare,2.0,unrewarded,rare,True
396,rewarded common,2.0,rewarded,common,False
397,unrewarded common,2.0,unrewarded,common,True
398,rewarded common,2.0,rewarded,common,True
399,rewarded common,2.0,rewarded,common,False
201,rewarded rare,3.0,rewarded,rare,True
202,rewarded common,3.0,rewarded,common,True
203,rewarded common,3.0,rewarded,common,True
204,rewarded rare,3.0,rewarded,rare,True
205,rewarded rare,3.0,rewarded,rare,True
206,rewarded rare,3.0,rewarded,rare,True
207,unrewarded common,3.0,unrewarded,common,True
208,unrewarded common,3.0,unrewarded,common,True
209,rewarded rare,3.0,rewarded,rare,False
210,rewarded rare,3.0,rewarded,rare,False
211,rewarded common,3.0,rewarded,common,True
212,unrewarded common,3.0,unrewarded,common,True
213,unrewarded common,3.0,unrewarded,common,True
214,rewarded common,3.0,rewarded,common,True
215,unrewarded common,3.0,unrewarded,common,True
216,unrewarded common,3.0,unrewarded,common,False
217,unrewarded rare,3.0,unrewarded,rare,True
218,rewarded common,3.0,rewarded,common,False
219,rewarded rare,3.0,rewarded,rare,True
220,unrewarded common,3.0,unrewarded,common,False
221,unrewarded common,3.0,unrewarded,common,True
222,unrewarded common,3.0,unrewarded,common,True
223,rewarded common,3.0,rewarded,common,True
224,rewarded common,3.0,rewarded,common,False
225,unrewarded common,3.0,unrewarded,common,True
226,unrewarded common,3.0,unrewarded,common,False
227,rewarded common,3.0,rewarded,common,True
228,rewarded common,3.0,rewarded,common,True
229,unrewarded rare,3.0,unrewarded,rare,True
