,trial type,subject,rewarded,common,repeat
201,unrewarded common,0.0,unrewarded,common,True
202,rewarded common,0.0,rewarded,common,True
203,unrewarded common,0.0,unrewarded,common,False
204,rewarded common,0.0,rewarded,common,True
205,unrewarded common,0.0,unrewarded,common,True
206,rewarded rare,0.0,rewarded,rare,False
207,unrewarded common,0.0,unrewarded,common,False
208,unrewarded common,0.0,unrewarded,common,False
209,unrewarded common,0.0,unrewarded,common,True
210,unrewarded rare,0.0,unrewarded,rare,True
211,unrewarded rare,0.0,unrewarded,rare,False
212,rewarded common,0.0,rewarded,common,True
213,unrewarded common,0.0,unrewarded,common,False
214,unrewarded common,0.0,unrewarded,common,True
215,unrewarded rare,0.0,unrewarded,rare,True
216,unrewarded common,0.0,unrewarded,common,False
217,rewarded common,0.0,rewarded,common,True
218,unrewarded common,0.0,unrewarded,common,True
219,rewarded common,0.0,rewarded,common,True
220,rewarded rare,0.0,rewarded,rare,True
221,rewarded common,0.0,rewarded,common,True
222,rewarded common,0.0,rewarded,common,True
223,rewarded rare,0.0,rewarded,rare,True
224,rewarded common,0.0,rewarded,common,True
225,rewarded common,0.0,rewarded,common,True
226,rewarded rare,0.0,rewarded,rare,True
227,rewarded common,0.0,rewarded,common,True
228,rewarded common,0.0,rewarded,common,True
229,unrewarded rare,0.0,unrewarded,rare,False
230,rewarded common,0.0,rewarded,common,False
231,rewarded common,0.0,rewarded,common,True
232,rewarded common,0.0,rewarded,common,True
233,unrewarded common,0.0,unrewarded,common,True
234,rewarded common,0.0,rewarded,common,True
235,unrewarded rare,0.0,unrewarded,rare,True
236,rewarded rare,0.0,rewarded,rare,True
237,rewarded common,0.0,rewarded,common,True
238,unrewarded common,0.0,unrewarded,common,True
239,unrewarded common,0.0,unrewarded,common,False
240,unrewarded common,0.0,unrewarded,common,True
241,unrewarded common,0.0,unrewarded,common,True
242,rewarded rare,0.0,rewarded,rare,False
243,rewarded common,0.0,rewarded,common,True
244,unrewarded common,0.0,unrewarded,common,True
245,unrewarded common,0.0,unrewarded,common,False
246,unrewarded common,0.0,unrewarded,common,True
247,unrewarded common,0.0,unrewarded,common,True
248,rewarded common,0.0,rewarded,common,True
249,rewarded common,0.0,rewarded,common,True
250,unrewarded common,0.0,unrewarded,common,True
251,unrewarded rare,0.0,unrewarded,rare,True
252,rewarded rare,0.0,rewarded,rare,False
253,rewarded rare,0.0,rewarded,rare,True
254,rewarded common,0.0,rewarded,common,True
255,unrewarded common,0.0,unrewarded,common,True
256,unrewarded common,0.0,unrewarded,common,False
257,rewarded rare,0.0,rewarded,rare,False
258,rewarded common,0.0,rewarded,common,False
259,rewarded common,0.0,rewarded,common,False
260,rewarded common,0.0,rewarded,common,True
261,rewarded common,0.0,rewarded,common,True
262,unrewarded rare,0.0,unrewarded,rare,True
263,unrewarded rare,0.0,unrewarded,rare,True
264,rewarded common,0.0,rewarded,common,True
265,unrewarded common,0.0,unrewarded,common,True
266,rewarded common,0.0,rewarded,common,True
267,unrewarded rare,0.0,unrewarded,rare,True
268,unrewarded common,0.0,unrewarded,common,True
269,unrewarded common,0.0,unrewarded,common,True
270,rewarded common,0.0,rewarded,common,True
271,unrewarded common,0.0,unrewarded,common,True
272,unrewarded rare,0.0,unrewarded,rare,True
273,rewarded rare,0.0,rewarded,rare,True
274,unrewarded common,0.0,unrewarded,common,True
275,unrewarded common,0.0,unrewarded,common,False
276,unrewarded common,0.0,unrewarded,common,True
277,rewarded rare,0.0,rewarded,rare,False
278,unrewarded common,0.0,unrewarded,common,False
279,unrewarded common,0.0,unrewarded,common,False
280,unrewarded common,0.0,unrewarded,common,True
281,unrewarded rare,0.0,unrewarded,rare,True
282,rewarded common,0.0,rewarded,common,True
283,rewarded common,0.0,rewarded,common,True
284,rewarded rare,0.0,rewarded,rare,False
285,rewarded rare,0.0,rewarded,rare,True
286,unrewarded common,0.0,unrewarded,common,False
287,unrewarded rare,0.0,unrewarded,rare,True
288,unrewarded rare,0.0,unrewarded,rare,True
289,unrewarded common,0.0,unrewarded,common,True
290,rewarded common,0.0,rewarded,common,True
291,unrewarded common,0.0,unrewarded,common,True
292,unrewarded common,0.0,unrewarded,common,True
