,inferred discount,subject,inferred learning rate,inferred dec temp,inferred weight
0,0.701367,0,0.47704777,4.390777,0.6974593
1,0.57702154,1,0.20710842,1.0423384,0.65529966
2,0.66869724,2,0.2976721,1.1765838,0.49559247
3,0.8353417,3,0.7436831,2.3891168,0.29238787
4,0.8583778,4,0.69732106,1.3071805,0.1957505
5,0.5951594,5,0.46778002,2.4161797,0.7078055
6,0.8048577,6,0.71954286,3.191693,0.61992383
7,0.8158483,7,0.7383856,2.5021868,0.48734057
8,0.52599293,8,0.31567624,1.0456194,0.7549951
9,0.8193412,9,0.3808894,2.1855385,0.1909997
10,0.6028556,10,0.29200736,0.7364843,0.643228
11,0.72524303,11,0.5941875,2.0197787,0.32811412
12,0.78601605,12,0.64371914,2.6795707,0.57909703
13,0.5306293,13,0.34844166,1.3803958,0.75127846
14,0.7192848,14,0.40992206,1.2470973,0.3479808
15,0.53881574,15,0.44788244,0.813173,0.66445935
16,0.56568,16,0.30452716,2.3473759,0.68381864
17,0.62269986,17,0.22853094,0.9926441,0.57413626
18,0.73066866,18,0.66891295,1.0696807,0.49590632
19,0.48706737,19,0.5094355,4.1078815,0.8297225
20,0.66940016,20,0.32590654,2.7735994,0.43680024
21,0.51925606,21,0.48792595,1.4765252,0.6969561
22,0.7039188,22,0.20032325,3.01097,0.51168555
23,0.6128306,23,0.70735914,4.8683786,0.6221274
24,0.55174,24,0.44181764,0.77973187,0.67540246
25,0.7535687,25,0.41455847,3.4163218,0.4380448
26,0.7804747,26,0.6471378,3.7249374,0.43400225
27,0.5834242,27,0.31418812,5.114358,0.8189893
28,0.5560181,28,0.2851314,1.7212098,0.6621018
29,0.8640137,29,0.9220287,1.5585097,0.43483204
30,0.604881,30,0.21030945,0.9484985,0.4472418
31,0.80038893,31,0.59570557,2.4865584,0.36013407
32,0.82913613,32,0.5704879,1.7553592,0.17605136
33,0.6518107,33,0.90570205,3.7590973,0.796421
34,0.8609729,34,0.8795866,2.1594424,0.42665642
35,0.5897564,35,0.5793305,3.8343115,0.57962376
36,0.74633366,36,0.53290445,3.1580594,0.2637273
37,0.7548882,37,0.57785547,3.6271734,0.4379245
38,0.613459,38,0.24539478,1.7117256,0.5889329
39,0.5349508,39,0.3550891,4.1846466,0.8183512
40,0.78803515,40,0.35022655,1.9095262,0.22348279
41,0.6325296,41,0.2852698,0.7110887,0.58774436
42,0.7807459,42,0.48735,0.9822853,0.26319024
43,0.7660652,43,0.26960853,2.3559537,0.28647488
44,0.5724147,44,0.25334823,0.93839455,0.62677366
