,inferred dec temp,subject,inferred reward rate,inferred cached weight,inferred cached rate
0,5.609101,0,0.06607613,2.109837,0.22685586
1,0.81103665,1,0.59652305,0.8219297,0.5235299
2,1.032684,2,0.48935276,1.0730402,0.7772395
3,2.3051822,3,0.46824104,3.3209605,0.027158882
4,1.3951007,4,0.6587682,1.6082728,0.121811464
5,2.4335587,5,0.12091166,0.9397362,0.4340606
6,4.134063,6,0.07522615,3.6224723,0.34699225
7,6.583182,7,0.30407983,1.4248884,0.407476
8,1.6542757,8,0.29303223,0.893863,0.14550744
9,3.3260736,9,0.0147446375,1.094294,0.21718043
10,0.7685725,10,0.56194156,0.9600608,0.647192
11,1.3569263,11,0.4934844,2.482107,0.034904923
12,3.5143502,12,0.20661627,1.6955806,0.17031686
13,1.2810897,13,0.29799348,0.8392469,0.3003593
14,1.2118533,14,0.4959129,1.4201208,0.13305807
15,1.1359321,15,0.6470709,0.7613126,0.70797807
16,2.4514518,16,0.057180513,0.814741,0.6377597
17,0.8492068,17,0.64692974,0.9407521,0.64309245
18,1.0879961,18,0.14119746,1.1991132,0.5768379
19,5.877897,19,0.16404685,1.3088965,0.23701896
20,2.6935816,20,0.1250606,1.7815816,0.09194665
21,1.3591973,21,0.21577898,1.479158,0.14206472
22,2.383624,22,0.18756858,1.8537544,0.08665455
23,6.415404,23,0.036016718,0.94522643,0.17975803
24,0.79827464,24,0.29625496,0.79452163,0.6065321
25,3.5140088,25,0.08699591,4.3341403,0.13779472
26,4.9299893,26,0.073067136,3.1771045,0.08577109
27,7.1183853,27,0.017706726,0.9784538,0.4476363
28,1.2014824,28,0.106427655,1.0954446,0.22088897
29,2.5585268,29,0.5030805,5.794998,0.63694143
30,0.6908544,30,0.64566797,0.85647315,0.6656964
31,3.1866145,31,0.3156753,1.8467597,0.17066221
32,1.0826705,32,0.15102951,2.3704016,0.055447113
33,6.04901,33,0.41402856,1.4034224,0.33352357
34,1.6208777,34,0.19676843,5.1394467,0.2791917
35,4.9624653,35,0.12675108,2.0849373,0.035862565
36,4.746946,36,0.118183225,3.0077224,0.4069373
37,7.321931,37,0.12854533,1.5909983,0.11003526
38,1.4909607,38,0.10339636,1.206732,0.36514166
39,4.0712967,39,0.19276516,1.6546966,0.19997232
40,1.2629416,40,0.37708086,1.4830811,0.23928417
41,0.86869437,41,0.6233605,1.0993612,0.6968169
42,0.6812827,42,0.47760314,0.90319777,0.50077116
43,1.1831481,43,0.14317894,2.1036735,0.1253216
44,0.9091167,44,0.6456878,0.80161524,0.61153334
45,2.213856,45,0.50502926,0.9786633,0.5628117
46,3.9631162,46,0.23006247,1.3417523,0.5023148
47,1.0783243,47,0.5801423,1.5917672,0.1504823
48,5.57972,48,0.07820416,1.9456445,0.18215567
49,0.8092666,49,0.3154914,1.2256116,0.32129812
50,6.141238,50,0.21026672,1.5209916,0.27698773
51,0.6554829,51,0.4425015,0.8143589,0.47390148
52,2.46552,52,0.11013507,1.2871114,0.09953125
53,1.1526536,53,0.11766596,1.1407223,0.077905595
54,3.2649925,54,0.039437804,1.8418529,0.2594209
55,3.8437383,55,0.036164984,3.2253883,0.074339226
56,6.2433653,56,0.18830085,3.2133605,0.1526733
57,7.1396027,57,0.18458167,2.2322106,0.57404745
58,3.1320064,58,0.019577328,0.85420156,0.7089144
59,5.151589,59,0.29943335,1.927704,0.1569888
60,6.032344,60,0.11594095,4.296611,0.14453098
61,3.088139,61,0.13652883,0.9919515,0.12345218
62,1.1439644,62,0.47207353,0.8045391,0.4888776
63,5.0508513,63,0.36296558,1.0143417,0.34576678
64,1.1037415,64,0.19753888,1.1821557,0.4539881
65,2.148376,65,0.22420336,1.0272789,0.6905853
66,0.78522855,66,0.6259242,0.67930907,0.5441288
67,1.5553931,67,0.080220535,0.86247915,0.23962581
68,2.5558505,68,0.10584172,2.2319627,0.33124107
69,3.2272623,69,0.6543778,2.2615654,0.5577763
70,0.80014855,70,0.58876246,0.8038505,0.63514334
71,6.529009,71,0.012499685,1.8847753,0.11619261
72,0.90195435,72,0.57004964,0.7858961,0.6740775
73,4.439125,73,0.164845,4.083773,0.3361339
74,1.5780022,74,0.26796734,1.3833961,0.10451816
75,3.376872,75,0.17020215,4.0315948,0.07956619
76,2.78225,76,0.6399329,2.6524682,0.40338087
77,1.567826,77,0.22338502,1.3409714,0.41655445
78,3.8835561,78,0.14585513,1.0400115,0.31429225
79,4.0039864,79,0.16418228,2.958047,0.122009024
80,1.2247224,80,0.13392006,1.0946407,0.28881976
81,1.5302038,81,0.09173479,1.2581658,0.42303917
82,5.315586,82,0.04570375,4.70228,0.12626582
83,1.5143821,83,0.30943125,2.0283782,0.14859833
84,6.0957355,84,0.11870213,3.0462492,0.24633706
85,1.3940797,85,0.3223094,1.1011682,0.5849823
86,1.7449762,86,0.67075175,4.32867,0.3364295
87,1.7021414,87,0.66001964,1.4595681,0.22991364
88,1.3680403,88,0.24390607,1.8068298,0.032936364
89,2.3581572,89,0.09965731,1.0824544,0.36489093
90,3.713157,90,0.039294593,2.0634096,0.04426915
91,0.80947745,91,0.5877848,0.897474,0.76560956
92,0.9105721,92,0.44195312,0.6698649,0.5695443
93,0.8093965,93,0.52384216,0.81290036,0.49289984
94,0.77289295,94,0.5199065,0.8855117,0.54944843
95,0.756981,95,0.7169191,0.8069486,0.57531834
96,2.1270282,96,0.3462122,1.0770049,0.12653238
97,2.921793,97,0.22697344,1.0163951,0.59101003
98,1.1483742,98,0.7380366,0.99939513,0.4675421
99,0.7397517,99,0.64866644,0.80041194,0.6178947
100,0.6830985,100,0.43043166,0.7028544,0.5716981
101,0.89209855,101,0.5601244,0.90671545,0.64861304
102,2.0640242,102,0.14326221,1.8440038,0.046609346
103,1.7927699,103,0.049089566,1.2428865,0.26541448
104,1.5422789,104,0.23751292,1.9194667,0.08522832
105,0.7619501,105,0.6349741,1.056319,0.7445823
106,1.4884534,106,0.046997834,1.2160145,0.38684234
107,8.199184,107,0.14802228,2.8729446,0.5833258
108,1.5054051,108,0.06804873,0.9190088,0.706621
109,0.6602802,109,0.4740539,0.73115087,0.68478453
110,1.9271797,110,0.27796885,0.83216906,0.2882735
111,0.7919908,111,0.5298207,0.86444014,0.46955365
112,3.6048818,112,0.024167387,3.566566,0.03331576
113,1.1030198,113,0.339717,1.041421,0.52937317
114,2.9695668,114,0.06878911,1.1757866,0.1300612
115,2.425749,115,0.14984894,1.2822616,0.24845408
116,0.7993412,116,0.74588156,0.77826977,0.7615969
117,4.84174,117,0.10791713,2.2578301,0.2814822
118,5.8296485,118,0.6652782,4.071377,0.4252215
119,1.7135652,119,0.29740515,3.5045938,0.17807108
120,4.7569337,120,0.19203752,1.7850302,0.34724566
121,1.1585746,121,0.40610012,1.0347129,0.5108584
122,0.94646204,122,0.681692,0.865709,0.62980133
123,1.9543077,123,0.40203315,3.3404784,0.3580653
124,3.329207,124,0.16643225,1.691256,0.2819117
125,7.281336,125,0.09467733,1.433232,0.06276072
126,5.539686,126,0.22877844,1.2459736,0.6654403
127,4.5717907,127,0.0950177,1.2633309,0.17319158
128,2.7141447,128,0.21140018,1.1812087,0.74025697
129,0.87731946,129,0.5489861,1.023474,0.38308933
130,3.5377734,130,0.13358663,1.017676,0.3942179
131,0.8741934,131,0.6417145,0.855935,0.73133445
132,2.305416,132,0.7041152,0.9216223,0.64480317
133,1.1879088,133,0.03371558,1.0052544,0.41844976
134,1.1538496,134,0.087875314,2.5607035,0.2212147
135,1.2680132,135,0.64345556,1.6511767,0.17755732
136,3.3827963,136,0.1495455,1.5381677,0.102508195
137,4.645271,137,0.1684004,3.0037613,0.3511426
138,1.3849473,138,0.60269433,0.99641883,0.6899163
139,2.273122,139,0.43543783,4.125877,0.18683618
140,0.61720324,140,0.6422066,0.7249903,0.7044667
141,0.70000196,141,0.54466563,0.8269806,0.52622133
142,1.3893136,142,0.65330416,3.278166,0.2549346
143,1.2827148,143,0.47349805,3.2778592,0.4466806
144,1.1091233,144,0.15309308,1.7760687,0.15762404
145,0.8623491,145,0.42431426,0.7796887,0.34704292
146,1.9582268,146,0.14164534,0.9962764,0.6085669
147,1.035631,147,0.238715,0.93847656,0.43178526
148,3.01786,148,0.18258965,1.5315971,0.47779432
149,0.7862074,149,0.43814358,0.84976596,0.7006168
150,1.099419,150,0.6275841,2.679786,0.20537412
151,2.3413892,151,0.10619522,2.3969111,0.049108207
152,0.85458046,152,0.6948502,0.92004675,0.75064903
153,0.93582547,153,0.2767218,1.5495899,0.20354553
154,3.113521,154,0.14803404,0.8373386,0.3876734
155,4.7340183,155,0.24361344,2.162723,0.23996903
156,1.1677085,156,0.42534444,0.89974546,0.34569234
157,1.7500021,157,0.18117023,2.9750433,0.0041427086
158,4.4758673,158,0.34324086,3.660702,0.2311304
159,0.6768512,159,0.5698999,0.70597744,0.47516486
160,0.93076855,160,0.5278334,0.9343678,0.63098747
161,1.0209601,161,0.6520943,0.94462836,0.6412081
162,4.109632,162,0.02903022,1.841333,0.12686579
163,1.7164128,163,0.36453655,1.0228988,0.52435625
164,0.71345055,164,0.6865762,0.78700197,0.7053821
165,4.088207,165,0.03073637,1.5344149,0.4579228
166,1.6041064,166,0.3383552,2.3524175,0.075765245
167,3.6785445,167,0.2043363,2.1148212,0.5239117
168,2.1620362,168,0.109719805,4.2161083,0.013356026
169,1.5095757,169,0.5103999,0.8304243,0.68569064
170,2.7112052,170,0.15857251,4.310445,0.114864625
171,1.9154768,171,0.097474225,1.0404773,0.50035024
172,0.8278373,172,0.34001392,0.72972614,0.5647995
173,5.9331026,173,0.30673373,1.6864152,0.57820517
174,3.477228,174,0.0591486,2.3914776,0.46275243
175,0.90880036,175,0.6841098,0.7880318,0.66141844
176,5.406795,176,0.12204834,1.3067867,0.15449612
177,2.2679536,177,0.087910526,2.3516574,0.07423651
178,1.0320222,178,0.6519448,1.0250974,0.45017418
179,7.18199,179,0.1167824,1.5277112,0.37665963
180,5.5113645,180,0.12787467,1.2061038,0.2519257
181,0.7398175,181,0.5508782,0.7010859,0.4991222
182,0.915377,182,0.40225178,1.061771,0.66908926
183,1.133055,183,0.20073001,0.96807706,0.13811536
184,2.0091326,184,0.29791063,1.304537,0.037350465
185,0.92791224,185,0.60617983,1.0754474,0.5711868
186,1.7726927,186,0.4081508,4.605543,0.54218006
187,4.2360144,187,0.15421306,1.7759362,0.52436316
188,1.4967734,188,0.26555926,2.966353,0.5126432
189,2.8796225,189,0.5286195,1.9380186,0.0868395
190,2.0170941,190,0.26933178,1.0584712,0.29918066
191,1.1608071,191,0.3317644,2.5863883,0.086532824
192,1.8027698,192,0.2536689,2.617073,0.10701394
193,3.5713408,193,0.27198327,1.4227332,0.43040848
194,1.9435395,194,0.1853623,1.0372195,0.24747826
195,1.0437633,195,0.32249665,1.2158713,0.5838273
196,1.001643,196,0.55510646,1.122218,0.6143835
197,1.3376392,197,0.71956146,1.5649524,0.18199833
198,2.784824,198,0.21644461,2.0247118,0.26238546
199,5.1931376,199,0.042324934,2.0704775,0.038526535
200,0.8688218,200,0.53289014,0.7816504,0.7069358
201,1.1621203,201,0.24988149,1.214436,0.018172933
202,1.538251,202,0.16791086,1.043842,0.71518296
203,5.6544657,203,0.20864026,4.6096373,0.119789444
204,1.1534574,204,0.1085578,1.7709143,0.014008233
205,0.7739646,205,0.6975404,0.7593966,0.73677677
