,reward rate,dec temp,cached weight,cached rate,subject
0,0.07528772,5.7259474,2.2484553,0.09483726,0
1,0.7607037,0.81965935,0.863909,0.30118403,1
2,0.3870255,1.5085168,1.3276547,0.74251264,2
3,0.3918756,1.7797154,3.2049484,0.022628631,3
4,0.9565404,1.3895093,1.2456648,0.0020589707,4
5,0.100842275,2.281845,0.6405935,0.35625148,5
6,0.11214545,4.8834076,3.6495783,0.24953975,6
7,0.35081482,7.2881293,1.457752,0.6838856,7
8,0.42365894,2.7889638,0.8591367,0.31004313,8
9,0.00769307,3.3257418,1.5201418,0.0908304,9
10,0.6109075,0.763855,0.502414,0.091100655,10
11,0.67912596,1.7762345,2.1119218,0.10169904,11
12,0.21877728,2.0670068,2.9471729,0.15220264,12
13,0.7066892,1.2444397,1.0821099,0.069395795,13
14,0.5777839,0.86402565,1.0294013,0.29784372,14
15,0.8470729,0.89998543,0.5087241,0.1995548,15
16,0.021559114,2.5554035,0.9534272,0.54528266,16
17,0.8997816,0.96194935,1.0911093,0.8396249,17
18,0.08113388,0.7425755,0.9706095,0.13843122,18
19,0.19517615,5.449882,2.216427,0.11681723,19
20,0.1134601,2.0838625,2.1408179,0.23255411,20
21,0.04577843,1.1666127,1.2116237,0.26908892,21
22,0.2008534,1.7344339,1.476178,0.015410822,22
23,0.05279085,4.370174,1.2783207,0.0013140448,23
24,0.06844763,1.5295839,0.46143377,0.78376895,24
25,0.051369216,3.5240867,4.767907,0.2597157,25
26,0.059450362,3.64805,2.2854233,0.061955266,26
27,0.018296074,6.255162,0.5556461,0.80400056,27
28,0.10250848,0.9541157,0.80731297,0.17391624,28
29,0.38428304,1.941548,6.806136,0.5780894,29
30,0.4412012,0.4080572,1.0701904,0.9529735,30
31,0.30500942,4.416525,1.4984267,0.25954163,31
32,0.13806872,0.4698974,2.4555323,0.04871197,32
33,0.26021865,6.141368,2.4036202,0.31622764,33
34,0.26757187,1.6851406,4.1489716,0.23028448,34
35,0.099248536,4.1075315,1.3728868,0.15647241,35
36,0.09333919,5.3558064,2.3020194,0.6238645,36
37,0.15567197,6.7774415,1.0434154,0.077964626,37
38,0.043608136,1.1411395,1.2153271,0.72402626,38
39,0.22545905,4.218052,0.89615136,0.20126972,39
40,0.013277917,1.1769774,1.3644813,0.17325419,40
41,0.45664743,0.5678027,0.7818941,0.60305655,41
42,0.20483924,1.2647487,0.75114346,0.8153293,42
43,0.037215535,1.1914982,2.1423426,0.009938614,43
44,0.038589414,0.35119954,1.5038342,0.9416751,44
45,0.90551835,1.8111238,1.3752613,0.8142822,45
46,0.25808516,3.3738198,2.0592175,0.71204656,46
47,0.65039974,0.767269,1.7878336,0.15711074,47
48,0.08058403,5.839485,2.4268053,0.09903345,48
49,0.8499953,0.7591249,1.0335127,0.27324748,49
50,0.24260129,6.007483,1.240606,0.43655825,50
51,0.23385656,0.6027705,1.0189667,0.41381118,51
52,0.18745153,2.2651079,0.87613016,0.060652446,52
53,0.11286244,1.2655063,0.5042474,0.064922206,53
54,0.04305658,4.358419,1.0020708,0.31213692,54
55,0.041944873,3.6595936,4.257441,0.041811146,55
56,0.16369651,7.8443313,2.058557,0.1911891,56
57,0.2225153,7.41228,3.0070577,0.64040476,57
58,0.014242248,3.302291,1.1347555,0.72418386,58
59,0.26170745,4.16383,2.2678263,0.19174427,59
60,0.10952561,6.925654,3.892632,0.13199784,60
61,0.16983962,2.2483346,1.4697224,0.0028669473,61
62,0.10066629,1.2382566,0.81691414,0.9244886,62
63,0.2731809,4.6304183,1.3797252,0.24324383,63
64,0.014475092,2.1072202,1.3893857,0.32668558,64
65,0.18634161,3.1806192,1.0883318,0.7067425,65
66,0.6926411,0.7133584,0.70180744,0.44991106,66
67,0.28110385,1.6432734,0.6877593,0.04061004,67
68,0.045423433,2.4811907,1.1674176,0.36773515,68
69,0.45820358,2.353043,2.0692606,0.6333354,69
70,0.8858162,0.6046738,0.7872256,0.86756325,70
71,0.010249695,7.557933,1.2965987,0.041806735,71
72,0.74505323,0.74363405,0.50159687,0.19841155,72
73,0.116908625,3.160527,5.3658,0.3205183,73
74,0.043290947,1.455189,1.1005034,0.121216826,74
75,0.1366762,3.2357004,3.6447728,0.0990952,75
76,0.7111919,1.8229587,2.490134,0.27409083,76
77,0.009422973,1.2377334,1.4618231,0.60029256,77
78,0.12859558,2.8381324,0.8988389,0.21721345,78
79,0.24976568,5.155595,3.1716995,0.09119105,79
80,0.39724898,1.3056171,0.87338424,0.0022626228,80
81,0.10648453,1.2699857,1.2436371,0.4178342,81
82,0.045836337,3.2989705,5.2221055,0.123348586,82
83,0.13663064,1.774627,1.4154434,0.1486921,83
84,0.13293359,6.90829,2.2617474,0.22423649,84
85,0.23058888,1.1629819,0.99961555,0.7852774,85
86,0.56426436,1.3947119,4.4955044,0.3325508,86
87,0.4647486,1.9748045,0.88256305,0.19041896,87
88,0.23862717,1.1209075,2.16043,0.0072964616,88
89,0.07283045,1.9168603,1.5279775,0.3326544,89
90,0.011304104,4.2057886,2.1585836,0.010662888,90
91,0.21897866,0.82872295,1.0417256,0.5931375,91
92,0.9115365,0.98056084,0.8479376,0.05409567,92
93,0.58489007,0.6371921,0.33098504,0.26653486,93
94,0.9858402,0.5236765,0.4821959,0.19545674,94
95,0.921597,1.0015045,0.8188803,0.009034455,95
96,0.445193,2.0428996,1.1452167,0.01757154,96
97,0.20296536,3.2645988,0.937621,0.54286885,97
98,0.64499956,1.1492586,0.71948445,0.56781876,98
99,0.7642408,0.9862553,0.6260291,0.5683282,99
100,0.6684292,0.6857313,0.5074598,0.63310003,100
101,0.1704963,0.23131011,0.32646412,0.57093716,101
102,0.2420274,3.6268737,1.5425934,0.027780361,102
103,0.09907122,2.6466155,1.2186147,0.34588918,103
104,0.10547485,1.2366042,2.345026,0.07133287,104
105,0.7185968,0.46642905,1.1145161,0.8708425,105
106,0.054987125,1.1734399,2.4669144,0.2019575,106
107,0.1564289,8.854882,2.344669,0.4232641,107
108,0.14558865,1.5966278,0.66628665,0.722214,108
109,0.46069038,0.3745112,0.9414772,0.78855264,109
110,0.11289995,1.7614968,0.6370121,0.5906975,110
111,0.270545,0.99725676,0.8555567,0.6894015,111
112,0.02159902,2.821039,3.3608344,0.027827688,112
113,0.0941955,1.5595522,0.9559754,0.55144507,113
