,discount,learning rate,mf weight,mb weight,prior weight,prior lr,subject
0,0.24526665,0.4668235,5.3180075,4.3827796,2.716517,0.7919922,0
1,0.1206257,0.33831978,1.6029716,4.577834,3.8082683,0.90161365,1
2,0.57738686,0.22487839,1.9842993,1.7184987,1.5335424,0.8782292,2
3,0.12975366,0.6292749,4.952353,3.5688019,0.6211623,0.35924593,3
4,0.24024303,0.7020476,0.7777747,2.20171,1.0713923,0.42125723,4
5,0.7177162,0.7845811,4.088744,0.9072497,1.5392976,0.15668517,5
6,0.52576345,0.46187377,1.1069428,3.1446629,2.028862,0.7890807,6
7,0.25802302,0.46552604,3.496663,2.7339969,4.597934,0.6534059,7
8,0.0203159,0.20731269,1.28188,4.075633,5.0783257,0.9754748,8
9,0.27184966,0.80887663,1.9841418,1.8505508,2.8439007,0.105237655,9
10,0.20493264,0.11802245,0.9369362,4.8729415,0.8398088,0.4436022,10
11,0.4683207,0.3051508,2.2143993,3.8257992,3.6703126,0.2622675,11
12,0.062325474,0.05148961,0.8964032,0.76075655,1.4786705,0.5737773,12
13,0.42838073,0.2499676,5.35892,2.8869038,5.1188726,0.13489085,13
14,0.3318761,0.4933281,2.392715,1.0467626,3.3008318,0.6968694,14
15,0.844133,0.6231407,1.3151667,1.0796192,4.1414948,0.24703579,15
16,0.09736125,0.29161218,2.5382454,2.9907618,4.49362,0.3483161,16
17,0.6056579,0.9087931,1.4477079,4.547005,4.5500746,0.84011173,17
18,0.149928,0.10702062,1.4563974,5.8027525,1.0180099,0.6569165,18
19,0.4078764,0.054003637,2.2906651,3.5507245,2.7490199,0.40623814,19
20,0.28140664,0.15682326,3.0920362,4.9860973,4.5826783,0.15774263,20
21,0.5032862,0.30097976,0.5432224,5.5508204,3.0203226,0.0859601,21
22,0.37291977,0.7110062,1.8836029,1.2739694,0.6842153,0.046017487,22
23,0.7597434,0.9185766,3.9068623,3.152381,1.9228377,0.6695406,23
24,0.6883532,0.73238504,3.7039776,1.7741364,3.1643414,0.15057193,24
25,0.51755774,0.62814957,3.4311047,3.9628925,0.79526556,0.92688483,25
26,0.6682721,0.7166743,1.7726938,2.087488,2.4449499,0.728814,26
27,0.18678047,0.21871461,2.8642774,2.563037,5.494803,0.41750973,27
28,0.6534482,0.071153514,3.6756144,3.4514458,1.4079376,0.4063003,28
29,0.8453647,0.5243558,2.5314958,3.4392843,2.1849642,0.69949996,29
30,0.5265193,0.8890059,0.70983315,3.7837193,2.656745,0.70235044,30
31,0.8059611,0.88160574,3.4903312,2.386888,3.418132,0.8904816,31
32,0.18493365,0.10623825,4.2955217,1.8474152,1.3505685,0.7013171,32
33,0.29343578,0.4423481,3.8674915,1.8555284,2.9588933,0.95690763,33
34,0.4683024,0.06795561,4.7735343,3.9972987,5.3102283,0.48702538,34
35,0.23852317,0.071581945,2.1470726,3.4498582,0.69756734,0.1752257,35
36,0.47089574,0.64039665,2.675776,4.6103926,4.279368,0.53132176,36
37,0.20289065,0.36566105,1.6888802,2.542139,5.027589,0.48385054,37
38,0.3980077,0.68050253,2.964926,3.3249643,4.9970627,0.31369907,38
39,0.5171082,0.3369303,5.567213,0.29442585,2.3720572,0.0935149,39
40,0.19425687,0.7989691,1.693706,2.3499284,2.5079026,0.06678639,40
41,0.49586222,0.40162158,1.284893,1.9371731,1.4587438,0.38507006,41
42,0.5840524,0.225893,2.7509632,3.178437,1.497903,0.2149978,42
43,0.301322,0.7181621,3.8010085,4.115346,4.3405256,0.94916284,43
44,0.11382651,0.47769004,0.5102064,1.2495127,0.8545469,0.626773,44
45,0.6371821,0.8072418,2.5766766,0.59731305,5.461485,0.6169231,45
46,0.7580607,0.87473434,4.6603017,1.9760275,2.4005847,0.024477253,46
47,0.2590415,0.20721138,2.425732,1.4937185,4.5709953,0.62604,47
48,0.14063616,0.697048,1.8453922,4.4704247,0.39940917,0.6965157,48
49,0.21390146,0.70984066,2.4993877,0.94314253,1.7855741,0.35539714,49
50,0.57279533,0.32480606,3.3087037,2.6723287,0.87129426,0.8510494,0
51,0.11082688,0.457989,3.845899,5.1625814,4.1142993,0.6795539,1
52,0.30876577,0.20510378,1.8277986,1.159723,2.2816348,0.64587146,2
53,0.3737603,0.43937624,1.6278341,3.4491572,0.7851757,0.57463604,3
54,0.16037053,0.779612,2.1450765,2.8840258,1.7712748,0.08653515,4
55,0.545028,0.9007329,5.082828,1.1969821,1.3420347,0.17401028,5
56,0.1582927,0.5752567,1.4242499,3.9592156,3.4072573,0.88496137,6
57,0.45084408,0.38012317,4.7188244,0.77992004,4.8263397,0.78420883,7
58,0.15960824,0.22760282,1.9303839,3.147719,3.6631873,0.93691266,8
59,0.65622306,0.8601867,2.2514067,2.9309642,2.4785962,0.14743452,9
60,0.078994095,0.13932201,3.8730984,5.190836,3.0596242,0.7010305,10
61,0.9065055,0.30677697,1.768702,1.86168,4.0722475,0.8273992,11
62,0.11765067,0.06641877,0.7444322,2.3451564,4.235758,0.7862973,12
63,0.87428105,0.18951164,4.628843,4.048618,1.7646251,0.7018625,13
64,0.4505452,0.6883741,3.9512868,4.808599,3.5732727,0.95167804,14
65,0.92830074,0.54211974,2.0095043,1.8053071,4.44358,0.5619575,15
66,0.5753127,0.32591787,3.8003032,3.827148,5.025316,0.7087757,16
67,0.78379536,0.8547263,3.8421042,1.4828187,4.3555465,0.6075414,17
68,0.30277032,0.101556525,0.49035472,4.280697,0.8437011,0.51162475,18
69,0.79443115,0.0677382,1.3411758,3.191019,1.0342467,0.59925145,19
70,0.12942201,0.11977434,3.6180263,5.0264354,3.0910835,0.050032333,20
71,0.4067546,0.25674844,1.566113,5.2363076,1.398663,0.3332631,21
72,0.32169658,0.73690516,0.8677925,2.2646909,0.82213175,0.8428694,22
73,0.83223206,0.8459019,2.6850321,1.5298473,1.9075305,0.6312617,23
74,0.40456697,0.7033165,0.9435556,3.812449,5.433322,0.101007,24
75,0.45875642,0.5101056,1.7684562,4.006782,0.95262825,0.78944856,25
76,0.90991914,0.7782948,3.360551,3.9892607,1.797345,0.5480823,26
77,0.42203256,0.14781222,0.9609867,2.8520095,2.2026236,0.0027442754,27
78,0.16630365,0.067499734,2.5159583,5.2051992,2.4228418,0.65349674,28
79,0.52335435,0.35233888,1.6085515,1.1371261,4.6539254,0.52130866,29
80,0.6939707,0.64887613,1.0392014,2.2336354,2.5919676,0.7072946,30
81,0.56501347,0.8883348,1.1922567,3.1649666,4.1788125,0.7535168,31
82,0.19001342,0.15442626,5.047548,4.953065,5.150832,0.9338809,32
83,0.66360366,0.47557843,3.3734355,3.9421756,2.466134,0.6214409,33
84,0.21008068,0.07752616,1.0871019,4.2863264,4.3576574,0.52579,34
85,0.7288279,0.042022757,4.867785,3.5539813,0.4612469,0.046532042,35
86,0.38727167,0.49889612,2.991798,1.014519,4.2510614,0.82477623,36
87,0.29276472,0.39803407,3.951239,2.8166049,4.9608145,0.014898397,37
88,0.67200124,0.7267625,4.418622,2.3297737,4.7225986,0.65363604,38
89,0.82901174,0.41468242,4.3261538,3.8475776,2.3796597,0.76496977,39
90,0.48153248,0.5664603,0.9078374,1.6029627,1.854253,0.1349834,40
91,0.19213282,0.4997724,3.951873,1.6447699,1.0167463,0.26669422,41
92,0.14848512,0.19276623,3.7744064,1.6718385,1.143451,0.25738904,42
93,0.67121655,0.36854842,0.7135281,1.424594,3.5207396,0.84553254,43
94,0.27958563,0.73242605,1.5223682,1.4043927,0.6882372,0.25391808,44
95,0.7303182,0.8489883,1.0742192,1.3749049,4.939255,0.23622674,45
96,0.75939846,0.84106195,4.0946016,1.0878909,0.7232528,0.047464445,46
97,0.52450746,0.39511406,4.2784357,2.9538372,2.757787,0.33356893,47
98,0.4117072,0.7918053,3.1987672,3.4148433,1.4851466,0.033358976,48
99,0.18904258,0.7528583,2.1942127,1.5957781,2.405135,0.1192279,49
100,0.8946058,0.33193016,2.9055557,3.1955585,1.0482581,0.27153167,0
101,0.073031805,0.32347813,1.8219826,2.9729795,3.712982,0.72272646,1
102,0.52693284,0.21525566,2.5769668,0.6012403,2.120926,0.10945879,2
103,0.26160762,0.59406173,4.076976,4.492388,0.74464035,0.73833543,3
104,0.665659,0.63228965,0.282285,2.8198228,0.95848227,0.24132638,4
105,0.8642992,0.9039123,3.5322685,2.320859,1.07359,0.1302455,5
106,0.2382686,0.40912628,0.16861486,3.369296,3.4261007,0.8729524,6
107,0.3337577,0.46767366,3.0776367,3.3098795,4.166334,0.8512475,7
108,0.55697364,0.18407255,0.51641804,5.4712934,3.671663,0.84047806,8
109,0.76314837,0.7621361,1.4144257,1.6472422,1.7793528,0.12133635,9
110,0.16909875,0.13740319,1.2147421,4.744773,3.6896946,0.038704827,10
111,0.48233148,0.42409015,5.164543,4.931634,4.993123,0.49423108,11
112,0.40224922,0.05038781,0.24303144,1.4795693,3.4957318,0.7491108,12
113,0.74650604,0.1578371,2.9982944,1.4855322,3.8659086,0.9325448,13
114,0.64771736,0.62643564,3.176631,3.5704744,4.013996,0.10779163,14
115,0.6634259,0.7124888,2.3216913,3.5174823,5.5712395,0.8799884,15
116,0.39857414,0.28849787,3.3693476,2.8950524,4.9199057,0.5723186,16
