,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate,inferred prior weight,true prior weight,inferred prior lr,true prior lr
0,2.9864254,3.373383,0,0.545758,0.69747406,3.4218445,0.07327974,0.4813515,0.24529564,3.8094828,5.1195955,0.5170659,0.46600765
1,3.2156577,5.9674854,1,0.45089018,0.90908766,2.688162,1.9833856,0.5581636,0.6278806,3.7086895,4.0402045,0.43245533,0.4079697
2,2.334513,1.2539592,2,0.47461948,0.15166187,2.526143,2.7245069,0.58732605,0.42120856,3.7314107,2.9799793,0.6555463,0.898645
3,2.6387289,2.4895854,3,0.5884934,0.76185477,3.2839165,5.5138884,0.5680691,0.44749343,4.0320177,3.897236,0.5132616,0.56204623
4,3.5344324,5.505311,4,0.5850992,0.2156046,3.7024112,4.496255,0.32317957,0.18432188,3.849464,4.3402944,0.38384178,0.7107549
5,2.2773821,2.870088,5,0.5116278,0.53123075,2.4740353,0.15908468,0.63184416,0.64678586,3.6621904,4.7655497,0.6698039,0.59100527
6,2.0032306,0.39743006,6,0.3588473,0.2125225,2.1253116,5.604364,0.64938444,0.9784877,1.8373318,0.3543924,0.35757715,0.9109581
7,4.0144854,3.4600496,7,0.3917677,0.18321168,2.577436,1.1243488,0.46362695,0.22809523,3.4477475,2.4966223,0.32155252,0.11422491
8,3.7196596,4.7451916,8,0.39254662,0.23515415,2.8557286,3.371738,0.37378773,0.28332806,3.7370665,1.5493491,0.37524578,0.6548769
9,2.0916245,2.2476704,9,0.36787876,0.42987043,2.2064717,3.4301195,0.6614758,0.925839,1.8901817,0.18867052,0.34798893,0.7025755
10,2.3799658,5.632188,10,0.4008248,0.3930419,2.2257183,4.532646,0.6301017,0.7593889,1.8316882,0.3564942,0.35396412,0.91711533
11,2.9566898,1.3159686,11,0.47545698,0.3272354,2.989935,5.2248755,0.5219912,0.3728761,2.2784095,0.14767528,0.34208888,0.7607182
12,2.6820805,5.786352,12,0.39713362,0.20673287,2.3830786,5.3411546,0.6106228,0.7706482,2.5605953,2.3486133,0.6276779,0.749065
13,2.510642,0.71349406,13,0.59602964,0.8208396,3.114078,4.010472,0.37904742,0.4934274,3.705898,5.0569706,0.4213439,0.25054735
14,2.9084225,3.8516374,14,0.5709342,0.75103223,3.359205,2.0977788,0.40561742,0.5971006,3.7851148,5.472637,0.48163447,0.44501323
15,2.2577178,1.419808,15,0.3926437,0.2820019,2.152004,1.5128717,0.37558234,0.09875786,3.8214138,4.0392857,0.42152885,0.71645206
16,4.1589203,4.454571,16,0.3884096,0.22564077,2.255298,1.6574525,0.5786931,0.36071026,1.9912351,1.112714,0.40259278,0.93570435
