,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred dec temp,true dec temp,inferred weight,true weight
174,0.5187685,0.5383711,174,0.07202138,0.047014117,4.803844,5.3194804,0.6257895,0.5703234
175,0.44677892,0.6075426,175,0.22704808,0.69416887,0.9719214,0.3845172,0.53128886,0.8132749
176,0.42404002,0.19942403,176,0.11382465,0.107809365,3.7334142,4.2306933,0.3965462,0.52546895
177,0.3067218,0.2706495,177,0.61362904,0.6426378,5.0722013,5.1401734,0.25341806,0.084242225
178,0.18460488,0.10010642,178,0.64700884,0.5545547,4.251466,5.124207,0.4952166,0.60156256
179,0.49468878,0.24901664,179,0.8316068,0.95810324,4.4946613,4.8262587,0.4692356,0.21899706
180,0.5478803,0.3357079,180,0.12212297,0.2600221,3.7062802,1.8032194,0.56867236,0.26057953
181,0.6904149,0.8453943,181,0.34125394,0.59410185,3.1015186,1.7444404,0.23926923,0.01140368
182,0.45466015,0.57091314,182,0.16492979,0.10019827,2.0299215,3.8538473,0.5258978,0.43921888
183,0.37445912,0.061225414,183,0.568125,0.38816977,1.8110125,2.6247373,0.4588258,0.6783381
184,0.55277807,0.48613924,184,0.27724364,0.57020825,2.5595095,2.103466,0.44509584,0.23401445
185,0.45273486,0.47826576,185,0.85287744,0.87004334,4.275481,4.2703605,0.14091663,0.016979277
186,0.80291444,0.8279432,186,0.9290171,0.97506475,3.4805853,3.2224126,0.13578558,0.1573509
187,0.47573328,0.31459117,187,0.08973282,0.063657105,3.0879781,5.538845,0.45751873,0.17505926
