,inferred dec temp,subject,inferred reward rate
0,3.9181426,0,0.34413797
1,3.6162696,1,0.3211315
2,1.8552288,2,0.21113968
3,1.8122118,3,0.6793521
4,1.7272121,4,0.43471426
5,1.7232063,5,0.7461083
6,1.7804087,6,0.17917068
7,2.8336139,7,0.21672757
8,3.0924814,8,0.35974798
9,2.6087003,9,0.23858416
10,1.7934922,10,0.29670948
11,6.3992085,11,0.12641382
12,3.4620168,12,0.5363596
13,2.1771722,13,0.28666344
14,3.510134,14,0.5998507
15,2.280139,15,0.3273729
16,1.723012,16,0.74282813
17,2.9323804,17,0.21723999
18,3.1690435,18,0.37542352
19,1.7188159,19,0.6805236
20,1.8011146,20,0.69854
21,1.7559351,21,0.70300955
22,1.7092288,22,0.72226745
23,1.7532985,23,0.7186191
24,5.5447407,24,0.5585212
25,1.7987427,25,0.7234041
26,2.3426309,26,0.15657112
27,1.9542015,27,0.52299666
28,2.0165982,28,0.64146775
29,1.863187,29,0.33852297
30,4.475836,30,0.16246082
31,2.0533886,31,0.26135984
32,2.5431402,32,0.32147047
33,3.5503116,33,0.32622764
34,3.6575475,34,0.30930442
35,3.3787544,35,0.32756472
36,1.8935515,36,0.18828891
37,1.7012324,37,0.7163929
38,1.8857131,38,0.7179458
39,2.2648516,39,0.22705089
40,2.0383437,40,0.31914547
41,1.7534741,41,0.4576925
42,3.1178274,42,0.33705065
43,1.8552854,43,0.20401204
44,2.191811,44,0.6600891
45,2.3361192,45,0.14819647
46,2.0407462,46,0.14002313
47,1.6850684,47,0.7435762
48,2.4616096,48,0.3509815
49,1.9667544,49,0.14677534
50,3.6101527,50,0.4090218
51,2.374144,51,0.28302887
52,2.0855117,52,0.20067106
53,1.6608691,53,0.72735476
54,1.96677,54,0.19805312
55,1.9527148,55,0.26574463
56,1.6732739,56,0.7164092
57,6.0747423,57,0.17109838
58,1.7039974,58,0.7369731
59,2.828928,59,0.36948687
60,2.0984986,60,0.1527952
61,4.446546,61,0.48562366
62,1.7621208,62,0.7402156
63,4.729714,63,0.14661743
64,1.7390131,64,0.6583036
65,3.0365224,65,0.15899086
66,1.7254595,66,0.70570964
67,1.7451884,67,0.6897781
68,1.7135247,68,0.7416653
69,1.7358295,69,0.6875366
70,2.084061,70,0.32167324
71,1.6889424,71,0.6335932
72,2.421108,72,0.45777708
73,2.2169414,73,0.21428518
74,1.7150409,74,0.6019575
75,2.2176876,75,0.16510372
76,3.400546,76,0.5926444
77,1.716666,77,0.7319943
78,1.7501254,78,0.74347913
79,1.6510519,79,0.7505565
80,1.6347036,80,0.7407529
81,1.8578783,81,0.6450973
82,2.6170003,82,0.20264481
83,1.7044936,83,0.7293041
84,1.7157868,84,0.75027925
85,2.2172027,85,0.185247
86,1.802804,86,0.6414442
87,1.7763369,87,0.7197254
88,1.6950961,88,0.68933594
89,1.7141279,89,0.7355858
90,1.7951529,90,0.7140879
91,1.795614,91,0.66100854
92,1.8204955,92,0.7234295
93,1.790699,93,0.7238303
94,3.988825,94,0.33677056
95,1.9613659,95,0.71232265
96,3.0643575,96,0.27163568
97,1.7068423,97,0.7384632
98,1.7145625,98,0.75100285
99,1.7402819,99,0.70198476
100,3.9923472,100,0.64778835
101,1.7249907,101,0.6098789
102,1.7163643,102,0.75253904
103,2.8173912,103,0.18839641
104,2.2243354,104,0.15442477
105,1.6612253,105,0.5592288
106,2.5718462,106,0.34282643
107,1.7285472,107,0.4289347
108,1.6665337,108,0.5903634
109,1.7008141,109,0.74216884
110,1.8680596,110,0.45840228
111,3.4122143,111,0.6654717
112,2.9073606,112,0.5600855
113,1.7534004,113,0.70011026
114,1.715142,114,0.7181612
115,1.734936,115,0.6944316
116,3.2798388,116,0.6899979
117,1.729366,117,0.72951746
118,1.7194166,118,0.73370093
119,3.6113253,119,0.37089086
120,1.7217741,120,0.71408755
121,2.1339405,121,0.24385026
122,3.7894917,122,0.1764412
123,3.3247929,123,0.32055908
124,1.7774915,124,0.7114506
125,1.969938,125,0.14604075
126,4.192077,126,0.33006078
127,1.7176943,127,0.7465812
128,4.3984265,128,0.1594331
129,2.0279088,129,0.16286077
130,3.0898726,130,0.3711086
131,1.7963837,131,0.72334653
132,2.6158748,132,0.5777777
133,1.8050879,133,0.6233256
134,3.4906108,134,0.15167992
135,5.2528663,135,0.18154122
136,2.0331721,136,0.17698199
137,1.7838159,137,0.7271752
138,1.9753661,138,0.7146781
139,1.9255353,139,0.5566924
140,2.9306798,140,0.2498955
141,2.2497454,141,0.3532319
142,3.558645,142,0.35571295
143,5.1334963,143,0.29156116
144,1.712548,144,0.71184766
145,2.2792022,145,0.16025715
146,1.7464854,146,0.7224051
147,5.0304933,147,0.24847369
148,1.7473816,148,0.7279636
149,1.7625374,149,0.7408966
150,1.7678094,150,0.30849364
151,3.200898,151,0.5105601
152,3.6241944,152,0.20817274
153,1.7889147,153,0.48400667
154,3.5744867,154,0.2998194
155,2.1754055,155,0.19340952
156,2.0871446,156,0.7121101
157,1.6804955,157,0.76107055
158,3.7863176,158,0.16237836
159,3.2328503,159,0.15242563
160,1.8796636,160,0.17637677
161,1.6750367,161,0.75340134
162,3.5986135,162,0.12728703
163,1.704786,163,0.39000556
164,2.1711972,164,0.2961054
165,1.6966598,165,0.74151635
166,4.2709756,166,0.33169013
167,1.8148061,167,0.70348877
168,3.2877588,168,0.36382923
169,2.6890867,169,0.33641922
170,2.0828435,170,0.4562293
171,4.5189424,171,0.14305805
172,2.3176115,172,0.36051896
173,4.4033213,173,0.15191096
174,1.7553408,174,0.6131564
175,1.9723608,175,0.18931647
176,3.5188193,176,0.1691235
177,5.4093223,177,0.29170263
178,3.651218,178,0.60710025
179,2.130954,179,0.16090961
180,1.7819831,180,0.7081695
181,1.7522895,181,0.74353004
182,1.6993554,182,0.6719304
183,3.791982,183,0.15188624
184,3.073722,184,0.1999625
185,1.7196453,185,0.69286644
186,1.7955451,186,0.5580585
187,3.4009244,187,0.17266317
