,inferred dec temp,subject,inferred reward rate
177,6.4931455,177,0.7837521
178,5.2770333,178,0.48565203
179,1.9181076,179,0.5062842
180,3.2161856,180,0.55965817
181,3.5871518,181,0.7296411
182,1.7470676,182,0.56030136
183,5.9341025,183,0.36053473
184,4.712305,184,0.42426726
185,6.113092,185,0.27713892
186,4.674397,186,0.50446683
187,2.1375582,187,0.08522535
