,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,2.7423,3.1819792,0,0.38845372,0.37628597,2.1339731,1.3215692,0.21136513,0.32011712
1,2.74629,3.7784965,1,0.22076146,0.00806433,3.1002352,5.0304327,0.77318776,0.8350588
2,1.4763553,1.0104251,2,0.6153793,0.7246996,2.0893133,2.4118588,0.6975199,0.73842424
3,3.756491,4.168595,3,0.48407727,0.46784663,5.5036387,4.667569,0.78272474,0.82750666
4,4.4436893,4.8851447,4,0.7166559,0.66662043,3.0148008,3.9866574,0.5073838,0.5981821
5,3.5502923,4.1110296,5,0.23076195,0.22849363,3.407372,4.0387163,0.533322,0.6601994
6,3.7775536,3.4488487,6,0.77966774,0.9872246,3.6778564,5.4132323,0.6370428,0.63173074
7,6.481818,5.4521337,7,0.48155934,0.43238872,1.6169888,1.4537344,0.61333,0.61804706
8,2.427841,2.1561134,8,0.19573705,0.07220203,6.6394258,5.8642273,0.46290046,0.4184121
9,2.1550074,3.8299391,9,0.7143673,0.9381275,4.8439794,5.019358,0.664233,0.64701915
10,2.5792637,2.1877246,10,0.74037963,0.88470894,5.5788817,5.8722515,0.7945045,0.88788515
11,3.7982821,4.8010116,11,0.12249723,0.14249742,3.5983827,4.3593655,0.31277654,0.3837371
12,2.0959947,2.0609536,12,0.6980072,0.89370155,4.6934385,4.078875,0.5734679,0.58332527
13,3.1084507,3.9538867,13,0.35468346,0.56275547,5.664817,5.5387287,0.74601895,0.72072953
14,3.3719668,3.3865857,14,0.33837494,0.3609615,1.9551814,2.2603064,0.4615448,0.51353586
15,4.2138567,5.271769,15,0.4853041,0.49854368,6.014215,5.7622557,0.47880208,0.40822643
16,4.6505604,4.6070557,16,0.6513302,0.8304458,1.9005885,1.6131675,0.3502815,0.2547043
17,1.7438337,1.3119451,17,0.28622267,0.20228565,1.8908432,1.3431684,0.35539058,0.12575835
18,5.174139,5.0556674,18,0.39607382,0.39358252,2.123719,3.2134356,0.15294127,0.11255932
19,2.682167,2.9191601,19,0.7116769,0.9925055,5.903481,5.7614703,0.7028477,0.6366266
20,1.8666396,2.476893,20,0.21725106,0.11751479,3.3029337,4.037698,0.7116798,0.601448
21,2.2770483,2.4990995,21,0.6028483,0.44881558,2.3690786,2.3555346,0.7479087,0.98136896
22,2.4538515,1.9915578,22,0.64311695,0.45723778,3.452904,3.301385,0.7389891,0.6938429
23,3.8572025,4.2094793,23,0.7345815,0.8893661,4.5215116,3.0907843,0.7192473,0.8707461
24,2.1408887,3.0249214,24,0.14986886,0.007413745,1.3324032,1.2357483,0.6711746,0.4838701
25,1.5064557,1.4428425,25,0.5630554,0.4237197,5.804432,5.8129034,0.39745453,0.40561807
26,4.6329217,5.5672703,26,0.7447009,0.9441525,3.22935,2.7646484,0.7196049,0.87778944
27,2.1204069,2.3099477,27,0.2643922,0.10782033,2.5296743,3.9117584,0.44082057,0.3408214
28,3.5155768,3.2196908,28,0.7567733,0.68033975,1.7114673,1.8773321,0.6701796,0.9847533
29,4.1580453,4.743665,29,0.79105073,0.9369467,5.0823913,4.828987,0.3590379,0.46397024
30,3.175222,4.977226,30,0.15933089,0.015519559,1.7577549,2.626687,0.31470314,0.19003338
31,1.757522,1.0992897,31,0.7117932,0.9445753,4.905336,5.2374554,0.36357158,0.35976
32,1.6531361,1.1562271,32,0.75786084,0.99765986,5.5046377,5.216191,0.796015,0.96283853
33,5.291299,4.950516,33,0.51721203,0.6238278,1.8161538,2.566013,0.15233664,0.064190805
34,4.0090036,3.539456,34,0.105323285,0.10814327,2.4260976,2.295347,0.12631486,0.112874925
35,1.6199569,1.7705921,35,0.71906006,0.8923911,2.0022144,1.8691645,0.51086897,0.29528856
36,2.6227324,2.833499,36,0.40750623,0.32081157,3.9964542,4.5230913,0.25430536,0.19848746
37,1.7088572,1.3501465,37,0.60519683,0.97813874,3.760404,3.452564,0.2967936,0.26489925
38,1.6847358,1.3994248,38,0.69203925,0.9098871,5.3766465,5.094868,0.60741127,0.55783945
39,3.0982988,4.3174925,39,0.61650574,0.7458905,1.1869395,3.3062084,0.2903559,0.0037356615
40,5.9110703,5.338234,40,0.7680033,0.79569536,1.6943036,1.790844,0.30185935,0.31576842
41,3.2880914,2.9601367,41,0.29930055,0.22338587,2.5810137,1.7433655,0.7717582,0.7818289
42,2.113767,1.8320715,42,0.29552373,0.14209032,2.0749838,2.4206865,0.5769396,0.39813578
43,5.417241,5.90023,43,0.63142514,0.65772873,5.2547836,5.015088,0.27148566,0.2645024
44,1.9599255,2.2196026,44,0.62385046,0.5704255,2.3090587,2.573535,0.37192822,0.47995895
45,2.939524,4.2204914,45,0.72872365,0.8460549,2.5375378,3.9902477,0.7230061,0.9665651
46,2.1019623,1.332341,46,0.57506126,0.27774364,4.8431005,5.5129156,0.28750324,0.34668905
47,5.3461046,5.379056,47,0.52353936,0.5944273,3.3622713,4.497555,0.52358013,0.57736343
48,2.8497255,2.9076977,48,0.16275309,0.15156853,4.254524,4.577763,0.2534323,0.274952
49,2.5646822,3.0949743,49,0.7330767,0.6976412,4.389016,3.7309706,0.2965177,0.293406
50,1.9982873,1.563879,50,0.6511798,0.7005916,1.7118069,1.2833664,0.39511266,0.20623678
51,5.816139,5.2050595,51,0.75224733,0.7617471,1.5705581,1.1103818,0.5652878,0.3327338
52,1.8005458,1.463803,52,0.2808334,0.10563564,2.4537313,3.7556145,0.5246243,0.51142514
53,5.3718586,5.355652,53,0.33615512,0.24205929,5.9189935,5.222121,0.4354959,0.41188824
54,1.9804634,1.2631623,54,0.24266285,0.124329746,5.4326396,5.2574444,0.8241222,0.8830654
55,1.6492815,1.0154128,55,0.62726635,0.37870598,4.4200735,4.733405,0.5455379,0.561186
