,inferred cached weight,true cached weight,subject,inferred cached rate,true cached rate
0,0.5724822,5.363986,0,0.61016065,0.6035381
1,0.61893886,5.291128,1,0.6219875,0.06817347
2,0.5067501,5.8659005,2,0.5307863,0.25618327
3,0.5536139,1.2202024,3,0.6448629,0.27530134
4,0.45668215,2.7160535,4,0.58769983,0.5192089
5,0.52725124,1.0240979,5,0.5336881,0.4049418
6,0.4682854,1.6469395,6,0.5917571,0.9167599
7,0.4200618,3.1667995,7,0.6310719,0.8404644
8,0.5192518,2.4977028,8,0.5365518,0.74420077
9,0.52734363,4.9672747,9,0.5774595,0.04684961
10,0.42537025,3.203949,10,0.6289743,0.6385988
11,0.57431495,3.1399448,11,0.52609146,0.51900077
12,0.47074,5.8441415,12,0.5571706,0.89172834
13,0.52522796,4.6741533,13,0.65427125,0.80656064
14,0.49581054,2.4345775,14,0.5551469,0.6240451
15,0.4745707,4.1687427,15,0.5136737,0.82307374
16,0.5520978,3.8951225,16,0.62341213,0.929148
17,0.4497733,2.8963697,17,0.60805297,0.6361419
18,0.47348115,1.0002978,18,0.5833496,0.65697706
19,0.5068852,1.389327,19,0.6069222,0.21090537
20,0.56483924,4.3863,20,0.5176347,0.7719582
21,0.47317657,1.7672691,21,0.55088586,0.17521268
22,0.46090764,1.5796689,22,0.60277843,0.27205878
23,0.55212307,2.1520877,23,0.5320388,0.5799474
24,0.48622072,4.62922,24,0.53785276,0.21710014
25,0.4700445,3.5536597,25,0.61313045,0.14364493
26,0.47616124,4.4695077,26,0.6104042,0.97948647
27,0.49639925,5.7960224,27,0.57014686,0.25806272
28,0.5377048,5.4906836,28,0.57956237,0.61527
29,0.47306916,3.3840501,29,0.60003954,0.45994705
30,0.5435714,5.9282045,30,0.6319037,0.4399352
31,0.433726,5.588897,31,0.57385707,0.22150475
32,0.4839505,4.2165346,32,0.57137764,0.06678456
33,0.50274074,2.1661658,33,0.56699663,0.64138436
34,0.52624685,5.7071605,34,0.52935445,0.23845017
35,0.5624652,4.654254,35,0.58657074,0.47418356
36,0.47547513,5.4787693,36,0.518882,0.25433952
37,0.5308439,3.9060717,37,0.5570913,0.5705278
38,0.46519983,3.012054,38,0.6152444,0.71952176
39,0.40556318,1.9371259,39,0.56092054,0.43179554
40,0.53958434,2.6059813,40,0.6282684,0.39172488
41,0.44338086,1.2927854,41,0.5384271,0.035708904
42,0.5009947,1.6880057,42,0.5521934,0.25193167
43,0.51519644,1.4179305,43,0.58247155,0.24600273
44,0.55529225,5.171689,44,0.62581736,0.13273442
45,0.4797848,2.9303467,45,0.57219225,0.87601405
46,0.49886286,4.897131,46,0.5313406,0.22847456
47,0.51084703,3.4520311,47,0.5706994,0.3517936
48,0.43936166,3.756926,48,0.5586914,0.25874835
49,0.4656517,2.2971294,49,0.56203717,0.8616105
50,0.45926598,3.4631872,50,0.62685317,0.10709047
51,0.54729164,2.1064615,51,0.5977832,0.99784195
52,0.45469835,5.1977925,52,0.55256766,0.29044408
53,0.5107903,2.5862784,53,0.5660232,0.24355662
54,0.47454035,5.5816703,54,0.59067106,0.06936568
55,0.54296154,4.2370825,55,0.56720984,0.7771606
56,0.5299164,5.9249053,56,0.46302712,0.05837989
57,0.52853227,2.4832947,57,0.5665563,0.87406236
58,0.43067923,4.5185423,58,0.5696709,0.40678167
59,0.44286865,3.9654086,59,0.50415313,0.9899908
60,0.572042,1.0699255,60,0.6183778,0.8717753
61,0.49066046,2.298472,61,0.56245065,0.4463749
62,0.44370818,3.1780431,62,0.5260232,0.017994046
63,0.5732678,2.0257277,63,0.5591927,0.20832592
64,0.48125926,3.607985,64,0.51147527,0.81230193
65,0.5079753,1.8997259,65,0.59749925,0.54507357
66,0.46328315,1.8324486,66,0.64023143,0.83805835
67,0.5109112,1.850265,67,0.6033441,0.016457379
68,0.53670585,2.2660284,68,0.56102353,0.65485346
69,0.52124834,2.9907882,69,0.53316045,0.47269124
70,0.44967926,3.0731816,70,0.58964676,0.26354325
71,0.5353831,3.2352412,71,0.621758,0.76266056
72,0.4957304,1.1440766,72,0.62467146,0.4274047
73,0.4580147,1.5767796,73,0.57447374,0.69387686
74,0.42975053,4.0736938,74,0.6077553,0.23294967
75,0.5273458,1.2918154,75,0.5850476,0.9875709
76,0.517983,4.7312326,76,0.5503489,0.90225947
77,0.49674147,3.2299597,77,0.61160475,0.26245397
78,0.48428887,2.9213371,78,0.5057879,0.113515794
79,0.60047317,1.575214,79,0.6314272,0.8384038
80,0.5345396,5.693063,80,0.53633666,0.86531264
81,0.4809811,1.586496,81,0.5329486,0.3865937
82,0.45122322,3.899055,82,0.60422844,0.9201963
