,inferred cached weight,true cached weight,subject,inferred cached rate,true cached rate
83,0.53152615,2.4758918,83,0.52269125,0.71183836
84,0.47753552,5.8696365,84,0.6311939,0.532415
85,0.48532665,1.9010601,85,0.53437495,0.5649562
86,0.49236608,2.529482,86,0.58704275,0.7950332
87,0.43596452,3.8639016,87,0.55172324,0.08351809
88,0.5200232,1.305022,88,0.5548959,0.2128169
89,0.47540012,1.2469432,89,0.53012735,0.7636686
90,0.42675248,4.717079,90,0.6073379,0.22907048
91,0.51664585,2.5315156,91,0.56228274,0.13439143
92,0.40001804,1.3878868,92,0.6026023,0.47455764
93,0.4430458,5.3652625,93,0.60840356,0.9140454
94,0.664974,5.9743366,94,0.44664344,0.07158983
95,0.53885293,2.9850872,95,0.5104472,0.95384985
96,0.4512978,5.8543973,96,0.5665048,0.3295529
97,0.5541484,5.817163,97,0.6115165,0.69721574
98,0.44061184,3.347647,98,0.58747405,0.9914499
99,0.46156922,2.1519754,99,0.5669427,0.1560008
100,0.54729956,3.8176875,100,0.5577604,0.79723173
101,0.52938384,2.6886106,101,0.5770119,0.14228874
102,0.5065568,5.498829,102,0.55598277,0.105220735
103,0.48890045,3.6675653,103,0.51409703,0.7687123
104,0.4308842,3.934043,104,0.597355,0.65996176
105,0.48696637,3.7489197,105,0.52823305,0.21366763
106,0.48155415,1.3413501,106,0.58018726,0.95157546
107,0.49162406,1.3842773,107,0.64476854,0.10608077
108,0.50417197,2.5678234,108,0.5380669,0.27253687
109,0.43492576,3.3152235,109,0.5896172,0.71144694
110,0.58984876,2.3573458,110,0.6334686,0.286668
111,0.46806794,4.3398814,111,0.5475133,0.44936663
112,0.6345342,4.083729,112,0.57336986,0.89107186
113,0.52282196,5.4304395,113,0.5104071,0.72328764
114,0.4885061,4.7514496,114,0.5990505,0.41017574
115,0.48281682,5.2934184,115,0.6267416,0.11315286
116,0.4291944,2.1759925,116,0.5619955,0.48935956
117,0.50448346,5.043397,117,0.62714684,0.6016846
118,0.46949136,1.9956732,118,0.52913487,0.15158445
119,0.51170427,3.4574983,119,0.555667,0.17365623
120,0.48084176,3.5125396,120,0.59246314,0.95174
121,0.5159485,5.2747493,121,0.57933295,0.84513336
122,0.5154839,1.1417118,122,0.50905323,0.08716762
123,0.47519153,2.0214565,123,0.5757304,0.44668597
124,0.46347064,3.5420265,124,0.61830056,0.4128536
125,0.42697802,2.5988204,125,0.54406005,0.38350606
126,0.40305686,2.277591,126,0.59351647,0.07797378
127,0.509415,3.8147469,127,0.5229252,0.019275367
128,0.5654394,5.2211595,128,0.56447446,0.8248511
129,0.48611382,4.0208874,129,0.48504117,0.3294863
130,0.47756976,5.407109,130,0.54607743,0.39936095
131,0.5710315,3.7681873,131,0.61778307,0.2929803
132,0.52586234,1.423511,132,0.5478137,0.616845
133,0.52730405,3.1788878,133,0.54196084,0.97877437
134,0.5182763,5.55118,134,0.59264636,0.668371
135,0.5149673,2.2198856,135,0.54025674,0.24074727
136,0.423719,5.3417873,136,0.58280367,0.7464006
137,0.4931637,1.4509509,137,0.6491999,0.47750247
138,0.5573257,5.3502707,138,0.53843606,0.9106315
139,0.4378107,4.0389214,139,0.544954,0.07532096
140,0.43182617,5.638957,140,0.5806151,0.78851366
141,0.4658385,5.2838435,141,0.5700821,0.33464223
142,0.5709219,1.0223174,142,0.5929937,0.18393922
143,0.5189964,4.6924925,143,0.6107068,0.30549282
144,0.47608355,4.325944,144,0.564454,0.050184548
145,0.47297338,3.6745095,145,0.63742393,0.31487352
146,0.5254957,4.955686,146,0.58208627,0.91342646
147,0.52522296,5.2201824,147,0.45321313,0.28136563
148,0.62160474,1.9899366,148,0.5847899,0.61670274
149,0.49542788,2.416605,149,0.54962564,0.22537667
150,0.56710315,2.7978861,150,0.6473064,0.30871296
151,0.5197626,1.2161,151,0.5691863,0.46551925
152,0.7075658,5.848239,152,0.6808667,0.9233241
153,0.5208116,3.6843743,153,0.51372844,0.7022542
154,0.49933985,1.9441471,154,0.6208538,0.57063484
155,0.61866456,1.9007686,155,0.5986957,0.3309582
156,0.45609444,2.1963239,156,0.54871404,0.9308937
157,0.5296674,2.0904875,157,0.5008555,0.9901539
158,0.5160959,4.0121098,158,0.531268,0.038992226
159,0.48010972,2.836371,159,0.5855818,0.13521487
160,0.5510369,4.9910717,160,0.54238325,0.7242177
161,0.5472788,5.1298885,161,0.5476336,0.20835
162,0.46393433,2.0999262,162,0.5809926,0.26775485
163,0.65321714,2.866438,163,0.6095865,0.7144937
164,0.4600965,3.2866452,164,0.56057364,0.5389969
165,0.41581753,3.6150608,165,0.5794281,0.2558635
166,0.47730651,1.9711981,166,0.5595052,0.9014845
167,0.50003624,4.398858,167,0.5594952,0.011021197
168,0.4809841,5.966101,168,0.58654934,0.6268238
169,0.61068606,1.2795038,169,0.5544719,0.8044689
170,0.46522883,1.940031,170,0.6107199,0.108276844
171,0.49201965,4.8165455,171,0.6438055,0.08677077
172,0.4712527,1.1697085,172,0.6056635,0.4672783
173,0.5180809,3.4555314,173,0.5164031,0.12275171
174,0.48199457,2.7543387,174,0.5328135,0.076589465
175,0.5265898,1.8833191,175,0.64410865,0.46257776
176,0.57470953,3.7548683,176,0.55684,0.45591366
177,0.45548195,2.7446017,177,0.59149617,0.06480867
178,0.48313385,1.4847465,178,0.5362581,0.4724506
179,0.44457367,3.1596863,179,0.59697837,0.3060094
180,0.435863,1.2953541,180,0.5531206,0.020884216
181,0.56913733,3.63305,181,0.6356271,0.46804845
182,0.5468764,2.0145233,182,0.51864266,0.54184824
183,0.5779673,5.721923,183,0.6271421,0.15978932
184,0.4797203,4.5056777,184,0.61192876,0.8017507
185,0.51276225,3.6074362,185,0.5672733,0.79671377
186,0.47538084,5.956099,186,0.5487684,0.6727855
187,0.54137117,2.6251614,187,0.5355164,0.89276105
