,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate
0,4.8712597,5.43775,0,0.28713396,0.24196404,0.5149693,0.0,0.3182804,0.0
1,6.2386856,5.9689116,1,0.65172285,0.75441056,0.87719685,0.0,0.068771616,0.0
2,2.5415113,2.1770344,2,0.3112197,0.21805209,0.52438134,0.0,0.38606837,0.0
3,2.0880957,2.0276697,3,0.67733043,0.2691409,0.51326233,0.0,0.3435899,0.0
4,5.988476,5.051797,4,0.41533795,0.31725657,0.5113746,0.0,0.34800404,0.0
5,4.615901,4.4195013,5,0.48497918,0.546218,0.5784221,0.0,0.43031096,0.0
6,3.0760884,3.1425614,6,0.7517119,0.9645127,0.55611324,0.0,0.3873071,0.0
7,3.713767,5.8219495,7,0.08680281,0.07617277,0.46303725,0.0,0.120403364,0.0
8,3.1423614,3.0506353,8,0.54612184,0.49461102,0.53091943,0.0,0.4097782,0.0
9,1.8326528,1.3685248,9,0.23318061,0.07922149,0.55481255,0.0,0.3540283,0.0
10,6.280715,5.5781136,10,0.55755496,0.7468547,0.68009114,0.0,0.44473058,0.0
11,2.8382406,2.5013537,11,0.78836256,0.94693977,0.5373485,0.0,0.35510883,0.0
12,3.9381576,4.3283706,12,0.4691567,0.36571836,0.530255,0.0,0.31502673,0.0
13,5.2393312,4.8174925,13,0.5700333,0.58561504,0.53382945,0.0,0.32092163,0.0
14,6.2000647,5.0167994,14,0.71267974,0.8108076,0.77943516,0.0,0.73412454,0.0
15,4.585801,4.5185385,15,0.41454342,0.26419348,0.51948804,0.0,0.25629023,0.0
16,2.6991966,1.9463332,16,0.72891885,0.6460945,0.52428,0.0,0.37261167,0.0
17,1.9494951,2.7281554,17,0.70575064,0.97456855,0.48681527,0.0,0.30373937,0.0
18,3.4697013,4.6835737,18,0.45997667,0.026406288,0.6455286,0.0,0.21415035,0.0
19,3.6078413,4.26553,19,0.85556495,0.961035,0.5498981,0.0,0.3900704,0.0
20,1.7267827,2.690612,20,0.65429395,0.5329115,0.50231886,0.0,0.35392985,0.0
21,2.2091734,2.1459846,21,0.79717016,0.8457297,0.49198493,0.0,0.33295575,0.0
22,5.881633,5.0423675,22,0.6541765,0.44166517,0.5296232,0.0,0.37321913,0.0
23,3.112834,3.2588077,23,0.80601287,0.9556723,0.521534,0.0,0.35102442,0.0
