,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,2.8573,4.6491995,0,0.24680978,0.49566776,1.0442206,0.0,0.58528125,0.0,4.3449826,4.578394,0.47971332,0.71759284
1,2.5960884,2.715248,1,0.09454129,0.7025329,1.1820858,0.0,0.2022394,0.0,5.0189185,5.830763,0.08752641,0.17090487
2,2.2501943,1.713558,2,0.3162614,0.6464718,1.0790191,0.0,0.712489,0.0,3.0350761,4.2744613,0.22461325,0.4161833
3,2.623291,3.831209,3,0.35509503,0.4104541,0.796865,0.0,0.29963297,0.0,1.682627,1.4281896,0.46255633,0.7302017
4,1.6426151,1.9483204,4,0.084686846,0.009353042,0.826855,0.0,0.09679744,0.0,1.5323083,1.5746138,0.5561296,0.61874044
5,1.8542155,1.5904152,5,0.40837517,0.58552486,0.7624694,0.0,0.28360215,0.0,2.247386,2.1036935,0.32107317,0.90623677
6,4.9957395,5.237421,6,0.68931013,0.7082858,0.9464165,0.0,0.5762655,0.0,2.3734975,2.409802,0.44575155,0.6881881
7,3.2976482,4.850745,7,0.19558746,0.49981314,0.90442896,0.0,0.109161586,0.0,2.022976,2.4378679,0.30331117,0.34223944
8,2.7220628,2.2402687,8,0.42733094,0.9027894,0.74143493,0.0,0.28817204,0.0,2.1284497,2.6557646,0.6084287,0.90845364
9,1.9372019,1.9466693,9,0.48002207,0.5961488,0.8153553,0.0,0.30746716,0.0,2.5484123,3.3324242,0.15676478,0.42656004
10,3.853492,5.1181583,10,0.062815085,0.20463234,1.1999958,0.0,0.13878043,0.0,4.0288534,5.0667596,0.06157862,0.09356409
11,5.8141427,5.9848084,11,0.84218466,0.9453409,0.950953,0.0,0.6441905,0.0,1.9275445,3.5282497,0.11773529,0.23652273
12,3.5347648,4.3223133,12,0.08078281,0.1345005,0.85338855,0.0,0.1382131,0.0,2.5328598,1.5844545,0.12640539,0.5601825
13,4.492915,5.873414,13,0.30184075,0.3872453,1.3080883,0.0,0.22412677,0.0,4.4961615,5.8033614,0.11709395,0.29620063
14,4.5414953,5.3100824,14,0.50188905,0.65453887,1.3521193,0.0,0.09000885,0.0,1.945703,3.3752882,0.08118538,0.02614683
15,4.0234914,4.916426,15,0.5041237,0.6206588,0.7684326,0.0,0.25648025,0.0,1.5977678,1.4110146,0.4193912,0.974543
16,3.5377183,2.8679736,16,0.23151858,0.25872517,0.88097936,0.0,0.4827782,0.0,3.840661,5.7000146,0.09402123,0.2533726
17,3.0464215,4.756308,17,0.25346074,0.43717664,1.2233539,0.0,0.36856818,0.0,3.2154453,4.021063,0.3888385,0.36928517
18,3.1149833,4.929819,18,0.21356122,0.58455104,1.0384814,0.0,0.3309364,0.0,1.9482957,3.698402,0.49830475,0.055572152
19,3.8282347,3.7250247,19,0.7914077,0.870638,0.78359365,0.0,0.2856511,0.0,1.2237016,1.4477892,0.660624,0.83287746
20,2.0588822,2.2348232,20,0.061973576,0.06394988,0.8285214,0.0,0.3213114,0.0,4.2684913,5.2725477,0.8155491,0.92160976
21,1.6918759,3.0366645,21,0.1442176,0.2893842,0.88564205,0.0,0.31360602,0.0,2.704942,3.319008,0.41261712,0.9583556
22,1.2961121,1.311996,22,0.13486393,0.027899325,0.7918036,0.0,0.29966095,0.0,2.316327,2.7107954,0.6075875,0.97401214
23,4.2726235,4.63159,23,0.052088246,0.0832119,0.81284463,0.0,0.38689572,0.0,2.7279344,3.6837354,0.24141213,0.422566
24,3.0771353,2.3675735,24,0.1933601,0.27970243,0.9147529,0.0,0.3613986,0.0,4.2590866,4.9291215,0.45219773,0.71285963
25,1.8903339,1.4158714,25,0.7601852,0.8811078,0.7378682,0.0,0.24571662,0.0,1.6545845,2.2334523,0.41386646,0.7050743
26,3.753424,3.5402966,26,0.77243763,0.6480939,1.1325727,0.0,0.3397989,0.0,3.8568823,5.308348,0.097097866,0.20076239
27,2.280472,2.5599391,27,0.19449374,0.40565008,0.83005756,0.0,0.41338784,0.0,2.6434317,3.2109985,0.6137269,0.9368258
28,3.2764108,4.202901,28,0.125962,0.27915812,0.93383276,0.0,0.24430041,0.0,2.9717028,3.9939356,0.033886977,0.09958458
29,3.1220975,4.9331093,29,0.83330077,0.490201,0.8705458,0.0,0.21012646,0.0,2.6308084,2.5946417,0.20238495,0.5026376
30,4.1431904,4.9619007,30,0.26130337,0.4281671,1.0548968,0.0,0.5079911,0.0,3.3417284,3.7514222,0.20142248,0.5240516
31,3.4411128,3.552645,31,0.20757894,0.47552347,1.2787265,0.0,0.45658544,0.0,3.6123798,4.645439,0.32129464,0.3437251
32,4.4454045,4.30812,32,0.61923635,0.8194297,0.7988281,0.0,0.3789122,0.0,1.8293688,1.8147857,0.2731764,0.3500622
33,4.164285,4.981595,33,0.02809617,0.06531626,0.87358934,0.0,0.2930979,0.0,3.0980592,3.250987,0.29144785,0.48623836
34,4.863778,3.226608,34,0.71148866,0.718873,0.75747454,0.0,0.46417728,0.0,3.0004058,4.012521,0.66097486,0.9790139
