,inferred dec temp,subject,inferred reward rate
0,6.4506454,0,0.29612663
1,6.4811125,1,0.28292614
2,3.0201766,2,0.3187384
3,3.0985,3,0.3837434
4,3.417503,4,0.36079198
5,3.0858793,5,0.3391812
6,5.5912547,6,0.28735927
7,3.1023374,7,0.5818689
8,6.060103,8,0.29047245
9,4.660983,9,0.30377775
10,6.9494495,10,0.28026733
11,6.321577,11,0.27688992
12,6.749094,12,0.29932898
13,6.740882,13,0.3014753
14,4.254413,14,0.28529215
15,6.128704,15,0.30602568
16,3.5003555,16,0.3016886
17,5.019335,17,0.38822407
18,6.226078,18,0.31584662
19,3.5871418,19,0.29174295
20,3.1217055,20,0.29292706
21,4.135221,21,0.31697002
22,5.2059393,22,0.29551435
23,5.26034,23,0.29125696
24,3.3965576,24,0.47569078
25,6.925168,25,0.27829263
26,3.0118883,26,0.3145921
27,6.8761845,27,0.28606912
28,3.072943,28,0.40369618
29,3.2598383,29,0.30920458
30,4.488029,30,0.29702422
31,3.105079,31,0.2977642
32,3.1863303,32,0.5193353
33,4.547053,33,0.32416493
34,3.0669713,34,0.4461911
35,3.2703388,35,0.2838504
36,2.9343476,36,0.3183373
37,4.136794,37,0.3209953
38,4.239435,38,0.30240962
39,3.1772187,39,0.3030484
40,3.1440532,40,0.5350235
41,3.023582,41,0.30368495
42,3.4363608,42,0.30147737
43,6.8500967,43,0.319777
44,3.1592572,44,0.30138612
45,5.6370063,45,0.39510286
46,5.6970963,46,0.27915123
47,5.836043,47,0.28722453
48,5.0666633,48,0.3317161
49,5.208203,49,0.30095235
50,6.357566,50,0.45922798
51,3.1309404,51,0.4563358
52,5.7559223,52,0.29708722
53,3.4850132,53,0.29584137
54,5.10066,54,0.31077284
55,4.3722405,55,0.40645963
56,5.008314,56,0.30136243
57,3.1352856,57,0.30793652
58,6.7768016,58,0.2820262
59,6.6854954,59,0.2944201
60,3.6784933,60,0.30667382
61,4.398545,61,0.3356075
62,5.1791463,62,0.6209868
63,3.309783,63,0.56309325
64,6.9699016,64,0.27202845
65,3.462999,65,0.52493066
66,3.9575713,66,0.33374628
67,6.803554,67,0.27140728
68,3.3605618,68,0.30445775
69,3.1102676,69,0.29339722
70,4.7046914,70,0.3788323
71,4.807551,71,0.5659279
72,7.025544,72,0.56014335
73,3.5526137,73,0.31558686
74,5.355505,74,0.29600477
75,3.7844467,75,0.5558952
76,3.4475265,76,0.28947687
77,6.9612055,77,0.64137954
78,3.378088,78,0.40107268
79,4.683087,79,0.44721162
80,4.254021,80,0.29662156
81,6.8168106,81,0.5072094
82,2.8829648,82,0.6274264
83,6.5484533,83,0.5699535
84,2.9801462,84,0.47424433
85,4.294047,85,0.30357692
86,3.746312,86,0.2986532
87,6.9363127,87,0.2723339
88,3.3100035,88,0.38135156
89,2.9423645,89,0.64224243
90,6.4023285,90,0.62148744
91,4.523002,91,0.487005
92,3.0107462,92,0.6507559
93,5.419122,93,0.33037898
94,6.668627,94,0.2916794
95,4.7040567,95,0.3290743
96,3.01498,96,0.5874733
97,3.482788,97,0.33627927
98,3.5625718,98,0.45653394
99,4.157592,99,0.2965452
100,2.9602797,100,0.6485085
101,6.933115,101,0.29822156
102,5.111471,102,0.29189482
103,4.0233974,103,0.40053034
104,4.5561056,104,0.32893032
