,inferred discount,subject,inferred learning rate,inferred dec temp,inferred weight,inferred prior lr,inferred prior weight
0,0.7064817,0,0.5693667,3.0343251,0.8100402,0.6827732,0.9615993
1,0.8052599,1,0.8073512,5.028301,0.73894054,0.7164381,0.9707151
2,0.52525574,2,0.7719674,1.2003062,0.6018717,0.26267102,0.76925063
3,0.77829456,3,0.18527073,3.0860806,0.41637194,0.323494,1.6795771
4,0.66426146,4,0.85001636,1.8119534,0.7984257,0.62207526,1.0786206
5,0.33949843,5,0.66926515,2.6098168,0.463476,0.43086436,1.4333224
6,0.5301558,6,0.76304686,2.8640938,0.82998055,0.65321505,1.1862001
7,0.46716645,7,0.45168775,1.3581872,0.73846704,0.23730342,0.73191905
8,0.568312,8,0.30498463,4.106406,0.8844913,0.56627035,1.2572265
9,0.56860095,9,0.7542367,2.1616123,0.70493215,0.43659213,0.9306987
10,0.76143324,10,0.5565294,3.9465942,0.7680981,0.77656615,1.1312664
11,0.77875924,11,0.6674098,4.0150785,0.7890011,0.6442211,1.0796893
12,0.76448804,12,0.71755993,5.1347957,0.786522,0.38656193,0.9389235
13,0.6557595,13,0.81269556,4.056657,0.8211981,0.87782204,0.9103169
14,0.64071137,14,0.4928776,2.921504,0.6906514,0.46707642,1.3413789
15,0.77884775,15,0.7815841,2.40381,0.6106646,0.49040937,0.9127211
16,0.73904604,16,0.553951,3.4803321,0.55772537,0.50344205,1.2936394
17,0.59937304,17,0.87552404,1.9641728,0.7699198,0.28570178,0.9978153
18,0.92775357,18,0.7069737,3.3858984,0.19838236,0.6374268,0.7117532
19,0.55623335,19,0.3803017,2.4709892,0.76586646,0.3476516,0.8219559
20,0.540859,20,0.47939077,1.7262647,0.59822714,0.2576424,0.93935627
21,0.34771532,21,0.83434874,2.5043302,0.7445418,0.189927,0.7423603
22,0.68274885,22,0.6072517,3.1980577,0.6899934,0.62710255,1.2218301
23,0.7771643,23,0.7478179,3.2006397,0.68728924,0.6365337,0.80521363
24,0.40161344,24,0.7842582,1.2848315,0.76996446,0.20979173,0.79034984
25,0.81506056,25,0.6953345,3.8048534,0.6908821,0.64563257,1.0664645
26,0.49900985,26,0.42276874,1.2619646,0.61227566,0.30085105,0.92734
27,0.6412633,27,0.770445,4.3681583,0.822026,0.5605275,0.9360869
28,0.6093497,28,0.5725213,1.0712276,0.67869407,0.316044,0.9704722
29,0.46502337,29,0.6391415,1.7637544,0.6004601,0.30315667,1.1898682
30,0.6951719,30,0.52158225,2.6647217,0.7096885,0.5968472,1.0317061
31,0.28020337,31,0.6183934,2.1136055,0.6707086,0.16482669,0.9741148
32,0.46263152,32,0.57128686,0.9824751,0.70075685,0.42987916,0.79926103
33,0.7896137,33,0.8829226,2.2076964,0.539479,0.08601116,2.0068417
34,0.40876508,34,0.29521126,1.2019235,0.6947826,0.19858079,0.7582993
35,0.77474326,35,0.50298035,2.0819657,0.3743734,0.8068262,1.505957
36,0.37737915,36,0.57243884,2.008809,0.68675905,0.32035518,0.92742527
37,0.8700408,37,0.5616426,2.7843094,0.32897723,0.20648025,1.0677588
