,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate
0,2.0404606,0,0.46084526,1.6065539,0.48906106
1,2.7299733,1,0.55801255,2.4193876,0.5584608
2,0.6327496,2,0.32590976,0.8702457,0.7123228
3,0.4934891,3,0.56946564,0.6512219,0.19328897
4,0.94096434,4,0.7174131,1.2749485,0.5027948
5,0.701871,5,0.23192605,2.1469378,0.34727916
6,1.581088,6,0.41784692,1.8503243,0.5377492
7,0.5916082,7,0.33485407,0.80094165,0.67490745
8,1.9282436,8,0.43845376,1.2582365,0.41846955
9,0.8908079,9,0.2717206,2.1441703,0.5110934
10,2.8812897,10,0.63730454,1.9364532,0.5175853
11,2.1038573,11,0.5589639,1.4521112,0.5073325
12,2.4471436,12,0.4942271,1.7707444,0.4676441
13,2.3403308,13,0.33233795,2.7750664,0.62829834
14,0.92814165,14,0.53812206,1.2775459,0.3933262
15,1.3365752,15,0.5289624,1.8533754,0.6423817
16,0.8314386,16,0.4275116,1.7279048,0.3543643
17,1.0279729,17,0.48004097,1.1934246,0.56838673
18,1.2596438,18,0.75036484,3.5054326,0.685279
19,0.9112981,19,0.326276,1.0207064,0.5041798
20,0.3949668,20,0.40602934,0.695901,0.33210897
21,0.862521,21,0.18238403,1.4623418,0.5183927
22,0.7650283,22,0.46126714,1.9593993,0.4617633
23,2.469852,23,0.6194914,1.3801636,0.6032391
24,0.9290276,24,0.20086472,0.9629033,0.62121093
25,2.2842867,25,0.6321455,1.6783293,0.493041
26,0.4543366,26,0.42641327,0.62544566,0.5695081
27,3.5858538,27,0.327039,2.3842604,0.5743958
28,0.5336909,28,0.62028575,0.73850894,0.5718217
29,0.62178636,29,0.33019617,1.5284315,0.46853584
30,0.7117715,30,0.52116203,1.8399528,0.5051526
31,0.6797132,31,0.1516017,1.1860741,0.3509057
32,0.8171208,32,0.2723878,0.8897068,0.65220064
33,0.88106894,33,0.59845346,1.4275457,0.46944052
34,0.39427212,34,0.20787075,0.5803884,0.6194605
35,0.5384434,35,0.74175364,2.033038,0.5588814
36,0.66817003,36,0.2887827,0.8747299,0.5439371
37,0.8305432,37,0.6652907,1.3939245,0.44593322
38,0.6650207,38,0.737927,1.1921716,0.4059848
