,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate
133,2.1385639,1.5885249,133,0.6919005,0.7318516,2.61563,3.0214102,0.2101392,0.26314932
134,3.4124453,3.1921024,134,0.024260437,0.008913994,1.7109766,1.7227609,0.40251416,0.3540659
135,1.3929092,1.0827849,135,0.36210316,0.78353417,1.9761612,2.0552633,0.80817735,0.95103276
136,5.2890263,3.567055,136,0.7432733,0.4500059,3.0880477,2.8142548,0.30881914,0.30607873
137,2.8022444,4.7304626,137,0.43749103,0.54965985,2.5308604,2.7266405,0.8189101,0.76441383
138,3.2095313,1.0847962,138,0.5068885,0.30995613,6.3032002,3.556224,0.33306354,0.14114732
139,5.1400614,5.5589476,139,0.7451472,0.6651342,1.2880962,1.303672,0.66969687,0.84069395
140,4.770278,5.536958,140,0.75292283,0.4752407,3.6871371,3.769275,0.3141042,0.26120996
141,1.7602097,1.0249088,141,0.65573,0.90918744,3.0952675,3.0284367,0.75179136,0.7545571
142,4.4071603,4.0893087,142,0.849723,0.85211736,1.7510079,1.722031,0.49418566,0.60568655
143,3.0425448,1.8525908,143,0.7535303,0.8352613,4.5242295,3.6950488,0.5079577,0.49349046
144,4.4384713,4.1758776,144,0.5309797,0.5410715,3.216276,3.2847123,0.718822,0.90567374
145,3.1395054,1.6257274,145,0.6932617,0.96974266,2.801536,2.7017922,0.23003553,0.26672447
146,2.9199774,3.170927,146,0.090006225,0.05368513,3.284498,2.526638,0.5295291,0.39046168
147,2.609778,3.8839004,147,0.52318114,0.0573017,2.586161,2.162875,0.17560367,0.056085467
148,6.0930185,5.457731,148,0.075849585,0.09756178,4.502583,5.1722445,0.77178735,0.8929763
149,3.3270006,2.647984,149,0.35524902,0.67192054,3.304856,3.6490774,0.6188721,0.81583494
150,4.5602684,5.9610815,150,0.875937,0.7712009,1.735004,1.4565281,0.6112509,0.5880272
151,2.21817,1.8822808,151,0.4888275,0.44414097,3.3070874,3.2167966,0.8339668,0.87056017
152,3.0182672,2.4347606,152,0.50607026,0.77300555,6.4583516,5.8163595,0.33232522,0.1350444
153,2.3191104,2.5969567,153,0.6960559,0.6320353,1.7244819,1.9464564,0.7113701,0.67848796
154,4.6874356,4.5446615,154,0.79402626,0.85010254,3.5899131,3.7887087,0.21865277,0.17487675
155,4.1698036,4.585295,155,0.742511,0.9424722,2.0115578,2.230819,0.8216776,0.91737205
156,2.3327167,2.1217313,156,0.37251818,0.3011381,1.9090921,1.7311124,0.10869689,0.06091422
157,3.3122559,5.050758,157,0.76095504,0.8380745,3.1789224,3.811577,0.5869247,0.76364535
158,3.8095932,5.0579085,158,0.63339674,0.6137578,4.111328,4.1365542,0.5651427,0.5943437
159,4.4004374,3.8988223,159,0.42926204,0.34031332,1.4545879,1.2985623,0.64741236,0.93262327
160,3.1841655,2.6646888,160,0.47921363,0.717979,1.2892563,1.2057695,0.6721557,0.5741978
161,3.544726,2.7249808,161,0.6832487,0.47975653,2.2467191,2.1214228,0.854208,0.9678887
162,5.30135,4.933612,162,0.5023382,0.33241528,5.2461967,5.5159492,0.7663848,0.87911147
163,5.1562896,5.8169875,163,0.55057114,0.40511048,5.510391,5.7543907,0.73235106,0.67298114
164,2.669731,1.0826826,164,0.51808757,0.34143108,5.4810324,3.8247669,0.43819445,0.35436285
165,2.779077,3.574153,165,0.5241031,0.9382362,5.139527,5.8408456,0.73044586,0.9748014
166,3.1972985,3.5116148,166,0.54866004,0.66380143,6.501372,5.1249905,0.32635257,0.042922556
167,1.3257886,1.1569808,167,0.53217226,0.37900478,3.5176933,3.0521352,0.6780448,0.62832993
168,3.2362778,2.0542717,168,0.5230248,0.17165524,6.350532,3.8920434,0.33524725,0.051638484
169,4.661785,4.2604094,169,0.18844695,0.13255125,3.139166,3.1576157,0.7516947,0.7161646
170,2.790908,3.236487,170,0.5487877,0.37870073,1.3438101,1.1831541,0.45462248,0.36615348
171,4.8950195,4.8067064,171,0.6929551,0.727433,3.637249,3.306467,0.7362238,0.7619606
172,4.2352824,3.9114847,172,0.80503494,0.96569103,2.9889019,3.4374201,0.77930796,0.8516792
173,3.2880483,4.085915,173,0.5338719,0.23044318,6.401385,5.9115415,0.33519512,0.2793339
174,5.353606,4.9251375,174,0.3593362,0.19270289,3.6471314,3.9959054,0.51469386,0.6032278
175,3.9287198,2.8747451,175,0.49971923,0.22019804,5.148095,3.5552979,0.24387406,0.019560158
176,3.5351593,4.715502,176,0.47551063,0.60518724,6.043924,3.8516707,0.32991943,0.010580897
177,4.8096676,5.932567,177,0.2509294,0.28345817,1.6237472,1.4561863,0.7514072,0.7399061
178,4.936312,5.999204,178,0.23241706,0.20861852,2.1071143,1.7546705,0.6476095,0.60548216
179,4.9901934,5.9913635,179,0.5970922,0.6524965,3.7880282,4.3634543,0.6766299,0.75108016
180,5.785441,5.0960593,180,0.4349815,0.37763315,1.1036485,1.0390214,0.642908,0.631495
181,3.4225805,2.9247646,181,0.3219289,0.08048588,6.0241604,5.6799355,0.59839183,0.5748048
182,4.9914308,5.2452555,182,0.3281551,0.26266396,2.457093,2.3521338,0.8161273,0.78519833
183,4.5973797,5.821147,183,0.86973196,0.97021675,3.7717035,4.2178025,0.8096121,0.8788082
184,3.1499014,1.8713641,184,0.52035743,0.034523547,6.5661445,5.5038514,0.33317912,0.28923368
185,2.6803584,2.4890718,185,0.7526934,0.6317566,1.7640272,1.7505065,0.08808733,0.09058714
186,3.3072393,2.0370479,186,0.5262136,0.38911945,6.456299,4.8968506,0.3307989,0.30332845
187,2.1271987,2.3117383,187,0.614598,0.90545774,2.133303,2.3325315,0.77670556,0.9966866
