,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate
0,3.8165548,4.3648953,0,0.58736837,0.57421386,3.9511318,3.8727913,0.101538375,0.044125736
1,4.4365253,5.3971186,1,0.29018098,0.86731184,1.6109629,0.06722009,0.6883558,0.784839
2,0.6051286,0.6930456,2,0.5990187,0.8371244,1.2692233,1.0008309,0.7264077,0.92788035
3,3.9797707,4.119587,3,0.7082976,0.6830965,3.7376988,4.0764356,0.405721,0.43202674
4,0.9344409,0.6655644,4,0.42529407,0.35126233,1.9018303,2.5083418,0.7985121,0.9867057
5,3.6186645,2.1425076,5,0.61409646,0.3675341,3.9380221,3.9337642,0.1043374,0.009755492
6,2.1538808,1.3815236,6,0.71982086,0.65007603,4.1553025,1.9974325,0.31220153,0.21519613
7,4.4703417,4.4098425,7,0.5718971,0.72959054,3.628344,2.8266606,0.69553995,0.73874784
8,2.046665,2.3726678,8,0.52531385,0.9899936,2.3863277,1.2359995,0.74807984,0.8180455
9,2.6352868,3.2518466,9,0.338122,0.6272602,1.7045223,0.49301577,0.69460785,0.73449624
10,1.9320164,0.6766398,10,0.754343,0.93782955,4.1334224,5.8790846,0.39812902,0.4466557
11,4.3085027,4.589842,11,0.29419628,0.1860537,1.3372555,1.1920606,0.57952416,0.5213749
12,4.2379208,5.075145,12,0.6032004,0.98704123,3.0718677,1.4934533,0.75923073,0.8032213
13,3.8774765,1.5829697,13,0.5903146,0.74342036,3.9393113,5.6134367,0.15957437,0.19243854
14,1.361804,0.14985466,14,0.7385144,0.68831986,3.961914,5.3972163,0.6080561,0.5963336
15,2.2325187,1.7011607,15,0.69200563,0.73556525,3.5499995,3.013605,0.5148246,0.47518092
16,4.612565,5.58743,16,0.4549345,0.43452954,3.495698,4.542033,0.22492637,0.24771452
17,1.0699761,2.2160635,17,0.6246833,0.5782505,2.6055598,3.5485868,0.77853906,0.96797806
18,1.701379,1.5847181,18,0.37733716,0.3478493,2.2444398,1.3172504,0.542668,0.45053005
19,3.1250498,2.5116715,19,0.65850854,0.9878674,4.405074,1.3825153,0.10865188,0.044733822
20,4.0886297,2.071024,20,0.548,0.3736862,3.1771228,2.2045732,0.5647878,0.43074322
21,3.4899487,3.7545855,21,0.5996025,0.33613145,3.7641518,3.8118062,0.39387953,0.34060895
22,1.083887,1.6071864,22,0.24418962,0.32000816,1.3503708,0.7459402,0.6069027,0.56388056
23,3.8072724,2.76029,23,0.44204414,0.8508383,1.8543928,0.48491442,0.19807532,0.14576781
24,1.9380066,2.2244759,24,0.509122,0.6005613,2.1926665,2.6202645,0.7309513,0.86262983
25,2.0909262,0.5465108,25,0.75578135,0.7702462,4.399878,5.8771276,0.3404699,0.35196632
26,4.268312,3.898492,26,0.20814212,0.06474978,1.9386255,3.886437,0.29825872,0.2699932
27,1.4598032,1.3491837,27,0.7754324,0.839816,4.1481757,5.095115,0.7403441,0.90569407
28,1.7009957,1.6253006,28,0.44686982,0.2311908,3.1448426,5.112665,0.6981096,0.777297
29,2.2154071,3.0158176,29,0.64972675,0.6734346,3.5821376,4.2249174,0.7594383,0.8023183
30,0.8950574,1.2406465,30,0.6828992,0.78416544,2.550504,2.4494452,0.1963131,0.19533217
31,2.3138127,0.39117694,31,0.641855,0.44988376,3.4909015,4.8228097,0.4322341,0.40049565
