,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate,inferred prior lr,true prior lr,inferred prior weight,true prior weight
0,0.54789716,0.5091748,0,0.5759862,0.45474893,0.77981937,0.66462815,0.085336775,0.07241982,0.15537849,0.0,1.2713577,0.0
1,4.6865363,4.8276854,1,0.25299254,0.12558508,1.6734363,5.5204287,0.7387794,0.7891835,0.1999613,0.0,0.77456015,0.0
2,1.0403768,0.565891,2,0.3217141,0.34715497,1.2518054,1.1275792,0.72236305,0.42748272,0.17848487,0.0,0.9379996,0.0
3,2.0262928,0.33825982,3,0.46855414,0.5058356,3.1766171,4.665983,0.6993789,0.6748546,0.23119171,0.0,0.7183448,0.0
4,3.8709733,2.673842,4,0.37936342,0.3440472,2.5242758,4.429681,0.051908165,0.014729619,0.18465509,0.0,2.021182,0.0
5,2.682189,2.913796,5,0.5371124,0.7916476,3.3987658,5.8507223,0.08212039,0.08219135,0.34776896,0.0,2.4743547,0.0
6,1.452256,1.6667426,6,0.18613678,0.12059301,1.4367275,0.68965924,0.3904555,0.19912899,0.13705873,0.0,1.2770207,0.0
7,3.061096,1.9861504,7,0.21280886,0.0819782,1.8714076,3.8591385,0.083792076,0.03449738,0.16553678,0.0,1.4902518,0.0
8,0.7654277,0.114750266,8,0.25959724,0.27213478,1.4239893,2.2185144,0.76326513,0.89708894,0.21353795,0.0,0.7956111,0.0
9,1.5923496,1.7345592,9,0.23256034,0.16051775,2.0306811,4.0352173,0.64832675,0.60097224,0.21795297,0.0,0.7323981,0.0
10,2.6594255,3.881236,10,0.5626881,0.7255347,3.6822934,5.3011475,0.10485101,0.144764,0.17006785,0.0,1.8137465,0.0
11,0.48589653,0.15441012,11,0.30069888,0.9831882,0.6284939,0.06472206,0.753029,0.49624544,0.18922079,0.0,0.796738,0.0
12,2.1840663,0.53753614,12,0.6385052,0.7773737,3.7066805,4.304755,0.30470267,0.28999543,0.23036028,0.0,1.2385767,0.0
13,3.3217142,1.7009314,13,0.5015492,0.42633396,3.3313804,4.0265026,0.16644372,0.13395637,0.2024685,0.0,1.353491,0.0
14,3.0421355,4.571739,14,0.5202358,0.8039688,3.2629883,2.9960296,0.17109719,0.13909227,0.20755741,0.0,1.8374281,0.0
15,4.4099803,3.9828448,15,0.16178645,0.12343025,1.4874654,1.2912469,0.23768286,0.1823526,0.25040826,0.0,1.0206769,0.0
