,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate
0,0.9592901,0,0.33962846,1.4732858,0.13786973
1,1.284255,1,0.42431042,2.4116044,0.209887
2,1.8458513,2,0.3963079,3.9108953,0.24702197
3,0.42915398,3,0.65153086,1.0182674,0.41057527
4,0.76386255,4,0.29514283,0.67342114,0.13474749
5,1.3919544,5,0.48273852,1.3819275,0.7612306
6,1.374831,6,0.59473217,3.9887457,0.0887603
7,1.780913,7,0.46197936,3.2446132,0.44185308
8,1.4719714,8,0.5758014,3.7571363,0.07799745
9,0.61293393,9,0.62361145,1.7194241,0.3128283
10,1.0035594,10,0.58896667,3.373388,0.078199476
11,1.6389372,11,0.5648546,4.027214,0.078735486
12,0.65026414,12,0.5345606,1.1415896,0.6992983
13,1.191953,13,0.301111,1.0692544,0.12093129
14,1.4700422,14,0.43321493,3.629751,0.4615827
15,1.314094,15,0.6384063,4.232087,0.075742655
16,0.8157407,16,0.58043283,1.8232361,0.5960184
17,0.80438524,17,0.5446325,2.7097173,0.4055276
18,0.596908,18,0.5284407,1.3067993,0.5253773
19,1.3470011,19,0.49292958,3.5896518,0.34909406
20,0.94759303,20,0.52823305,1.753799,0.5581387
21,0.63016164,21,0.32104853,1.0914656,0.552927
22,0.8945725,22,0.55321664,2.0677314,0.4935865
23,0.8537341,23,0.5523097,1.4608133,0.43168107
24,0.7512096,24,0.5623992,2.1078076,0.5137815
25,0.505088,25,0.37075725,1.0578549,0.6143033
26,0.6480044,26,0.6294413,1.389699,0.66410685
27,0.4352541,27,0.5809849,0.69016445,0.17899103
28,1.8515849,28,0.44399956,4.0758123,0.36913124
29,1.1282485,29,0.5933915,3.999931,0.098222464
30,0.94466186,30,0.5544918,2.9341972,0.08625524
31,0.7143297,31,0.46499726,1.4349155,0.41690326
32,0.74320143,32,0.43092102,2.798084,0.38734496
33,0.54565036,33,0.6122228,0.98134136,0.5174994
34,1.2164268,34,0.6055978,4.096333,0.08311774
35,1.7013191,35,0.38395378,3.7616577,0.33052495
36,1.1891712,36,0.54914784,1.8940543,0.40624562
37,1.4708308,37,0.62385935,4.3459783,0.062528804
38,1.0249825,38,0.2515848,1.6848223,0.30674517
39,1.3712587,39,0.6030526,3.9287353,0.05967248
40,1.3918979,40,0.6158729,4.262055,0.05992128
41,1.4105988,41,0.5931405,4.0773144,0.07961838
42,0.97294265,42,0.6106473,3.3533385,0.15858392
43,0.6363483,43,0.57537085,1.9716341,0.61179847
44,1.6903347,44,0.56683505,3.939525,0.05042159
45,0.75868595,45,0.6701845,1.5236374,0.6392273
46,1.213721,46,0.32337812,2.800732,0.20777167
47,0.6598048,47,0.58865076,1.495849,0.49270472
48,1.4830569,48,0.59392816,4.031976,0.06335493
49,1.0270705,49,0.64080596,3.825624,0.54165196
50,1.0849905,50,0.5677801,1.6121905,0.6851066
51,1.5072935,51,0.6740712,3.512045,0.57610947
52,1.496189,52,0.54448634,3.877335,0.09428828
53,0.6551832,53,0.28697872,3.4161656,0.46878126
54,1.2217083,54,0.36915824,1.9647249,0.2723988
55,0.7913689,55,0.31259853,1.5451195,0.6695195
56,0.57456434,56,0.6738361,1.2810009,0.3962783
57,3.3929243,57,0.18598337,2.3339643,0.10693635
58,1.4317732,58,0.55595386,3.8112943,0.082600646
59,1.1981503,59,0.28946435,2.3836563,0.60758007
60,0.8025101,60,0.6218584,1.2968892,0.6442138
61,1.4187073,61,0.6005966,4.0248117,0.075463146
62,0.47931412,62,0.6871974,0.99803334,0.43732846
63,1.6006258,63,0.5835576,3.9246352,0.08979256
64,0.6055173,64,0.7221633,2.0339513,0.569762
65,0.9516305,65,0.47679523,1.1388649,0.27515662
66,1.438094,66,0.5964372,3.9528558,0.09100163
67,0.5369359,67,0.5135558,1.3810146,0.6686742
68,0.5658921,68,0.33075577,0.8486311,0.60198545
69,0.62385267,69,0.59518826,0.98412746,0.53078514
70,1.7512621,70,0.494107,3.836956,0.05496926
71,1.1361668,71,0.5347598,3.5284717,0.65178466
72,0.89264846,72,0.4983083,1.8333013,0.50157535
73,0.56128085,73,0.20256259,2.046891,0.16588269
74,0.939773,74,0.69539255,3.5997524,0.58248526
75,0.7269293,75,0.43187478,1.074261,0.6436714
76,1.7315764,76,0.58633643,3.9885464,0.07458374
77,0.71876585,77,0.34553456,1.751476,0.22881961
78,0.6851609,78,0.55016613,1.8196565,0.46179083
79,0.6176438,79,0.4322418,1.4078009,0.30022356
80,1.1991427,80,0.49119103,2.319158,0.29338634
81,0.9770191,81,0.46319953,4.2987857,0.5092308
82,1.4359925,82,0.35414624,2.1695347,0.6980142
83,0.6968795,83,0.45753977,1.8459487,0.22425319
84,0.88634986,84,0.46761456,1.4813838,0.16134937
85,0.72122204,85,0.35005614,0.7519121,0.62482065
86,0.36194918,86,0.50849193,0.33795568,0.041328516
87,1.0748886,87,0.55446863,3.351207,0.08802298
88,1.7694839,88,0.54301125,3.0308669,0.36884806
89,1.1614203,89,0.3704304,1.2657465,0.16675335
90,0.86231446,90,0.3056612,2.5514624,0.27655128
91,1.1403757,91,0.45253867,3.545601,0.3571125
92,1.417041,92,0.57207763,4.121164,0.059831902
