,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate,inferred prior lr,true prior lr,inferred prior weight,true prior weight
88,3.1929681,2.9165459,88,0.4516314,0.012501955,2.9546735,2.7532132,0.089367844,0.17135161,0.57475734,0.35737216,4.020642,5.705819
89,2.4223268,4.5122957,89,0.5141767,0.62862754,2.8587055,2.6932046,0.42227682,0.6605567,0.8394094,0.85918313,4.7516446,4.447173
90,3.3292906,2.8411708,90,0.30353016,0.15839666,1.3102361,0.36025608,0.39180252,0.2624048,0.25414777,0.20371044,4.7853866,5.137803
91,2.3509722,2.170599,91,0.5082661,0.91722816,2.418273,5.6414337,0.69630677,0.66737336,0.21717636,0.22672075,4.504255,4.3721886
92,1.7838198,1.2270881,92,0.69961244,0.80604935,3.5194635,5.8717346,0.8392671,0.9451554,0.19784427,0.23696595,0.91499126,0.33527112
93,2.3513896,2.8295226,93,0.3484298,0.47470117,1.4627928,0.31273234,0.74541026,0.7998887,0.25853953,0.24815702,1.6514084,1.8050952
94,2.727682,1.919019,94,0.6729452,0.7092781,3.9529788,5.4435034,0.2618728,0.2860114,0.32710376,0.669398,1.2849443,0.29038954
95,2.6000638,2.483041,95,0.53704983,0.43775612,3.5665524,1.8997024,0.5917464,0.45630085,0.6922684,0.85353404,1.4900975,1.772844
96,3.362933,2.8951364,96,0.24608225,0.0052103996,2.1079183,5.903523,0.64872706,0.650695,0.27622396,0.311467,1.6499999,1.9006194
97,1.7867097,0.09021306,97,0.5255881,0.55665153,2.2463439,2.2425392,0.73247397,0.7661631,0.8409655,0.84376496,4.307296,5.3580456
98,3.5379553,2.4051125,98,0.22386926,0.04328513,1.9386301,0.21018505,0.25527963,0.19283855,0.3084444,0.31720185,3.6937134,3.8686059
99,3.355064,4.021247,99,0.3350846,0.13684231,1.5783243,2.9773598,0.7289613,0.8094515,0.8478447,0.9852482,4.528372,5.814574
100,3.3144364,2.9669995,100,0.44473124,0.48401022,2.7598076,5.147912,0.4053067,0.47215366,0.4049173,0.5457654,3.889144,3.3491256
101,1.9241878,1.922572,101,0.22016107,0.63674957,1.0745766,0.28632367,0.6341534,0.42886984,0.20272507,0.112933755,1.1170224,0.4415642
102,0.7419865,0.6684061,102,0.27742365,0.09003842,1.149466,0.45850718,0.7633113,0.7793781,0.3420492,0.7564543,0.9629242,0.91824496
103,3.2596557,0.20146716,103,0.4723788,0.1464808,2.9499753,5.5450606,0.077638365,0.027232528,0.29878393,0.83952767,3.4377534,0.57769203
104,4.3916435,5.731599,104,0.24126777,0.05603701,1.3299404,4.730912,0.3200892,0.3728335,0.66008824,0.56119704,4.49668,5.1274247
105,2.3815863,2.6792178,105,0.547862,0.5734462,3.0678408,1.1582361,0.6067845,0.9584914,0.16170101,0.182616,5.0054045,4.968278
106,3.4202821,3.8053207,106,0.33591846,0.30395657,1.407186,2.99949,0.78553706,0.99361044,0.4653172,0.34833848,3.1679642,3.2302341
107,3.2624252,4.1257105,107,0.4443846,0.92748654,3.0279522,1.0799725,0.14258552,0.103203714,0.4825844,0.579528,4.341699,5.377066
108,1.1855342,0.36034513,108,0.5541575,0.9709997,1.7169338,2.395022,0.6958049,0.7210754,0.77911246,0.76901656,3.8544762,3.1181002
109,3.1759696,5.275012,109,0.5165531,0.71888196,3.2795572,1.7227854,0.25903368,0.24917102,0.8166215,0.9950088,3.900693,5.330834
110,1.4853674,2.1467192,110,0.30480725,0.32255632,1.1305459,0.95346665,0.75056714,0.82465434,0.18441172,0.043147445,1.0358682,0.5473037
111,1.9483662,1.4211187,111,0.15361786,0.063156724,1.880992,4.7454696,0.56978345,0.47335494,0.26416075,0.7762308,0.92299753,0.28685153
112,2.2472105,5.240843,112,0.35755542,0.57497615,1.267211,0.6697018,0.80637974,0.90697104,0.900432,0.9945044,3.4029682,3.876182
113,3.4211998,2.122025,113,0.55773485,0.79065245,3.6743765,1.3437202,0.25639653,0.16446972,0.3029164,0.29386955,1.8602568,0.27492929
114,4.476741,4.210226,114,0.38567197,0.7074048,2.0525122,1.0199422,0.5591534,0.496288,0.2312449,0.48611993,0.8745819,0.3963014
115,1.7835833,0.30281317,115,0.38611504,0.28933346,3.152549,5.6854124,0.58625114,0.54658175,0.3537437,0.27460283,2.4572031,1.4555722
116,2.9429843,3.3363738,116,0.6267848,0.50188667,3.775153,4.278273,0.22144783,0.19542259,0.31951287,0.8362003,2.4200327,0.7501992
117,1.7854892,1.412212,117,0.31667617,0.42429042,1.6178151,0.29751492,0.7215907,0.625885,0.76850516,0.82237595,3.87804,5.148511
118,2.8623886,2.08619,118,0.52445316,0.98532015,3.0841498,5.65778,0.47677156,0.5032155,0.30517998,0.41802216,4.6117115,5.4672556
119,3.2157197,0.44056427,119,0.45448816,0.82995385,3.0443804,5.863837,0.06251003,0.0136915445,0.25585583,0.024787545,3.7390552,5.245593
120,1.7696306,0.52097726,120,0.31802756,0.08600551,2.2608974,5.3505,0.633724,0.74134785,0.80064,0.83775485,2.955319,2.8242617
121,1.8522602,0.34812677,121,0.50534195,0.39317417,2.264709,4.7287893,0.69775796,0.79230213,0.5091134,0.42393506,3.7908013,3.8584332
122,3.76616,2.8250065,122,0.38324255,0.67745125,2.1236324,3.7482498,0.50954115,0.5627284,0.51919335,0.43692648,4.820395,5.487777
123,2.6834512,2.5930471,123,0.509052,0.48819417,2.971381,3.472869,0.39446574,0.3543321,0.69449097,0.99397737,4.799692,2.7549512
124,2.1286132,4.2237973,124,0.35334852,0.16943145,1.3918227,2.088338,0.8031611,0.93010736,0.266903,0.1867584,3.9450703,4.1443634
125,1.9639531,4.9488325,125,0.52778983,0.44523305,2.1913366,1.860746,0.6117778,0.6707862,0.65511584,0.660615,4.7581215,5.423635
126,4.608041,5.5340395,126,0.25637016,0.087144375,1.754377,3.7438095,0.6139471,0.68695986,0.3503941,0.31998503,1.5950656,1.9132222
127,3.0736108,5.3796697,127,0.3995384,0.22265005,2.4134662,5.231251,0.5935621,0.80942446,0.6566853,0.555847,2.6085947,2.7882676
128,2.873057,5.551505,128,0.5122397,0.98007405,3.2542415,5.050099,0.07801161,0.14464617,0.4655115,0.02466911,3.8450346,1.3083333
129,2.6828315,4.92316,129,0.5164843,0.9345848,2.9487057,3.1361103,0.561824,0.5403792,0.34781983,0.40844,4.624863,4.96037
