,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate,inferred prior lr,inferred prior weight
81,0.4853648,81,0.2158071,0.6584374,0.7358902,0.18309438,0.7331297
82,0.515626,82,0.21005048,0.6348751,0.7263619,0.1582226,0.7316878
83,0.66779786,83,0.19854176,0.92277026,0.5986876,0.14743835,0.9246063
84,0.3935368,84,0.20930496,0.596623,0.7046637,0.16173784,0.7884836
85,0.56433177,85,0.27116656,0.6790491,0.7310934,0.160557,0.82064074
86,0.4351328,86,0.19635543,0.52236277,0.7334542,0.18084446,0.7538226
87,0.5377866,87,0.20603268,0.6260962,0.7452559,0.16074163,0.7694352
88,0.6672276,88,0.1996554,0.86869943,0.65665466,0.15281919,0.85501945
89,0.6174412,89,0.1942106,0.7547932,0.77643317,0.14352135,0.80484957
90,0.5387886,90,0.2125737,0.69080806,0.717932,0.14686237,0.8018203
91,0.55513877,91,0.18918553,0.816977,0.6304286,0.18715729,0.74786705
92,0.40731034,92,0.18422185,0.5199336,0.7434226,0.17233609,0.73754036
93,0.72082496,93,0.2155853,0.84437376,0.79198086,0.16494998,0.7524039
94,0.5152035,94,0.17929547,0.69985145,0.72511184,0.15115374,0.7940472
95,0.59332603,95,0.19006945,0.6766897,0.5479713,0.120499544,1.5169333
96,0.4132195,96,0.19144416,0.5209997,0.74164146,0.1560133,0.801005
97,0.43389678,97,0.18460348,0.5358128,0.7432583,0.1485896,0.82523674
98,0.48554143,98,0.19657615,0.6251689,0.77469724,0.14869034,0.83612436
99,0.51787525,99,0.20555173,0.59702224,0.7259928,0.16505386,0.8623113
100,0.4574593,100,0.2036688,0.68830895,0.76213235,0.1743581,0.79337287
101,0.4937907,101,0.22294393,0.61585695,0.75652504,0.16927277,0.76168907
102,0.5043157,102,0.21599004,0.69216335,0.6944535,0.15561554,0.91089785
103,0.66213363,103,0.25057578,0.6348538,0.7849757,0.16418378,0.7781858
104,0.41115052,104,0.20226207,0.5561492,0.71712154,0.16893339,0.8072572
105,0.4322341,105,0.23310822,0.5917331,0.7696833,0.15165778,0.7864498
106,0.44015205,106,0.18695867,0.53240305,0.76723325,0.16444543,0.7859674
107,0.6552829,107,0.18290585,0.88066477,0.73384327,0.15324064,0.79548573
108,0.4428283,108,0.1981702,0.5303435,0.7314148,0.16190155,0.75380456
109,0.6471687,109,0.18235455,0.7448673,0.61028653,0.1539957,0.81297773
110,0.42004636,110,0.22886346,0.49759802,0.73647016,0.17525908,0.8241962
111,0.43684125,111,0.17503826,0.5332157,0.7464891,0.1593762,0.7748179
112,0.41931626,112,0.20318967,0.48445776,0.762733,0.16181512,0.8206443
113,0.59972227,113,0.19240418,0.7964281,0.7634656,0.14439006,0.7704794
114,0.8504144,114,0.18773954,1.0023669,0.7024641,0.17145926,0.80256045
115,0.60113037,115,0.20076449,0.67033345,0.71725047,0.15864725,0.73364365
116,0.6170968,116,0.1765916,0.834003,0.7750935,0.15817721,0.7489941
117,0.51238704,117,0.22925425,0.66869676,0.7908855,0.15917547,0.81253994
118,0.5810014,118,0.20866755,0.7082488,0.76716775,0.17121449,0.7999902
119,0.67572,119,0.21156956,0.7607178,0.76596385,0.18449207,0.74625635
120,0.3783059,120,0.24148704,0.48108032,0.74285144,0.17633091,0.7608422
121,0.49931556,121,0.22561203,0.5805669,0.7721057,0.17100286,0.7553789
122,0.8325774,122,0.23351005,0.8700153,0.66844827,0.16995071,0.7747269
123,0.60469073,123,0.23834848,0.727786,0.77725434,0.15747833,0.8171707
124,0.48883626,124,0.1818106,0.5725001,0.6563192,0.15118295,0.9970383
125,0.40672663,125,0.19987401,0.49846956,0.7702678,0.16728015,0.77431166
126,0.4821508,126,0.20294705,0.5410814,0.74209535,0.15584192,0.7108067
127,0.55358106,127,0.19914144,0.6666,0.7753093,0.1688631,0.78990436
128,0.48645985,128,0.22050306,0.59466034,0.74042565,0.17873359,0.7399143
129,0.64739627,129,0.22501314,0.7484946,0.76457155,0.13981262,0.8077495
130,0.58475596,130,0.1684588,0.7832854,0.79227,0.16935691,0.70892376
131,0.40047094,131,0.19765113,0.49225992,0.71504176,0.15496168,0.8474578
132,0.47927353,132,0.18791053,0.7145669,0.5964191,0.16276792,0.839557
133,0.5532634,133,0.1780346,0.728558,0.65788627,0.16908653,0.8045164
134,0.46715412,134,0.21000208,0.6889215,0.62867457,0.16042756,0.90935636
135,0.48918623,135,0.19033721,0.58508754,0.7474639,0.15504894,0.8249408
136,0.47251636,136,0.18059967,0.6592815,0.75694495,0.15035032,0.82528514
137,0.5580409,137,0.20226245,0.64783597,0.7299331,0.15729596,0.7650916
138,0.5274178,138,0.23364526,0.71714544,0.7210057,0.15908785,0.8319707
139,0.51498294,139,0.19231075,0.65372074,0.75042665,0.14858802,0.82324517
140,0.42884225,140,0.18557848,0.5857966,0.74158937,0.16209814,0.7739692
141,0.4460268,141,0.19636256,0.53579444,0.72977173,0.16272333,0.76454675
142,0.62040263,142,0.25821644,0.8030886,0.69940037,0.17295517,0.8252733
143,0.44714722,143,0.1971098,0.5017629,0.727732,0.16043185,0.76836425
144,0.69434357,144,0.20291904,0.7105325,0.7963223,0.16547006,0.7605072
145,0.70398283,145,0.17199829,0.9010543,0.6912605,0.1619643,0.83087575
146,0.5266194,146,0.2048748,0.7802274,0.5602104,0.15021585,0.98607713
147,0.57685906,147,0.22417107,0.7037931,0.77110523,0.15083607,0.7489324
148,0.6912128,148,0.1629718,0.76926774,0.7452262,0.15648028,0.7630896
149,0.6238483,149,0.21570075,0.9567963,0.5573319,0.15481418,0.95072216
150,0.62850136,150,0.19412579,0.77285,0.7189663,0.17348744,0.72965944
151,0.54379255,151,0.188427,0.64718384,0.74036217,0.16676931,0.76364493
152,0.5978555,152,0.16913603,0.6688197,0.7344025,0.14239134,0.7596412
153,0.5848201,153,0.17800324,0.71226734,0.67292774,0.16268303,0.84797764
154,0.43903476,154,0.19528998,0.51274663,0.7623378,0.17121094,0.7519757
155,0.4702924,155,0.21411614,0.55329454,0.7545827,0.16447073,0.70390457
156,0.6327225,156,0.2056903,0.8055349,0.6102887,0.16370462,0.7543123
157,0.46478686,157,0.24454749,0.55523145,0.7135037,0.16837825,0.806892
