,locs0,locs1,locs2,locs3,locs4,locs5,subject
71,-3.404783,-2.127368,-1.4934705,-2.9121938,-2.5690002,-1.2336644,23
72,-2.6401136,0.7404387,-1.9259802,-2.6050892,-1.8357656,1.0270965,0
73,0.09908867,-0.9948572,-1.7602794,-2.5793111,-2.4473722,-1.1758738,1
74,0.030651331,0.13262093,-1.9456675,-2.5251534,-2.3288343,0.13355881,2
75,-2.1203196,-3.418215,-0.5864894,-2.164518,-1.9676045,-3.1817923,3
76,-6.387555,0.68764275,-0.39690876,-2.51437,-2.4864886,-2.0499742,4
77,-1.9667426,-0.55326617,-0.6551169,-2.8777122,-2.5431213,-0.23529851,5
78,-5.0410643,0.7809161,-1.6232775,-2.6254556,-2.360107,-0.7659402,6
79,-1.4205766,-1.841906,-1.0357124,-2.5164115,-2.150167,-0.0130419135,7
80,-3.9804604,-1.2428944,-0.4126365,-2.1793332,-3.4075763,-2.4182858,8
81,-3.170632,0.6107229,-1.9659878,-2.046106,-2.373769,-0.113659084,9
82,-0.49219716,0.13907492,-1.2258182,-2.466527,-2.3895597,-0.705356,10
83,-4.8242607,-4.239365,-0.19502336,-2.974459,-2.8886876,1.1427314,11
84,-0.05993855,-1.2584696,-1.8661364,-2.2064996,-2.7419798,-0.0717517,12
85,1.2148654,-2.6139843,-1.7194891,-3.0775461,-2.5606606,-0.74407184,13
86,-4.8799253,0.47006744,-0.61492085,-2.3615372,-2.823089,0.13455665,14
87,-5.0513897,-0.40941614,-1.082181,-2.5644982,-2.6994321,0.121846676,15
88,-0.9447955,-1.8347496,-1.1611497,-2.744817,-2.7366588,-0.8603735,16
89,-4.3215027,-0.8777591,-1.3892984,-2.8958547,-2.7462218,-0.5792496,17
90,-5.501402,-0.44935223,-0.25776204,-2.4378636,-2.5390215,-1.0200884,18
91,-4.0156336,0.1772932,-1.993267,-2.489923,-1.7599988,-1.2935178,19
92,-3.697756,0.87272406,-0.8643558,-2.3046746,-2.4774773,-0.8324662,20
93,-1.1496301,-1.8632305,-1.194592,-2.5294878,-2.3969343,-1.1559769,21
94,-5.3014336,0.4927137,-2.3286197,-2.28267,-2.1357925,2.1420715,22
95,-1.6948185,-2.2555308,-1.8236772,-2.8247175,-2.2892182,1.039854,23
96,-1.4606423,-1.269196,-2.5333111,-2.7467854,-2.489003,0.18766904,0
97,-1.9369777,0.78526914,-1.8380668,-2.169254,-2.1678667,-1.0452353,1
98,-1.7855194,-0.29049906,-2.1234426,-2.2565558,-2.2693195,0.7703941,2
99,-1.2187129,-3.4164896,-0.8926546,-2.246513,-2.5938182,-1.6416173,3
100,4.990632,1.620127,-0.99487245,-3.2308962,-1.5536706,-1.0459886,4
101,-0.72303236,-0.39943412,-1.3178782,-2.7636094,-2.5615196,0.9139327,5
102,1.739954,-0.72842026,-2.5406315,-2.9936235,-2.8150654,0.5565727,6
103,-3.2049308,-1.9828616,-1.7054346,-2.5686407,-1.8969845,-0.0975458,7
104,-1.8575919,-0.8898643,-0.77179927,-2.4874492,-2.6307068,-0.8593935,8
105,0.31315815,0.41708797,-1.9627597,-2.1372182,-2.878384,-0.6097471,9
106,-1.7534869,-0.21316068,-1.0208043,-1.972452,-2.7200332,-1.368776,10
107,-3.1126466,-3.7590742,-0.8402497,-2.452598,-2.8573444,-0.84895325,11
108,-0.8075618,-0.6854352,-2.2501962,-2.3126292,-2.7974684,0.19869135,12
109,-3.6131659,-0.73048115,-1.934921,-2.7962084,-2.2803986,-0.5643555,13
110,-0.81505674,0.6072083,-1.0939574,-2.7307088,-2.7061443,-0.54539096,14
111,-3.9122348,1.0408092,-0.9071582,-2.6365585,-2.4113038,-2.396572,15
112,-1.5681502,-1.695288,-0.7429677,-2.4760156,-2.849039,-2.1350558,16
113,-3.6992235,-1.6073256,-0.8923349,-2.5202086,-2.3795056,-0.36300647,17
114,-1.6570532,0.36635214,-0.52956706,-2.6288142,-2.4933302,-0.40751332,18
115,-7.1620994,1.7208807,-0.75132835,-2.923588,-2.6935654,-0.65907466,19
116,-4.404309,0.20538455,-0.37009197,-2.6853673,-2.2675087,0.1463605,20
117,-1.9807154,-0.95725894,-1.7236644,-2.4624894,-2.6229033,0.18535161,21
118,6.9977627,1.2566444,-1.621791,-2.5977402,-3.0360732,1.0069921,22
119,-4.3079257,-1.4702848,-1.3183945,-2.5103068,-2.1968906,-0.6531814,23
120,-4.388302,1.4785824,-1.9809514,-2.2694535,-2.2704787,1.2499928,0
121,-0.8494943,-2.1827235,-2.1427627,-2.3497171,-2.3299768,-0.8319721,1
122,-0.034250855,-1.1609447,-2.5829387,-2.181113,-2.533462,0.9867881,2
123,-2.0077636,-3.9413617,-0.77648085,-2.133259,-2.3673887,-0.9922367,3
124,0.64590716,0.1506005,-0.5956003,-2.6842852,-2.2651637,-0.25187844,4
125,-3.023462,-0.29609838,-1.3680663,-2.6039062,-2.2571206,-0.98058295,5
126,-1.0178365,0.94306684,-1.9088368,-2.8569024,-2.4695883,-1.1062957,6
127,-1.470909,-1.351415,-1.1896061,-2.5338054,-2.3081875,0.32285732,7
128,-4.746976,-1.4126086,-0.9974122,-2.4587734,-2.917104,1.0254064,8
129,-3.8504434,-0.796571,-2.8645163,-2.3162673,-2.3720152,-1.5949345,9
130,-0.80325824,-0.766037,-1.4513774,-2.6656654,-2.6242573,-0.6631087,10
131,-4.6113024,-4.643837,-0.7961771,-2.577992,-1.8020182,-2.0695412,11
