,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.70253515,0.94037956,3.3713815,0.93001515,0
1,0.04012677,0.47431362,1.9015366,0.61073136,1
2,0.9181081,0.6776816,3.632498,0.77634126,2
3,0.534561,0.685581,1.1572741,0.72586346,3
4,0.04288117,0.2754776,1.904705,0.77160245,4
5,0.05151903,0.33504555,2.9988256,0.63729954,5
6,0.7479036,0.9546851,4.255324,0.6344253,6
7,0.9325017,0.97621447,1.9744908,0.7487507,7
8,0.043942872,0.5156728,3.3360515,0.6980729,8
9,0.7265983,0.42331785,3.608335,0.5948532,9
10,0.7944403,0.40368143,1.6111578,0.5278652,10
11,0.9939567,0.27435967,5.199007,0.43286544,11
12,0.001156294,0.69072825,4.015995,0.84330505,12
13,0.84946525,0.6481039,2.7253807,0.3547333,13
14,0.90055805,0.81517935,1.8305233,0.58543545,14
15,0.786516,0.64898705,2.7917495,0.40125534,15
16,0.8672503,0.8250945,3.5211258,0.8404135,16
17,0.16167256,0.48596233,1.6856143,0.774805,17
18,0.32790673,0.54774916,2.6846838,0.7098503,18
19,0.06767936,0.35839808,1.9133685,0.7286272,19
20,0.87618595,0.36834443,3.2378507,0.7181283,20
21,0.116524294,0.6597775,4.890793,0.5866543,21
22,0.96621853,0.8358911,4.582406,1.0298623,22
23,0.795547,0.74651146,4.573447,0.76023483,23
24,0.8334372,0.8938372,3.212738,0.8505413,0
25,0.0070730955,0.59544116,1.0930793,1.0364386,1
26,0.989726,0.82100916,3.2830868,0.66646826,2
27,0.15198825,0.68138,1.34091,0.75238234,3
28,0.95181197,0.33111814,2.0312378,0.5967324,4
29,0.6352824,0.4372578,3.6148274,0.65576637,5
30,0.7751098,0.956253,4.854058,0.6329744,6
31,0.5803394,0.70563823,1.5194001,0.94058454,7
32,0.09284176,0.66561306,3.0286825,0.68085396,8
33,0.4110039,0.25938538,3.2549798,0.49711794,9
34,0.5491074,0.8431433,1.4760582,0.7739472,10
35,0.94860566,0.4556573,4.683382,0.550921,11
36,0.44130892,0.7598714,4.8757496,0.5689648,12
37,0.67269236,0.7555661,2.8438215,0.58272564,13
38,0.051009655,0.8139089,2.85813,0.62426907,14
39,0.72538054,0.8880591,2.8841386,0.8869397,15
40,0.7602113,0.8156384,5.6638193,0.57481277,16
41,0.83889854,0.4653237,2.7545981,0.60775685,17
42,0.4963643,0.50823236,2.2143347,0.70579016,18
43,0.6489484,0.40473077,2.6980212,0.83072895,19
44,0.94547117,0.5649338,2.5145724,0.5804932,20
45,0.5299965,0.58194405,5.132081,0.5018505,21
46,0.9799861,0.7566632,5.183453,0.558382,22
47,0.4334896,0.79541576,4.0352674,0.54013807,23
48,0.52766186,0.8412958,4.0247602,0.6508243,0
49,0.9518797,0.63544506,0.8199456,0.75557804,1
50,0.86154616,0.5941196,3.09896,0.69949394,2
51,0.4306093,0.40304783,1.5114759,0.66178834,3
52,0.48442793,0.20915934,1.6270316,0.6117775,4
53,0.53251207,0.42334732,3.1801267,0.6999009,5
54,0.79407716,0.953657,4.372876,0.73371404,6
55,0.41664323,0.8377031,1.782559,0.4808877,7
56,0.4913704,0.6074181,3.272958,0.5049903,8
