,dec temp,reward rate,cached weight,cached rate,habitual tendency,policy rate,subject
0,3.7086544,0.6606599,1.9890213,0.59100276,1.8539927,0.6355019,0
1,2.776987,0.59066284,2.2140436,0.6894434,4.8675356,0.73839384,1
2,1.9056818,0.45440322,4.2805643,0.38435596,4.4287553,0.84808123,2
3,2.977673,0.5363761,5.883953,0.66234744,1.461057,0.64989406,3
4,5.5821934,0.2756457,5.3904715,0.7304582,6.3968687,0.6049095,4
5,3.7137058,0.7736086,6.8996167,0.5769929,3.0678024,0.051458865,5
6,4.259602,0.9590706,3.8903122,0.9419689,5.1268005,0.4969175,6
7,2.2920876,0.68964005,4.9871254,0.71009994,0.6911572,0.24952921,7
8,2.3480754,0.23786257,2.4281154,0.6338973,7.792101,0.4116607,8
9,5.3166337,0.067358114,4.3599114,0.14921647,2.0902376,0.08899737,9
10,2.9161773,0.86955607,2.5061078,0.81059563,6.71189,0.79407865,10
11,1.3690435,0.11524566,7.290124,0.5065833,7.438939,0.5196039,11
12,4.46701,0.85614765,4.416732,0.6040926,3.1283112,0.20720184,12
13,6.3859653,0.2413998,1.7057055,0.7797148,7.5404587,0.2816452,13
14,2.8443182,0.019543447,6.160388,0.44349435,3.206987,0.4087638,14
15,1.6919655,0.46632618,6.697522,0.42989084,1.6642001,0.2479739,15
16,3.104157,0.069838494,2.9631891,0.12064615,4.844011,0.6334737,16
17,4.2275434,0.6279849,3.7151794,0.54564434,4.278348,0.8131251,17
18,4.580596,0.65476274,5.032279,0.13882467,3.603333,0.7035135,18
19,1.1507444,0.6910992,6.115675,0.8525178,1.9966191,0.29003832,19
20,0.9985795,0.1944072,3.05996,0.4181455,5.1123614,0.5239331,20
21,4.1327257,0.86472934,4.4378514,0.2680147,4.545707,0.6879275,21
22,1.5254483,0.4151548,5.634885,0.6843798,3.0958893,0.3732044,22
23,1.9027375,0.38414076,6.4876723,0.416326,3.443539,0.7362492,23
24,2.7193258,0.7596212,7.0147967,0.47240612,3.113803,0.6172107,24
25,4.199459,0.06827998,7.727781,0.25303596,1.9942559,0.79417104,25
26,4.164876,0.13252135,2.296554,0.2759969,1.6351235,0.5354208,26
27,4.8064694,0.14113118,1.3997109,0.864052,1.9852712,0.87158966,27
28,6.4407973,0.00939895,5.8526354,0.5884073,5.4705095,0.6780881,28
29,4.8640866,0.7328899,1.7314734,0.64506465,3.792999,0.8501431,29
30,5.2164416,0.811922,4.024713,0.84644645,2.8425894,0.42532533,30
31,4.7882214,0.82694143,4.708333,0.09840526,2.3474653,0.3060062,31
32,4.1495895,0.7433563,3.299619,0.4839314,2.0655646,0.94789916,32
33,1.8918567,0.074540496,4.2346315,0.91981614,5.80552,0.81195474,33
34,1.6482867,0.32733262,1.9728892,0.75682956,2.8585303,0.29409814,34
35,1.747653,0.81601846,2.894118,0.9530333,4.4119415,0.65568906,35
36,2.0004594,0.13354799,1.1310874,0.6348866,1.9888877,0.5690305,36
37,1.4739431,0.008192353,2.7570536,0.7658185,1.9240116,0.70705974,37
38,2.4303713,0.07776648,6.377351,0.46631098,3.5884137,0.18054742,38
39,4.9054117,0.596703,2.267793,0.17213687,2.563953,0.8834877,39
40,6.618271,0.20975159,3.7416985,0.3867352,6.68257,0.86791164,40
41,5.6057744,0.1451729,4.9568596,0.8590491,2.7085078,0.77217513,41
42,2.7697906,0.37167534,2.1182628,0.42447993,4.28177,0.28030875,42
43,5.421485,0.7982833,3.0951948,0.32474625,6.5816026,0.2999852,43
44,4.376599,0.46401316,5.7398376,0.18013172,1.9353098,0.2926045,44
45,1.8469405,0.9021026,7.8098273,0.5496703,7.735692,0.2395115,45
46,3.7541964,0.49091107,1.6108415,0.48858172,3.5458302,0.42799684,46
47,2.545889,0.71786803,5.558147,0.92518723,7.5919333,0.8853458,47
48,2.9676104,0.5000339,8.038879,0.31040296,5.8943768,0.19151542,48
49,5.280281,0.065392524,3.0284004,0.65095407,4.534598,0.8799122,49
50,5.5273843,0.36334965,2.104058,0.5868333,3.4322824,0.6363718,50
51,3.3688784,0.56707764,2.3323586,0.8499736,2.690461,0.6568023,51
52,3.48117,0.49044234,1.5103041,0.3507263,3.0831757,0.31490827,52
53,3.0384264,0.5711003,2.6951318,0.7019511,5.33053,0.7875993,53
54,2.5657642,0.2693756,4.775319,0.51676106,2.2395003,0.1848557,54
55,5.5566416,0.08167688,5.05931,0.16209072,2.7862434,0.69812113,55
56,2.5043588,0.84807885,4.804563,0.71195364,6.6108656,0.19367634,56
57,2.1391196,0.5350837,8.035141,0.7070857,3.5421298,0.15158722,57
58,5.587715,0.17256448,3.9190888,0.8099631,3.9388146,0.7664906,58
59,5.6412363,0.39157647,4.0417624,0.9151784,4.839242,0.5808755,59
60,2.9735062,0.7481858,7.112463,0.41469884,6.487705,0.74147606,60
61,2.1563735,0.3767112,5.25451,0.73530746,3.6747,0.8654577,61
62,5.211828,0.15807742,6.6601534,0.6165424,7.6143017,0.795409,62
63,2.4920983,0.91061497,4.0398736,0.5234101,8.414395,0.42171618,63
64,1.0110621,0.23812753,3.7526817,0.49667487,2.8956878,0.15636942,64
65,2.4467425,0.24857162,3.74871,0.6093492,6.4759874,0.4391335,65
66,1.7347682,0.4727958,3.2408538,0.48587024,2.1070662,0.10980423,66
67,2.9209497,0.49805063,3.0403683,0.696703,2.331144,0.7951917,67
68,2.8503158,0.6707069,1.6181122,0.47633532,1.2477182,0.16908744,68
69,1.6666987,0.92261636,3.734223,0.3388253,3.492951,0.65532047,69
70,2.781072,0.7309172,4.361105,0.69279087,1.8172942,0.8006435,70
71,2.0747657,0.55398524,4.542347,0.7425067,1.170121,0.8944464,71
72,4.0318303,0.7167477,4.708944,0.7297984,7.0943446,0.51952,72
73,4.3894014,0.8350473,4.2863603,0.680783,1.8283511,0.21937184,73
74,2.2444763,0.29978248,6.289853,0.7701944,3.8405223,0.24313621,74
75,3.191304,0.08597033,3.0637836,0.42252216,8.446492,0.4078903,75
76,1.6764146,0.2927833,8.236726,0.42843705,3.5167127,0.6606907,76
77,1.852008,0.30138233,1.3451328,0.105421074,4.161331,0.5301943,77
78,3.5659046,0.25366306,5.7222104,0.9208131,2.8612292,0.73410165,78
79,4.3860984,0.75449336,3.7609675,0.034717347,4.140512,0.33481556,79
80,1.1453207,0.032464866,3.8583825,0.45240483,5.5071206,0.8244936,80
81,2.0215635,0.624143,5.3946214,0.3966036,5.078375,0.8945427,81
82,4.52246,0.6382621,6.450364,0.82971567,3.7506697,0.8636876,82
83,1.7058506,0.70699334,1.5820704,0.5210795,6.3393793,0.27293882,83
84,3.149704,0.082423985,4.7305093,0.719239,4.298772,0.8088279,84
85,2.8338602,0.07054457,3.0058358,0.8515493,7.462072,0.9188931,85
86,2.341327,0.10177175,1.4735914,0.28964213,7.7808757,0.44439876,86
87,2.0904691,0.5765526,3.084086,0.6942119,4.1205873,0.3113593,87
