,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate,inferred prior weight,true prior weight,inferred prior lr,true prior lr
0,1.9791812,1.6491812,0,0.5489151,0.15461981,2.2719238,5.317906,0.3379704,0.4549812,4.16861,4.764924,0.48160377,0.13936174
1,2.8783195,2.6335106,1,0.29604074,0.4205554,2.0656285,1.5579064,0.62276685,0.6059389,2.0204625,2.88384,0.14866559,0.013742685
2,3.3375704,0.84252405,2,0.21537752,0.05569452,2.2079248,2.7327828,0.29931134,0.19531864,1.7083466,1.188038,0.64066124,0.79580915
3,3.748537,5.5480766,3,0.47962442,0.48388273,3.1159873,5.169885,0.64317685,0.71240985,1.7247618,1.0922348,0.3598676,0.08613032
4,1.592185,0.76433873,4,0.25697967,0.1197654,2.3626955,5.042014,0.5762948,0.50902516,1.0639372,0.98714125,0.44508615,0.6636901
5,3.746625,1.7391104,5,0.49852002,0.01736778,3.747731,4.062968,0.15988876,0.14733076,3.5359116,5.916805,0.51466346,0.7887388
6,1.938238,2.5001783,6,0.5576375,0.29536235,2.4811432,0.88332117,0.3970617,0.33260816,3.1734061,4.656944,0.57349586,0.7579869
7,3.7353406,5.7462187,7,0.35868627,0.6922277,3.4374287,2.9237142,0.3265423,0.3729875,2.436582,0.74119806,0.5429323,0.50956565
8,1.2204587,0.56370914,8,0.306766,0.33129346,1.4101071,0.7905525,0.4150743,0.23864132,1.9625013,1.7916777,0.35332516,0.5633787
9,3.688959,3.631506,9,0.55429983,0.8466174,3.7902994,5.8124,0.3164524,0.36859715,3.8603196,1.7778068,0.5229139,0.9024894
10,1.9496009,0.61438143,10,0.35879436,0.13179618,2.1709619,4.1358385,0.6801512,0.6278389,2.2503614,2.8924937,0.5380839,0.4782899
11,0.75806683,0.15390551,11,0.443703,0.72260934,0.7945157,0.13339984,0.67886573,0.8794664,3.1467261,3.435351,0.77921706,0.6784974
12,3.776476,0.87461257,12,0.28241926,0.09084058,1.9739245,2.1639318,0.4982901,0.25044888,1.2151219,0.98970723,0.21757361,0.1551525
13,2.567836,5.4921045,13,0.6005392,0.5236039,3.1031578,2.1477134,0.6334037,0.79241383,4.0691814,5.49213,0.3360173,0.7404478
14,4.1682143,3.118417,14,0.469549,0.76265913,4.0116987,1.2189943,0.096457645,0.027489007,3.371889,1.460829,0.49154377,0.40732217
15,4.748743,4.397622,15,0.3140111,0.25984532,2.2248926,2.772375,0.543651,0.53036046,1.0490301,0.18563032,0.4601443,0.11678171
16,2.7057064,3.0711918,16,0.5372976,0.13003522,3.2847216,1.5564995,0.5111098,0.5138223,4.4411283,5.2987723,0.50530493,0.67532355
17,4.53709,5.124116,17,0.20897378,0.14277655,2.2185845,2.4553864,0.27227107,0.2920161,3.5376618,4.1322346,0.63970655,0.42499506
18,2.167999,2.0721612,18,0.55159616,0.5128407,2.713475,4.239359,0.7113834,0.7839926,1.2187924,0.7109399,0.4792293,0.15175289
19,2.6004047,4.713508,19,0.55197877,0.77050865,2.6092417,2.8663297,0.6793955,0.7982912,1.0569357,1.0056853,0.5758491,0.9196872
20,4.555742,4.41569,20,0.36198372,0.93817294,2.7377253,1.0953137,0.37310517,0.29190403,1.7180297,0.60210407,0.5094655,0.6262918
21,1.868677,0.19417727,21,0.56941646,0.42980003,2.3307066,2.6665485,0.43788645,0.37096608,4.2489824,4.641773,0.4665398,0.04090166
22,1.0643134,0.51867056,22,0.377937,0.5507664,1.415386,2.0889983,0.70946467,0.7807022,1.3330708,1.5905589,0.2700066,0.054226696
23,2.3205328,3.2400436,23,0.5879154,0.9059089,2.71594,2.1685915,0.6826998,0.6846139,3.403824,4.1161995,0.70052207,0.80143154
24,3.8074923,3.4187193,24,0.3959856,0.39632595,2.7522368,2.8064733,0.6234535,0.5538064,2.6320136,2.1874387,0.56305933,0.5635704
25,4.0269384,5.9379506,25,0.54671,0.45991957,3.4828823,5.149577,0.48220342,0.50019956,1.5921293,1.498082,0.41639784,0.3009842
26,4.593083,5.235006,26,0.34586966,0.19709826,2.0560088,0.5334023,0.4675957,0.48557514,2.5537221,3.6066492,0.30463392,0.28635776
27,3.7853463,5.689311,27,0.48913366,0.037578106,3.7880363,1.6610545,0.18044043,0.1496818,3.5980673,4.6489487,0.519325,0.038875043
28,3.154367,0.27275348,28,0.49590105,0.2893628,3.0955787,5.4174085,0.5609872,0.51678437,1.6824981,0.9629173,0.59739864,0.9939035
29,3.912799,4.950286,29,0.48771968,0.9125814,3.928145,5.6159673,0.12537833,0.13009912,3.384659,5.325434,0.43754122,0.68591994
30,3.3679893,5.0090218,30,0.5562644,0.99628645,3.7390273,1.1239579,0.4454677,0.38121635,4.1009026,5.96435,0.46800432,0.20292485
31,2.0757377,0.6702583,31,0.5793263,0.28724837,2.5863261,5.1033473,0.58979905,0.64945906,4.558579,5.8566008,0.49958903,0.801218
32,2.9952168,5.2868624,32,0.39313447,0.30426955,2.2878735,5.9721684,0.7088028,0.83502704,1.0815536,0.22153223,0.3347643,0.1823262
33,4.0541854,3.6711388,33,0.48484653,0.6088419,3.8898764,3.1506295,0.13138175,0.09812623,3.2402227,5.5025597,0.4677541,0.18586141
34,2.3600683,1.2055614,34,0.53458595,0.38822043,2.9218662,4.2084727,0.23460312,0.20623356,3.716022,4.7649727,0.5058178,0.83303696
35,3.8031704,3.4958348,35,0.48265496,0.3082041,3.8479838,4.185804,0.15256348,0.20190293,3.398494,5.937852,0.4967165,0.6190223
36,3.9483404,4.3798504,36,0.49952602,0.7841057,3.9846904,3.5252762,0.13797715,0.13327122,2.8157847,4.6837935,0.37357098,0.5426771
37,3.453901,2.5051353,37,0.5412025,0.7171308,3.7536666,3.2096238,0.1980446,0.2074036,3.6740131,5.671691,0.54198885,0.37039304
38,2.4340804,3.2208571,38,0.30758247,0.1393364,1.5906216,0.06895816,0.66399187,0.65865546,1.1971537,1.6599358,0.26407245,0.24615705
39,2.1040688,2.5708487,39,0.26435375,0.073726356,1.8563772,5.8751044,0.6851706,0.810923,1.1155432,1.0228851,0.24320054,0.05214733
40,3.254954,1.6486237,40,0.55111694,0.15714473,3.6182456,5.905886,0.19009058,0.24738342,3.4169285,2.4159913,0.5277503,0.46263885
41,3.4573774,4.024493,41,0.323673,0.15031832,2.1915433,0.6245649,0.4365571,0.41527516,4.2180586,4.464727,0.65767145,0.46229374
42,2.0398042,2.717929,42,0.5314131,0.6262985,2.325568,1.2598346,0.6624595,0.56219894,4.6108513,4.1333275,0.535775,0.45345622
43,4.1565156,1.1497657,43,0.4965202,0.7690613,4.095932,3.3104932,0.09792479,0.04004103,3.521522,3.8186736,0.50610876,0.7265689
44,2.23039,1.9058161,44,0.49995747,0.63619953,2.2284873,2.2018783,0.58131176,0.549785,4.1507807,3.0151727,0.7373261,0.9273935
45,1.5400801,0.5117258,45,0.28990418,0.0686754,1.6763245,4.504056,0.74694455,0.9434027,2.4807837,2.5693927,0.7290321,0.7009263
46,3.9012177,2.9497883,46,0.2959298,0.26035225,3.845827,1.8901541,0.11175188,0.046261787,2.2091022,0.3253677,0.2440596,0.37562877
47,4.548444,5.1008015,47,0.29623595,0.35594976,2.1621306,1.3919942,0.592727,0.563729,1.0645075,1.1342046,0.3149722,0.05858189
48,1.9897583,2.8023496,48,0.30706933,0.90884763,2.4558623,0.07583213,0.4602257,0.40539074,4.407206,5.371541,0.25287133,0.23839003
49,1.9613973,0.23578799,49,0.5407898,0.7985758,2.8195918,2.3952932,0.087931074,0.059283316,3.4436724,1.0977445,0.5028116,0.30725956
50,1.3040652,0.2979641,50,0.54586446,0.8695031,1.8765651,1.709448,0.19455533,0.15706038,3.7108521,0.6379398,0.4802715,0.43430996
51,1.9980944,2.3467765,51,0.4604146,0.8474869,2.2558012,2.8087513,0.7156129,0.8100029,3.5547247,3.2652917,0.6072223,0.8468125
52,3.3269482,2.0433662,52,0.5385845,0.57431656,3.6736906,5.477639,0.4137436,0.38880116,3.8782997,3.8608088,0.5025865,0.69972354
53,0.7812307,0.45189464,53,0.27114552,0.74749446,1.005778,0.07306445,0.7377516,0.66600597,1.1228046,0.5290221,0.26028466,0.16334695
54,1.637227,0.5307298,54,0.55087465,0.5568466,2.1490245,1.4646206,0.41708723,0.23956859,4.3257904,4.275915,0.47233215,0.5479827
55,3.364944,2.5356438,55,0.5033099,0.71535075,3.628002,3.6910577,0.21405387,0.22902465,3.4393902,2.4669776,0.5077591,0.5524775
56,2.2198226,2.8532774,56,0.54634297,0.56450295,2.479883,4.3417807,0.6801438,0.78033113,4.6662693,5.38707,0.5310958,0.39495927
57,3.9842799,3.0685706,57,0.5148336,0.55326515,4.006149,2.5715468,0.11655846,0.08544129,3.4489136,4.692747,0.47577405,0.30352736
58,1.7345595,3.1311886,58,0.5067176,0.2719921,2.2856567,5.045287,0.71019495,0.8874607,1.3235053,1.7679598,0.7040242,0.69596624
59,3.3227828,4.8487606,59,0.24980502,0.020260155,1.8629665,0.1509633,0.7228288,0.8420111,1.1231419,0.14689922,0.2504497,0.82985646
60,4.115724,3.4592924,60,0.41632718,0.7356402,3.5301719,5.7574415,0.19703321,0.183914,2.8867197,1.9966278,0.45766163,0.1540997
61,3.321296,3.6880455,61,0.23775621,0.8159822,1.8015745,0.06368101,0.3860987,0.30102688,2.5034306,2.6073475,0.24186155,0.118275344
62,2.0693018,0.64479554,62,0.5554592,0.8810866,2.2666698,3.378016,0.664125,0.64781696,4.615374,4.284115,0.4956634,0.95106405
63,2.0218425,0.6146661,63,0.5914509,0.66844904,2.5715375,5.005145,0.7204002,0.836976,4.1299806,4.6853023,0.23583701,0.34773803
64,3.1439376,2.8559723,64,0.22831179,0.5186182,1.4725503,0.028380632,0.23907351,0.16315603,1.9514006,1.9190551,0.7442212,0.5467992
65,1.396895,1.5692915,65,0.4379169,0.32787627,1.324512,0.6128154,0.7528368,0.9305802,4.435453,4.7126846,0.18785949,0.06931156
66,3.0155134,3.752616,66,0.5461378,0.07677287,3.402185,5.5435658,0.5939874,0.7460886,4.1146207,4.0501776,0.3681715,0.50952744
67,3.1400309,2.428011,67,0.33428982,0.07222414,2.348407,4.8834796,0.6702495,0.7220186,3.8310323,4.438206,0.74533916,0.8595752
68,1.6254141,0.41268468,68,0.54212487,0.6143797,1.7434024,2.0698385,0.51368576,0.43169296,4.483211,2.1663659,0.49304408,0.5359048
69,2.4260013,3.9923093,69,0.52179724,0.59571695,3.1757717,5.7539988,0.698664,0.84688777,0.99806106,0.16040862,0.34428933,0.70283115
70,2.4306104,0.07762742,70,0.60506225,0.47308046,3.3788583,4.937582,0.2552945,0.22339743,2.8567574,1.397997,0.24211432,0.3749898
