,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate,inferred prior weight,true prior weight,inferred prior lr,true prior lr
0,1.741817,1.6491812,0,0.52496666,0.15461981,2.2481723,5.317906,0.33927125,0.4549812,4.3006845,4.764924,0.48008943,0.13936174
1,3.072607,2.6335106,1,0.28070322,0.4205554,1.9986694,1.5579064,0.6385907,0.6059389,2.2901323,2.88384,0.08340602,0.013742685
2,2.8314135,0.84252405,2,0.1493448,0.05569452,2.2136714,2.7327828,0.26753923,0.19531864,1.7805395,1.188038,0.70092684,0.79580915
3,3.9748127,5.5480766,3,0.5296256,0.48388273,3.4163375,5.169885,0.65815103,0.71240985,1.563904,1.0922348,0.3019071,0.08613032
4,1.2906221,0.76433873,4,0.19032186,0.1197654,2.826392,5.042014,0.529882,0.50902516,0.9037638,0.98714125,0.5186593,0.6636901
5,3.4155762,1.7391104,5,0.47492555,0.01736778,3.3432326,4.062968,0.15222888,0.14733076,3.4321568,5.916805,0.51435435,0.7887388
6,1.7437124,2.5001783,6,0.5740358,0.29536235,2.4045284,0.88332117,0.38704774,0.33260816,3.168328,4.656944,0.6072373,0.7579869
7,3.5174649,5.7462187,7,0.35392484,0.6922277,3.5045035,2.9237142,0.32156318,0.3729875,2.2801244,0.74119806,0.53202736,0.50956565
8,1.042805,0.56370914,8,0.30378592,0.33129346,1.078412,0.7905525,0.31310368,0.23864132,1.7385212,1.7916777,0.4129481,0.5633787
9,3.6664412,3.631506,9,0.5287583,0.8466174,3.8320513,5.8124,0.30714598,0.36859715,3.9544144,1.7778068,0.5191711,0.9024894
10,2.0020475,0.61438143,10,0.32751998,0.13179618,2.2209795,4.1358385,0.71066934,0.6278389,2.350221,2.8924937,0.57049775,0.4782899
11,0.5690857,0.15390551,11,0.46678972,0.72260934,0.57486206,0.13339984,0.68799794,0.8794664,3.141559,3.435351,0.8149085,0.6784974
12,3.1345456,0.87461257,12,0.21209696,0.09084058,1.8133941,2.1639318,0.3942802,0.25044888,0.96062887,0.98970723,0.17928693,0.1551525
13,2.6322002,5.4921045,13,0.55495495,0.5236039,3.188476,2.1477134,0.6390067,0.79241383,4.187077,5.49213,0.3399917,0.7404478
